cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-11 02:15:00,2021-02-11 09:45:00,7.73,24.15
1,2021-02-11 11:00:00,2021-02-11 13:00:00,2.2,6.7
2,2021-02-11 13:45:00,2021-02-11 14:15:00,0.7,2.4
3,2021-02-11 14:45:00,2021-02-11 16:15:00,1.69,5.63
4,2021-02-11 17:45:00,2021-02-11 21:00:00,3.37,10.76
5,2021-02-12 02:00:00,2021-02-12 09:45:00,7.99,24.31
6,2021-02-12 11:00:00,2021-02-12 12:45:00,1.97,6.68
7,2021-02-12 13:15:00,2021-02-12 14:00:00,0.86,2.97
8,2021-02-12 14:30:00,2021-02-12 16:15:00,1.84,6.26
9,2021-02-12 17:45:00,2021-02-12 21:00:00,3.37,9.82
10,2021-02-13 01:30:00,2021-02-13 10:45:00,9.39,29.1
11,2021-02-13 11:15:00,2021-02-13 11:30:00,0.45,1.15
12,2021-02-13 12:00:00,2021-02-13 12:30:00,0.6,2.22
13,2021-02-13 13:00:00,2021-02-13 13:15:00,0.36,1.31
14,2021-02-13 13:45:00,2021-02-13 14:30:00,0.63,2.29
15,2021-02-13 15:00:00,2021-02-13 15:15:00,0.4,1.42
16,2021-02-13 15:45:00,2021-02-13 16:00:00,0.34,1.17
17,2021-02-13 16:30:00,2021-02-13 17:45:00,1.49,5.21
18,2021-02-13 18:15:00,2021-02-13 18:45:00,0.59,2.1
19,2021-02-13 19:15:00,2021-02-13 21:00:00,1.73,6.1
20,2021-02-14 01:45:00,2021-02-14 11:00:00,9.28,27.16
21,2021-02-14 11:45:00,2021-02-14 12:45:00,1.14,2.59
22,2021-02-14 13:15:00,2021-02-14 13:30:00,0.34,0.91
23,2021-02-14 14:00:00,2021-02-14 14:15:00,0.37,0.8
24,2021-02-14 14:45:00,2021-02-14 17:15:00,2.65,5.83
25,2021-02-14 17:45:00,2021-02-14 20:45:00,3.0,6.81
26,2021-02-15 02:00:00,2021-02-15 08:15:00,6.14,20.71
27,2021-02-15 09:00:00,2021-02-15 09:30:00,0.62,2.07
28,2021-02-15 11:00:00,2021-02-15 11:45:00,0.79,1.92
29,2021-02-15 12:15:00,2021-02-15 12:30:00,0.47,0.92
30,2021-02-15 13:15:00,2021-02-15 13:30:00,0.34,0.96
31,2021-02-15 14:15:00,2021-02-15 14:45:00,0.5,1.65
32,2021-02-15 15:15:00,2021-02-15 16:15:00,1.11,2.92
33,2021-02-15 17:45:00,2021-02-15 18:15:00,0.69,1.72
34,2021-02-15 18:45:00,2021-02-15 19:15:00,0.44,1.5
35,2021-02-15 20:00:00,2021-02-15 20:15:00,0.32,1.09
36,2021-02-15 20:45:00,2021-02-15 21:00:00,0.38,0.68
37,2021-02-16 02:30:00,2021-02-16 03:30:00,1.25,3.21
38,2021-02-16 04:00:00,2021-02-16 04:30:00,0.41,1.36
39,2021-02-16 05:00:00,2021-02-16 05:30:00,0.41,1.36
