cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 02:00:00,2021-01-01 05:15:00,3.34,10.08
1,2021-01-01 12:30:00,2021-01-01 15:15:00,2.8,8.44
2,2021-01-01 19:15:00,2021-01-01 22:00:00,2.85,8.95
3,2021-01-02 02:00:00,2021-01-02 05:15:00,3.27,9.84
4,2021-01-02 10:45:00,2021-01-02 13:45:00,3.14,9.43
5,2021-01-02 18:15:00,2021-01-02 21:15:00,3.07,9.69
6,2021-01-03 01:00:00,2021-01-03 04:15:00,3.48,18.6
7,2021-01-03 09:00:00,2021-01-03 12:00:00,3.09,9.32
8,2021-01-03 16:15:00,2021-01-03 19:30:00,3.3,9.94
9,2021-01-03 23:15:00,2021-01-04 04:30:00,5.46,16.39
10,2021-01-04 08:30:00,2021-01-04 09:45:00,1.28,4.44
11,2021-01-04 12:15:00,2021-01-04 16:00:00,3.8,11.43
12,2021-01-04 20:00:00,2021-01-05 02:45:00,6.76,20.33
13,2021-01-05 05:15:00,2021-01-05 06:15:00,1.1,3.96
14,2021-01-05 09:15:00,2021-01-05 09:45:00,0.6,1.74
15,2021-01-05 11:30:00,2021-01-05 15:15:00,3.85,11.6
16,2021-01-05 18:15:00,2021-01-05 18:45:00,0.5,2.06
17,2021-01-05 20:00:00,2021-01-05 23:30:00,3.51,10.56
18,2021-01-06 03:45:00,2021-01-06 07:15:00,3.43,10.34
19,2021-01-06 09:00:00,2021-01-06 09:45:00,0.94,3.11
20,2021-01-06 11:00:00,2021-01-06 11:30:00,0.63,2.5
21,2021-01-06 13:30:00,2021-01-06 16:45:00,3.41,10.19
22,2021-01-06 19:45:00,2021-01-06 23:00:00,3.36,10.14
23,2021-01-07 02:45:00,2021-01-07 06:30:00,3.69,11.7
24,2021-01-07 07:15:00,2021-01-07 08:00:00,0.83,2.9
25,2021-01-07 11:15:00,2021-01-07 14:45:00,3.59,10.77
26,2021-01-07 18:45:00,2021-01-07 20:15:00,1.62,5.24
27,2021-01-07 21:15:00,2021-01-08 02:45:00,5.48,16.46
28,2021-01-08 07:15:00,2021-01-08 08:30:00,1.32,4.66
29,2021-01-08 11:00:00,2021-01-08 13:45:00,2.93,8.78
30,2021-01-08 16:00:00,2021-01-08 16:45:00,1.0,2.96
31,2021-01-08 18:15:00,2021-01-09 07:30:00,13.45,41.36
32,2021-01-09 11:00:00,2021-01-09 14:30:00,3.48,10.54
33,2021-01-09 17:30:00,2021-01-09 22:45:00,5.46,16.73
34,2021-01-09 23:30:00,2021-01-10 12:15:00,12.85,46.86
35,2021-01-10 14:00:00,2021-01-11 01:30:00,11.65,35.77
36,2021-01-11 05:00:00,2021-01-11 09:45:00,4.89,14.78
37,2021-01-11 11:00:00,2021-01-11 16:45:00,5.94,17.82
38,2021-01-11 18:15:00,2021-01-11 23:30:00,5.25,16.37
39,2021-01-12 01:45:00,2021-01-12 09:00:00,7.22,22.39
40,2021-01-12 14:30:00,2021-01-12 16:45:00,2.47,7.45
41,2021-01-12 19:15:00,2021-01-12 19:45:00,0.4,1.69
42,2021-01-12 21:15:00,2021-01-13 00:00:00,2.78,8.35
43,2021-01-13 04:00:00,2021-01-13 07:00:00,2.88,9.42
44,2021-01-13 08:45:00,2021-01-13 09:45:00,1.23,3.63
45,2021-01-13 12:30:00,2021-01-13 14:45:00,2.19,6.58
46,2021-01-13 18:15:00,2021-01-13 21:00:00,2.88,8.66
47,2021-01-17 23:00:00,2021-01-17 23:15:00,0.46,1.41
48,2021-01-18 03:45:00,2021-01-18 06:30:00,2.89,9.12
49,2021-01-18 11:00:00,2021-01-18 12:45:00,1.94,5.8
50,2021-01-18 15:45:00,2021-01-18 16:30:00,0.78,2.66
51,2021-01-18 18:15:00,2021-01-19 06:30:00,12.44,38.14
52,2021-01-19 07:30:00,2021-01-19 09:45:00,2.34,6.97
53,2021-01-19 16:15:00,2021-01-19 16:45:00,0.59,1.76
54,2021-01-19 18:15:00,2021-01-19 22:00:00,3.87,12.06
55,2021-01-20 00:00:00,2021-01-20 08:00:00,8.04,25.13
56,2021-01-20 14:15:00,2021-01-20 16:45:00,2.67,7.96
57,2021-01-20 18:15:00,2021-01-20 22:30:00,4.09,12.34
58,2021-01-20 23:45:00,2021-01-21 00:15:00,0.42,1.75
59,2021-01-21 06:15:00,2021-01-21 08:30:00,2.32,7.49
60,2021-01-21 15:15:00,2021-01-21 16:45:00,1.58,4.73
61,2021-01-21 22:45:00,2021-01-22 00:15:00,1.64,4.94
62,2021-01-22 03:15:00,2021-01-22 04:45:00,1.63,5.23
63,2021-01-22 05:45:00,2021-01-22 06:45:00,1.18,3.9
64,2021-01-22 07:15:00,2021-01-22 07:45:00,0.61,2.39
65,2021-01-22 14:45:00,2021-01-22 16:45:00,2.22,6.66
66,2021-01-22 19:45:00,2021-01-22 21:00:00,1.38,4.51
67,2021-01-22 21:45:00,2021-01-22 23:00:00,1.26,3.8
68,2021-01-23 02:00:00,2021-01-23 05:15:00,3.26,9.73
69,2021-01-23 09:00:00,2021-01-23 10:15:00,1.31,4.7
70,2021-01-23 10:45:00,2021-01-23 13:00:00,2.32,6.94
71,2021-01-23 14:00:00,2021-01-23 15:45:00,1.87,5.65
72,2021-01-23 20:00:00,2021-01-23 22:00:00,2.23,6.72
73,2021-01-24 01:00:00,2021-01-24 02:30:00,1.61,10.4
74,2021-01-24 03:00:00,2021-01-24 06:30:00,3.52,10.55
75,2021-01-24 12:00:00,2021-01-24 14:45:00,2.97,8.97
76,2021-01-24 17:30:00,2021-01-24 22:00:00,4.4,13.26
77,2021-01-25 04:30:00,2021-01-25 07:30:00,3.08,9.77
78,2021-01-25 09:45:00,2021-01-25 09:45:00,0.12,0.48
79,2021-01-25 11:00:00,2021-01-25 14:30:00,3.68,11.04
80,2021-01-25 19:00:00,2021-01-25 22:45:00,3.95,11.92
81,2021-01-26 03:45:00,2021-01-26 08:00:00,4.43,14.18
82,2021-01-26 12:30:00,2021-01-26 16:45:00,4.31,12.95
83,2021-01-26 18:15:00,2021-01-26 22:30:00,4.24,13.22
84,2021-01-27 00:30:00,2021-01-27 08:45:00,8.23,25.32
85,2021-01-27 14:15:00,2021-01-27 16:45:00,2.64,7.92
86,2021-01-27 18:15:00,2021-01-27 18:30:00,0.47,1.73
87,2021-01-27 21:45:00,2021-01-28 01:00:00,3.13,9.43
88,2021-01-28 05:15:00,2021-01-28 06:30:00,1.27,4.65
89,2021-01-28 07:00:00,2021-01-28 08:45:00,1.94,5.76
90,2021-01-28 16:45:00,2021-01-28 16:45:00,0.12,0.44
91,2021-01-28 18:15:00,2021-01-28 20:45:00,2.55,7.97
92,2021-01-28 22:00:00,2021-01-28 22:30:00,0.59,1.77
93,2021-01-28 23:45:00,2021-01-29 00:30:00,0.85,2.58
94,2021-01-29 01:30:00,2021-01-29 02:30:00,1.04,3.12
95,2021-01-29 03:45:00,2021-01-29 04:15:00,0.59,1.79
96,2021-01-29 08:15:00,2021-01-29 09:30:00,1.24,4.32
97,2021-01-29 13:30:00,2021-01-29 15:30:00,1.97,5.88
98,2021-01-29 16:30:00,2021-01-29 16:45:00,0.37,1.09
99,2021-01-29 19:30:00,2021-01-29 21:30:00,1.94,5.82
100,2021-01-29 22:30:00,2021-01-29 23:30:00,0.99,2.99
101,2021-01-30 00:45:00,2021-01-30 01:30:00,0.79,2.38
102,2021-01-30 02:15:00,2021-01-30 02:45:00,0.4,1.72
103,2021-01-30 03:15:00,2021-01-30 04:30:00,1.22,3.66
104,2021-01-30 09:15:00,2021-01-30 10:15:00,1.09,3.81
105,2021-01-30 13:15:00,2021-01-30 16:00:00,2.63,7.86
106,2021-01-30 16:45:00,2021-01-30 17:45:00,0.99,2.95
107,2021-01-30 18:45:00,2021-01-30 19:30:00,0.84,2.51
108,2021-01-31 00:00:00,2021-01-31 00:15:00,0.45,1.55
109,2021-01-31 01:00:00,2021-01-31 03:30:00,2.5,15.02
110,2021-01-31 07:45:00,2021-01-31 09:30:00,1.71,5.11
111,2021-01-31 10:45:00,2021-01-31 11:15:00,0.47,1.41
112,2021-01-31 13:30:00,2021-01-31 14:00:00,0.58,2.06
113,2021-01-31 16:15:00,2021-01-31 18:30:00,2.3,6.87
