cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-22 04:00:00,2022-05-22 04:15:00,0.31,0.73
1,2022-05-26 04:30:00,2022-05-26 04:45:00,0.32,0.67
2,2022-05-27 02:45:00,2022-05-27 03:00:00,0.47,0.78
3,2022-05-28 22:30:00,2022-05-28 22:45:00,0.42,0.8
4,2022-05-29 01:45:00,2022-05-29 02:00:00,0.3,0.66
5,2022-05-29 03:00:00,2022-05-29 03:15:00,0.46,0.76
6,2022-05-29 05:00:00,2022-05-29 05:15:00,0.43,0.72
7,2022-05-29 21:30:00,2022-05-29 21:45:00,0.36,0.76
8,2022-05-30 02:00:00,2022-05-30 02:30:00,0.34,0.97
9,2022-05-30 04:00:00,2022-05-30 04:00:00,0.12,0.68
10,2022-05-30 05:30:00,2022-05-30 05:45:00,0.28,0.79
11,2022-05-30 07:15:00,2022-05-30 07:30:00,0.4,0.7
12,2022-05-30 23:30:00,2022-05-30 23:45:00,0.41,0.76
13,2022-05-31 03:15:00,2022-05-31 03:30:00,0.33,0.68
14,2022-06-01 00:00:00,2022-06-01 00:15:00,0.31,0.67
15,2022-06-01 03:15:00,2022-06-01 03:30:00,0.39,0.71
16,2022-06-01 22:15:00,2022-06-01 22:30:00,0.37,0.67
17,2022-06-03 02:30:00,2022-06-03 02:30:00,0.12,0.64
18,2022-06-05 23:15:00,2022-06-05 23:30:00,0.36,0.68
19,2022-06-08 01:45:00,2022-06-08 02:00:00,0.33,0.79
20,2022-06-08 06:15:00,2022-06-08 06:30:00,0.3,0.68
21,2022-06-09 06:15:00,2022-06-09 06:30:00,0.42,0.66
22,2022-06-09 23:15:00,2022-06-09 23:30:00,0.4,0.8
23,2022-06-10 02:00:00,2022-06-10 02:15:00,0.42,0.95
24,2022-06-10 03:45:00,2022-06-10 04:00:00,0.41,0.72
25,2022-06-10 06:00:00,2022-06-10 06:15:00,0.44,0.74
26,2022-06-11 01:30:00,2022-06-11 01:45:00,0.48,0.72
27,2022-06-11 07:30:00,2022-06-11 07:30:00,0.12,0.64
28,2022-06-12 05:00:00,2022-06-12 05:15:00,0.36,0.74
29,2022-06-14 02:30:00,2022-06-14 02:45:00,0.35,0.76
30,2022-06-25 04:00:00,2022-06-25 04:15:00,0.32,0.67
31,2022-07-02 00:45:00,2022-07-02 01:00:00,0.32,0.67
32,2022-07-09 04:00:00,2022-07-09 04:15:00,0.28,0.7
33,2022-07-11 04:00:00,2022-07-11 04:00:00,0.12,0.67
34,2022-09-12 00:30:00,2022-09-12 00:45:00,0.41,0.75
35,2022-09-13 05:45:00,2022-09-13 06:00:00,0.35,0.68
36,2022-09-16 19:30:00,2022-09-16 19:45:00,0.42,0.66
37,2022-09-17 00:15:00,2022-09-17 00:30:00,0.31,0.77
38,2022-09-17 04:00:00,2022-09-17 04:15:00,0.31,0.9
39,2022-09-17 06:00:00,2022-09-17 06:15:00,0.44,0.73
40,2022-09-17 19:00:00,2022-09-17 19:15:00,0.49,0.76
41,2022-09-17 23:15:00,2022-09-17 23:30:00,0.39,0.96
42,2022-09-18 01:15:00,2022-09-18 01:15:00,0.12,0.46
43,2022-09-18 02:45:00,2022-09-18 03:00:00,0.35,0.72
44,2022-09-18 04:30:00,2022-09-18 04:45:00,0.47,0.81
45,2022-09-18 08:30:00,2022-09-18 08:30:00,0.12,0.67
46,2022-09-19 01:15:00,2022-09-19 01:30:00,0.39,0.76
47,2022-09-19 06:00:00,2022-09-19 06:15:00,0.39,0.69
48,2022-09-19 19:45:00,2022-09-19 20:00:00,0.4,0.73
49,2022-09-19 23:15:00,2022-09-19 23:30:00,0.36,0.97
50,2022-09-20 01:15:00,2022-09-20 01:30:00,0.44,0.76
51,2022-09-20 02:45:00,2022-09-20 03:00:00,0.32,0.79
52,2022-09-20 05:00:00,2022-09-20 05:15:00,0.33,0.77
53,2022-09-20 07:15:00,2022-09-20 07:30:00,0.32,0.81
54,2022-09-20 23:45:00,2022-09-21 00:00:00,0.36,0.98
55,2022-09-21 02:00:00,2022-09-21 02:15:00,0.28,0.76
56,2022-09-21 03:30:00,2022-09-21 03:45:00,0.48,0.8
57,2022-09-21 05:30:00,2022-09-21 05:45:00,0.38,0.76
58,2022-09-21 07:45:00,2022-09-21 08:00:00,0.37,0.82
59,2022-09-21 21:15:00,2022-09-21 21:30:00,0.42,0.93
60,2022-09-21 23:15:00,2022-09-21 23:30:00,0.31,0.88
