cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-23 00:30:00,1.69,3.27
1,2021-01-23 01:00:00,2021-01-23 02:00:00,1.18,4.71
2,2021-01-23 02:30:00,2021-01-23 02:30:00,0.12,0.59
3,2021-01-23 03:15:00,2021-01-23 03:15:00,0.12,0.56
4,2021-01-23 04:00:00,2021-01-23 04:00:00,0.12,0.52
5,2021-01-23 04:30:00,2021-01-23 12:00:00,7.52,14.53
6,2021-01-23 14:00:00,2021-01-23 14:15:00,0.33,0.85
7,2021-01-23 17:00:00,2021-01-23 17:30:00,0.57,1.58
8,2021-01-23 18:15:00,2021-01-23 23:45:00,5.66,10.57
9,2021-01-24 01:00:00,2021-01-24 01:45:00,0.87,4.89
10,2021-01-24 02:15:00,2021-01-24 02:15:00,0.12,0.57
11,2021-01-24 02:45:00,2021-01-24 02:45:00,0.12,0.56
12,2021-01-24 03:30:00,2021-01-24 03:30:00,0.12,0.5
13,2021-01-24 04:15:00,2021-01-24 13:30:00,9.43,17.68
14,2021-01-24 18:30:00,2021-01-24 18:45:00,0.38,0.71
15,2021-01-24 20:00:00,2021-01-24 21:15:00,1.27,2.58
16,2021-01-24 22:30:00,2021-01-25 18:15:00,20.0,45.94
17,2021-01-25 19:15:00,2021-01-25 20:45:00,1.75,4.13
18,2021-01-26 01:00:00,2021-01-26 02:15:00,1.48,6.27
19,2021-01-26 02:45:00,2021-01-26 12:45:00,10.2,21.1
20,2021-01-26 19:30:00,2021-01-26 19:45:00,0.49,0.88
21,2021-01-26 20:45:00,2021-01-27 12:00:00,15.23,36.77
22,2021-01-27 14:30:00,2021-01-27 14:45:00,0.41,0.96
23,2021-01-27 19:15:00,2021-01-27 20:30:00,1.33,2.88
24,2021-01-27 21:45:00,2021-01-28 11:15:00,13.54,34.34
25,2021-01-28 17:00:00,2021-01-28 17:00:00,0.12,0.26
26,2021-01-28 20:45:00,2021-01-28 21:30:00,0.79,2.1
27,2021-01-29 01:00:00,2021-01-29 01:45:00,0.93,5.43
28,2021-01-29 02:15:00,2021-01-29 02:15:00,0.12,0.8
29,2021-01-29 03:00:00,2021-01-29 03:00:00,0.12,0.92
30,2021-01-29 04:00:00,2021-01-29 04:45:00,0.82,1.99
31,2021-01-29 05:15:00,2021-01-29 05:15:00,0.12,0.58
32,2021-01-29 09:30:00,2021-01-29 12:00:00,2.62,4.73
33,2021-01-29 14:15:00,2021-01-29 14:30:00,0.5,0.79
34,2021-01-29 18:30:00,2021-01-29 20:15:00,1.87,3.66
35,2021-01-30 01:00:00,2021-01-30 16:15:00,15.45,37.15
36,2021-01-30 20:30:00,2021-01-30 21:00:00,0.43,1.19
37,2021-01-31 01:00:00,2021-01-31 01:45:00,0.91,5.34
38,2021-01-31 02:15:00,2021-01-31 02:15:00,0.12,0.76
39,2021-01-31 03:00:00,2021-01-31 03:00:00,0.12,0.73
40,2021-01-31 04:00:00,2021-01-31 04:00:00,0.12,0.56
41,2021-01-31 05:00:00,2021-01-31 09:45:00,4.89,9.57
42,2021-01-31 12:00:00,2021-01-31 12:15:00,0.37,0.64
43,2021-01-31 16:45:00,2021-01-31 17:00:00,0.42,1.04
44,2021-01-31 19:45:00,2021-01-31 20:15:00,0.5,1.34
45,2021-01-31 20:45:00,2021-02-01 10:30:00,13.89,33.63
46,2021-02-01 21:00:00,2021-02-01 21:15:00,0.4,0.54
47,2021-02-02 01:00:00,2021-02-02 01:45:00,0.84,4.76
48,2021-02-02 02:15:00,2021-02-02 02:15:00,0.12,0.67
49,2021-02-02 03:00:00,2021-02-02 03:00:00,0.12,0.6
50,2021-02-02 03:45:00,2021-02-02 09:00:00,5.31,11.45
51,2021-02-02 14:00:00,2021-02-02 14:15:00,0.45,1.03
52,2021-02-02 19:30:00,2021-02-02 19:45:00,0.48,1.06
53,2021-02-03 01:00:00,2021-02-03 02:00:00,1.18,5.99
54,2021-02-03 02:30:00,2021-02-03 02:45:00,0.38,0.65
55,2021-02-03 03:15:00,2021-02-03 03:15:00,0.12,0.58
56,2021-02-03 04:00:00,2021-02-03 08:45:00,4.7,8.88
57,2021-02-03 10:45:00,2021-02-03 11:00:00,0.49,0.71
58,2021-02-03 16:00:00,2021-02-03 16:15:00,0.46,1.02
59,2021-02-03 21:45:00,2021-02-03 22:00:00,0.39,1.0
60,2021-02-03 23:15:00,2021-02-04 12:00:00,12.76,31.74
61,2021-02-04 20:00:00,2021-02-04 20:15:00,0.36,0.83
62,2021-02-04 22:45:00,2021-02-05 10:45:00,12.24,29.7
63,2021-02-05 11:45:00,2021-02-05 11:45:00,0.12,0.19
