cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-28 23:45:00,2021-04-29 01:00:00,1.44,4.22
1,2021-04-29 02:45:00,2021-04-29 03:30:00,0.76,3.05
2,2021-04-29 04:45:00,2021-04-29 05:00:00,0.48,1.38
3,2021-04-29 06:30:00,2021-04-29 06:45:00,0.48,1.26
4,2021-04-29 10:00:00,2021-04-29 10:15:00,0.38,1.34
5,2021-04-29 12:00:00,2021-04-29 12:15:00,0.32,1.09
6,2021-04-29 14:45:00,2021-04-29 15:00:00,0.42,1.18
7,2021-04-29 16:45:00,2021-04-29 17:00:00,0.34,1.21
8,2021-04-29 18:45:00,2021-04-29 19:00:00,0.29,1.19
9,2021-04-29 23:45:00,2021-04-30 03:30:00,3.86,12.73
10,2021-04-30 04:45:00,2021-04-30 05:00:00,0.46,1.42
11,2021-04-30 06:30:00,2021-04-30 06:45:00,0.32,1.29
12,2021-04-30 08:45:00,2021-04-30 08:45:00,0.12,0.78
13,2021-04-30 11:45:00,2021-04-30 12:00:00,0.42,1.38
14,2021-04-30 13:00:00,2021-04-30 13:30:00,0.35,1.44
15,2021-04-30 14:45:00,2021-04-30 15:00:00,0.44,1.34
16,2021-04-30 16:45:00,2021-04-30 17:00:00,0.43,1.63
17,2021-04-30 18:00:00,2021-04-30 18:15:00,0.41,1.46
18,2021-04-30 19:30:00,2021-04-30 19:45:00,0.32,1.38
19,2021-04-30 23:45:00,2021-05-01 01:00:00,1.27,4.92
20,2021-05-01 02:45:00,2021-05-01 03:30:00,0.82,3.38
21,2021-05-01 04:15:00,2021-05-01 04:45:00,0.35,1.52
22,2021-05-01 05:30:00,2021-05-01 06:00:00,0.35,1.51
23,2021-05-01 06:45:00,2021-05-01 07:15:00,0.35,1.48
24,2021-05-01 08:15:00,2021-05-01 08:45:00,0.46,1.76
25,2021-05-01 09:15:00,2021-05-01 09:45:00,0.33,1.43
26,2021-05-01 11:00:00,2021-05-01 11:15:00,0.32,1.31
27,2021-05-01 12:15:00,2021-05-01 12:30:00,0.28,1.23
28,2021-05-01 13:45:00,2021-05-01 14:00:00,0.37,1.4
29,2021-05-01 15:15:00,2021-05-01 15:30:00,0.4,1.44
30,2021-05-01 16:45:00,2021-05-01 17:00:00,0.33,1.44
31,2021-05-01 18:00:00,2021-05-01 18:15:00,0.42,1.4
32,2021-05-01 19:15:00,2021-05-01 19:30:00,0.38,1.43
33,2021-05-01 23:45:00,2021-05-02 00:45:00,1.14,4.88
34,2021-05-02 02:15:00,2021-05-02 02:30:00,0.46,1.34
35,2021-05-02 03:00:00,2021-05-02 03:30:00,0.63,3.0
36,2021-05-02 04:15:00,2021-05-02 04:45:00,0.45,1.93
37,2021-05-02 05:15:00,2021-05-02 05:30:00,0.4,1.58
38,2021-05-02 06:30:00,2021-05-02 06:45:00,0.47,1.58
39,2021-05-02 07:45:00,2021-05-02 08:00:00,0.47,1.56
40,2021-05-02 09:15:00,2021-05-02 09:30:00,0.49,1.42
41,2021-05-02 10:45:00,2021-05-02 11:00:00,0.43,1.41
42,2021-05-02 12:00:00,2021-05-02 12:15:00,0.39,1.64
43,2021-05-02 13:30:00,2021-05-02 13:45:00,0.41,1.58
44,2021-05-02 15:00:00,2021-05-02 15:15:00,0.43,1.46
