cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-28 04:45:00,2021-08-28 04:45:00,0.12,0.96
1,2021-08-28 05:15:00,2021-08-28 05:30:00,0.32,0.73
2,2021-08-28 06:15:00,2021-08-28 06:30:00,0.38,0.7
3,2021-08-28 18:45:00,2021-08-28 19:00:00,0.4,0.66
4,2021-08-29 05:15:00,2021-08-29 05:15:00,0.12,0.7
5,2021-08-29 07:45:00,2021-08-29 08:00:00,0.3,0.61
6,2021-08-30 04:45:00,2021-08-30 04:45:00,0.12,0.6
7,2021-08-31 06:00:00,2021-08-31 06:00:00,0.12,0.6
8,2021-09-01 04:45:00,2021-09-01 04:45:00,0.12,0.74
9,2021-09-01 05:30:00,2021-09-01 05:45:00,0.41,0.66
10,2021-09-02 04:45:00,2021-09-02 04:45:00,0.12,0.87
11,2021-09-02 05:15:00,2021-09-02 05:30:00,0.4,0.74
12,2021-09-03 04:45:00,2021-09-03 04:45:00,0.12,0.7
13,2021-09-18 08:00:00,2021-09-18 08:00:00,0.12,0.61
14,2021-09-19 05:15:00,2021-09-19 05:15:00,0.12,0.79
15,2021-09-19 13:15:00,2021-09-19 13:15:00,0.12,0.64
16,2021-09-19 15:00:00,2021-09-19 15:00:00,0.12,0.65
17,2021-09-19 16:30:00,2021-09-19 16:45:00,0.3,0.69
18,2021-09-19 17:45:00,2021-09-19 18:00:00,0.37,0.66
19,2021-09-19 19:00:00,2021-09-19 19:15:00,0.5,0.71
20,2021-09-19 20:15:00,2021-09-19 20:15:00,0.12,0.67
21,2021-09-20 04:45:00,2021-09-20 04:45:00,0.12,0.76
22,2021-09-20 05:30:00,2021-09-20 05:45:00,0.35,0.7
23,2021-09-20 06:45:00,2021-09-20 06:45:00,0.12,0.63
24,2021-09-20 08:45:00,2021-09-20 09:00:00,0.41,0.82
25,2021-09-20 19:00:00,2021-09-20 19:15:00,0.34,0.84
26,2021-09-21 04:45:00,2021-09-21 04:45:00,0.12,0.96
27,2021-09-21 05:15:00,2021-09-21 05:30:00,0.41,0.81
28,2021-09-21 06:00:00,2021-09-21 06:00:00,0.12,0.66
29,2021-09-21 07:30:00,2021-09-21 07:30:00,0.12,0.64
30,2021-09-21 20:15:00,2021-09-21 20:30:00,0.43,0.67
31,2021-09-22 04:45:00,2021-09-22 04:45:00,0.12,1.16
32,2021-09-22 05:15:00,2021-09-22 05:30:00,0.29,0.88
33,2021-09-22 06:00:00,2021-09-22 06:00:00,0.12,0.87
34,2021-09-22 06:45:00,2021-09-22 06:45:00,0.12,0.78
35,2021-09-22 18:15:00,2021-09-22 18:30:00,0.35,0.66
36,2021-09-22 19:30:00,2021-09-22 19:45:00,0.38,0.7
37,2021-09-23 04:45:00,2021-09-23 05:30:00,1.0,2.76
38,2021-09-23 06:00:00,2021-09-23 06:00:00,0.12,1.01
39,2021-09-23 06:45:00,2021-09-23 06:45:00,0.12,0.83
40,2021-09-23 08:00:00,2021-09-23 08:00:00,0.12,0.71
41,2021-09-23 20:00:00,2021-09-23 20:00:00,0.12,0.64
42,2021-09-24 04:45:00,2021-09-24 04:45:00,0.12,0.93
43,2021-09-24 05:15:00,2021-09-24 05:30:00,0.33,0.8
44,2021-09-24 06:00:00,2021-09-24 06:00:00,0.12,0.71
