cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:30:00,2021-01-21 03:30:00,4.02,13.79
1,2021-01-21 04:30:00,2021-01-21 05:30:00,1.13,3.74
2,2021-01-21 06:45:00,2021-01-21 07:30:00,0.79,2.6
3,2021-01-21 09:30:00,2021-01-21 09:45:00,0.37,0.82
4,2021-01-21 11:30:00,2021-01-21 12:00:00,0.57,1.91
5,2021-01-21 14:00:00,2021-01-21 14:15:00,0.3,0.71
6,2021-01-21 15:15:00,2021-01-21 16:00:00,0.68,2.22
7,2021-01-21 18:15:00,2021-01-21 19:15:00,1.11,3.66
8,2021-01-21 20:30:00,2021-01-21 21:30:00,0.85,2.82
9,2021-01-21 22:45:00,2021-01-21 23:30:00,0.71,2.32
10,2021-01-22 00:45:00,2021-01-22 02:15:00,1.4,8.0
11,2021-01-22 02:45:00,2021-01-22 03:30:00,0.88,2.88
12,2021-01-22 05:00:00,2021-01-22 06:00:00,1.17,3.97
13,2021-01-22 07:30:00,2021-01-22 08:15:00,0.79,2.61
14,2021-01-22 11:00:00,2021-01-22 11:30:00,0.7,2.29
15,2021-01-22 13:30:00,2021-01-22 14:30:00,1.02,2.7
16,2021-01-22 16:00:00,2021-01-22 16:45:00,0.98,3.26
17,2021-01-22 18:15:00,2021-01-22 19:00:00,0.72,2.37
18,2021-01-22 20:15:00,2021-01-22 20:45:00,0.67,2.24
19,2021-01-22 22:15:00,2021-01-23 00:15:00,2.0,6.81
20,2021-01-23 01:00:00,2021-01-23 02:45:00,1.96,8.03
21,2021-01-23 04:00:00,2021-01-23 05:15:00,1.19,3.9
22,2021-01-23 06:30:00,2021-01-23 07:45:00,1.24,4.06
23,2021-01-23 09:15:00,2021-01-23 10:15:00,1.03,3.39
24,2021-01-23 11:45:00,2021-01-23 12:45:00,0.98,3.22
25,2021-01-23 14:15:00,2021-01-23 15:00:00,0.79,2.57
26,2021-01-23 16:15:00,2021-01-23 17:00:00,0.96,3.16
27,2021-01-23 18:15:00,2021-01-23 19:00:00,0.93,3.06
28,2021-01-23 20:15:00,2021-01-23 21:00:00,0.9,2.96
29,2021-01-23 22:30:00,2021-01-23 23:45:00,1.34,4.51
30,2021-01-24 00:45:00,2021-01-24 01:30:00,0.75,5.81
31,2021-01-24 02:45:00,2021-01-24 04:30:00,1.94,6.41
32,2021-01-24 05:45:00,2021-01-24 08:15:00,2.41,7.82
33,2021-01-24 09:45:00,2021-01-24 10:45:00,1.21,3.98
34,2021-01-24 12:15:00,2021-01-24 13:15:00,1.09,3.57
35,2021-01-24 14:45:00,2021-01-24 16:15:00,1.43,4.64
36,2021-01-24 17:30:00,2021-01-24 19:00:00,1.44,4.6
37,2021-01-24 20:00:00,2021-01-24 21:30:00,1.55,5.04
38,2021-01-24 23:00:00,2021-01-25 00:15:00,1.32,4.3
39,2021-01-25 01:00:00,2021-01-25 02:45:00,2.0,7.06
40,2021-01-25 04:15:00,2021-01-25 06:00:00,1.76,5.8
41,2021-01-25 07:15:00,2021-01-25 08:30:00,1.43,4.67
42,2021-01-25 11:00:00,2021-01-25 12:45:00,1.88,6.29
43,2021-01-25 14:00:00,2021-01-25 15:30:00,1.56,5.11
44,2021-01-25 16:30:00,2021-01-25 16:45:00,0.3,0.94
45,2021-01-25 18:15:00,2021-01-25 20:00:00,1.91,6.22
46,2021-01-25 21:00:00,2021-01-25 22:00:00,1.2,3.9
47,2021-01-25 23:00:00,2021-01-26 00:15:00,1.22,3.97
48,2021-01-26 01:00:00,2021-01-26 03:00:00,1.95,9.2
49,2021-01-26 04:00:00,2021-01-26 07:15:00,3.29,10.66
50,2021-01-26 08:45:00,2021-01-26 09:45:00,1.21,3.92
51,2021-01-26 11:00:00,2021-01-26 12:45:00,1.75,5.71
52,2021-01-26 14:15:00,2021-01-26 15:45:00,1.43,4.62
53,2021-01-26 18:15:00,2021-01-26 20:30:00,2.33,7.54
54,2021-01-26 21:45:00,2021-01-27 00:00:00,2.39,7.73
55,2021-01-27 01:00:00,2021-01-27 03:15:00,2.41,11.89
56,2021-01-27 04:30:00,2021-01-27 06:15:00,1.84,5.91
57,2021-01-27 07:30:00,2021-01-27 09:30:00,2.1,6.82
58,2021-01-27 11:00:00,2021-01-27 12:45:00,1.85,6.06
59,2021-01-27 14:00:00,2021-01-27 15:30:00,1.45,4.73
60,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.43
61,2021-01-27 18:15:00,2021-01-27 20:15:00,2.11,6.95
62,2021-01-27 21:30:00,2021-01-27 22:15:00,0.92,3.01
63,2021-01-27 23:45:00,2021-01-28 02:45:00,3.13,11.17
64,2021-01-28 04:00:00,2021-01-28 05:15:00,1.13,3.75
65,2021-01-28 06:30:00,2021-01-28 07:30:00,1.03,3.42
66,2021-01-28 09:00:00,2021-01-28 09:45:00,0.9,2.98
67,2021-01-28 11:30:00,2021-01-28 12:00:00,0.58,1.93
68,2021-01-28 14:15:00,2021-01-28 14:45:00,0.59,1.97
69,2021-01-28 16:45:00,2021-01-28 16:45:00,0.12,0.66
70,2021-01-28 18:15:00,2021-01-28 18:45:00,0.6,2.03
71,2021-01-28 20:30:00,2021-01-28 20:45:00,0.34,0.6
72,2021-01-28 21:30:00,2021-01-28 22:00:00,0.56,1.88
73,2021-01-29 00:00:00,2021-01-29 00:00:00,0.12,0.71
74,2021-01-29 01:00:00,2021-01-29 02:15:00,1.24,7.81
75,2021-01-29 03:15:00,2021-01-29 03:30:00,0.41,0.67
76,2021-01-29 04:15:00,2021-01-29 05:00:00,0.64,2.14
77,2021-01-29 06:45:00,2021-01-29 06:45:00,0.12,0.49
78,2021-01-29 07:30:00,2021-01-29 08:15:00,0.61,2.05
79,2021-01-29 09:45:00,2021-01-29 09:45:00,0.12,0.36
80,2021-01-29 11:00:00,2021-01-29 12:00:00,1.07,2.62
81,2021-01-29 13:45:00,2021-01-29 13:45:00,0.12,0.28
82,2021-01-29 14:30:00,2021-01-29 15:00:00,0.6,1.99
83,2021-01-29 16:30:00,2021-01-29 16:30:00,0.12,0.47
84,2021-01-29 18:15:00,2021-01-29 20:00:00,1.9,6.43
85,2021-01-29 21:45:00,2021-01-29 22:45:00,1.04,3.62
86,2021-01-30 00:15:00,2021-01-30 01:30:00,1.33,5.92
87,2021-01-30 02:30:00,2021-01-30 03:15:00,0.69,2.28
88,2021-01-30 04:30:00,2021-01-30 05:00:00,0.71,2.34
89,2021-01-30 06:30:00,2021-01-30 07:30:00,1.01,3.37
90,2021-01-30 09:15:00,2021-01-30 10:30:00,1.31,3.62
91,2021-01-30 12:15:00,2021-01-30 13:00:00,0.68,2.25
92,2021-01-30 14:30:00,2021-01-30 15:15:00,0.81,2.68
93,2021-01-30 17:00:00,2021-01-30 18:00:00,0.97,3.24
94,2021-01-30 19:45:00,2021-01-30 20:30:00,0.88,2.93
95,2021-01-30 22:15:00,2021-01-30 22:45:00,0.66,2.19
96,2021-01-31 00:30:00,2021-01-31 01:30:00,1.01,5.7
97,2021-01-31 02:45:00,2021-01-31 03:45:00,0.9,2.97
98,2021-01-31 05:15:00,2021-01-31 06:00:00,0.68,2.27
99,2021-01-31 07:15:00,2021-01-31 07:45:00,0.66,2.18
100,2021-01-31 09:30:00,2021-01-31 10:30:00,1.02,3.43
101,2021-01-31 12:45:00,2021-01-31 13:00:00,0.46,1.26
102,2021-01-31 14:30:00,2021-01-31 15:00:00,0.61,2.05
103,2021-01-31 16:30:00,2021-01-31 17:30:00,0.87,2.88
104,2021-01-31 19:00:00,2021-01-31 19:45:00,0.73,2.41
105,2021-01-31 21:15:00,2021-01-31 21:45:00,0.67,2.23
106,2021-01-31 23:15:00,2021-02-01 00:15:00,0.96,3.17
107,2021-02-01 01:00:00,2021-02-01 02:45:00,1.79,5.51
108,2021-02-01 04:00:00,2021-02-01 04:45:00,0.71,2.33
109,2021-02-01 06:15:00,2021-02-01 07:00:00,0.99,3.31
110,2021-02-01 08:45:00,2021-02-01 09:30:00,0.81,2.66
111,2021-02-01 11:30:00,2021-02-01 12:00:00,0.6,2.0
112,2021-02-01 14:00:00,2021-02-01 15:00:00,1.1,2.32
113,2021-02-01 16:45:00,2021-02-01 16:45:00,0.12,0.48
114,2021-02-01 18:15:00,2021-02-01 19:15:00,0.93,2.41
115,2021-02-01 20:45:00,2021-02-01 20:45:00,0.12,0.33
116,2021-02-01 21:30:00,2021-02-01 22:00:00,0.62,2.06
117,2021-02-01 23:30:00,2021-02-01 23:45:00,0.44,0.55
118,2021-02-02 00:30:00,2021-02-02 01:45:00,1.26,5.74
119,2021-02-02 02:30:00,2021-02-02 02:45:00,0.5,0.44
120,2021-02-02 03:15:00,2021-02-02 04:00:00,0.66,2.21
121,2021-02-02 05:30:00,2021-02-02 05:30:00,0.12,0.41
122,2021-02-02 06:15:00,2021-02-02 06:45:00,0.64,2.14
123,2021-02-02 08:30:00,2021-02-02 08:30:00,0.12,0.46
124,2021-02-02 09:30:00,2021-02-02 09:45:00,0.49,1.66
125,2021-02-02 11:45:00,2021-02-02 11:45:00,0.12,0.82
126,2021-02-02 13:45:00,2021-02-02 14:00:00,0.49,1.67
127,2021-02-02 16:00:00,2021-02-02 16:15:00,0.35,0.83
128,2021-02-02 18:15:00,2021-02-02 18:45:00,0.58,1.97
129,2021-02-02 21:00:00,2021-02-02 21:00:00,0.12,0.63
130,2021-02-02 22:15:00,2021-02-02 22:45:00,0.55,1.84
131,2021-02-03 01:00:00,2021-02-03 03:00:00,2.24,8.62
132,2021-02-03 05:00:00,2021-02-03 05:15:00,0.32,0.79
133,2021-02-03 06:15:00,2021-02-03 06:45:00,0.59,1.98
134,2021-02-03 08:30:00,2021-02-03 08:30:00,0.12,0.63
135,2021-02-03 09:30:00,2021-02-03 09:45:00,0.36,1.2
136,2021-02-03 12:15:00,2021-02-03 12:45:00,0.56,1.85
137,2021-02-03 14:30:00,2021-02-03 15:15:00,0.66,2.19
138,2021-02-03 18:15:00,2021-02-03 18:15:00,0.12,0.48
139,2021-02-03 18:45:00,2021-02-03 19:30:00,0.65,2.18
140,2021-02-03 21:00:00,2021-02-03 21:15:00,0.39,0.46
141,2021-02-03 22:00:00,2021-02-03 22:30:00,0.59,1.94
142,2021-02-04 00:00:00,2021-02-04 00:15:00,0.47,0.67
143,2021-02-04 01:00:00,2021-02-04 01:45:00,0.82,6.32
144,2021-02-04 03:00:00,2021-02-04 03:45:00,0.9,2.99
145,2021-02-04 05:00:00,2021-02-04 06:00:00,0.98,4.29
146,2021-02-04 07:15:00,2021-02-04 08:00:00,0.91,3.01
147,2021-02-04 11:00:00,2021-02-04 11:00:00,0.12,0.64
148,2021-02-04 12:15:00,2021-02-04 12:45:00,0.58,1.9
149,2021-02-04 15:00:00,2021-02-04 15:15:00,0.35,0.74
150,2021-02-04 16:15:00,2021-02-04 16:45:00,0.6,1.98
151,2021-02-04 18:30:00,2021-02-04 18:30:00,0.12,0.61
152,2021-02-04 19:30:00,2021-02-04 20:00:00,0.66,2.18
153,2021-02-04 21:45:00,2021-02-04 22:30:00,0.88,2.98
154,2021-02-05 00:15:00,2021-02-05 02:00:00,1.86,8.0
155,2021-02-05 02:30:00,2021-02-05 03:15:00,0.74,2.43
156,2021-02-05 04:15:00,2021-02-05 05:00:00,0.66,3.64
157,2021-02-05 06:30:00,2021-02-05 07:15:00,0.96,3.23
158,2021-02-05 09:00:00,2021-02-05 09:45:00,0.78,2.61
159,2021-02-05 14:30:00,2021-02-05 15:00:00,0.52,1.75
160,2021-02-05 18:15:00,2021-02-05 18:15:00,0.12,0.5
161,2021-02-05 18:45:00,2021-02-05 19:30:00,0.66,2.19
162,2021-02-05 21:00:00,2021-02-05 21:00:00,0.12,0.38
163,2021-02-05 21:45:00,2021-02-05 22:15:00,0.62,2.06
164,2021-02-06 00:00:00,2021-02-06 01:30:00,1.61,5.99
165,2021-02-06 02:30:00,2021-02-06 03:30:00,0.88,2.9
166,2021-02-06 05:00:00,2021-02-06 05:30:00,0.73,2.41
167,2021-02-06 06:45:00,2021-02-06 07:30:00,0.71,2.34
168,2021-02-06 09:00:00,2021-02-06 09:45:00,0.81,2.69
169,2021-02-06 11:15:00,2021-02-06 11:45:00,0.48,1.57
170,2021-02-06 13:15:00,2021-02-06 13:45:00,0.61,2.03
171,2021-02-06 15:45:00,2021-02-06 15:45:00,0.12,0.56
172,2021-02-06 16:30:00,2021-02-06 17:15:00,0.68,2.26
173,2021-02-06 18:45:00,2021-02-06 19:00:00,0.4,0.38
174,2021-02-06 19:30:00,2021-02-06 20:15:00,0.67,2.23
175,2021-02-06 21:45:00,2021-02-06 22:30:00,0.85,2.85
176,2021-02-07 00:00:00,2021-02-07 03:15:00,3.25,13.8
177,2021-02-07 04:45:00,2021-02-07 05:45:00,1.1,3.69
178,2021-02-07 07:15:00,2021-02-07 08:00:00,0.95,3.12
179,2021-02-07 10:00:00,2021-02-07 10:45:00,0.71,2.37
180,2021-02-07 12:15:00,2021-02-07 13:00:00,0.69,2.28
181,2021-02-07 14:30:00,2021-02-07 15:45:00,1.09,3.67
182,2021-02-07 17:00:00,2021-02-07 18:00:00,1.06,3.65
183,2021-02-07 19:30:00,2021-02-07 20:30:00,1.06,3.53
184,2021-02-07 21:45:00,2021-02-07 23:00:00,1.17,3.86
185,2021-02-08 00:30:00,2021-02-08 02:00:00,1.56,8.74
186,2021-02-08 03:00:00,2021-02-08 04:15:00,1.24,4.06
187,2021-02-08 05:30:00,2021-02-08 06:45:00,1.23,4.02
188,2021-02-08 08:00:00,2021-02-08 09:00:00,1.03,3.38
189,2021-02-08 11:00:00,2021-02-08 12:00:00,0.9,2.94
190,2021-02-08 13:00:00,2021-02-08 14:00:00,0.96,3.14
191,2021-02-08 15:00:00,2021-02-08 16:00:00,0.91,2.96
192,2021-02-08 18:15:00,2021-02-08 20:15:00,1.98,6.55
193,2021-02-08 21:30:00,2021-02-08 23:00:00,1.52,4.89
194,2021-02-09 00:00:00,2021-02-09 01:45:00,1.69,7.33
195,2021-02-09 02:15:00,2021-02-09 03:30:00,1.19,3.9
196,2021-02-09 04:30:00,2021-02-09 05:45:00,1.17,3.77
197,2021-02-09 06:45:00,2021-02-09 07:45:00,1.11,3.6
198,2021-02-09 08:45:00,2021-02-09 09:45:00,1.16,3.8
199,2021-02-09 11:00:00,2021-02-09 12:30:00,1.39,4.54
200,2021-02-09 14:00:00,2021-02-09 15:15:00,1.26,4.1
201,2021-02-09 16:30:00,2021-02-09 16:45:00,0.29,0.92
202,2021-02-09 18:15:00,2021-02-09 20:00:00,1.8,5.87
203,2021-02-09 21:15:00,2021-02-09 22:30:00,1.37,4.45
204,2021-02-10 00:00:00,2021-02-10 01:45:00,1.88,8.26
205,2021-02-10 02:15:00,2021-02-10 03:30:00,1.15,3.71
206,2021-02-10 04:30:00,2021-02-10 05:30:00,1.08,3.52
207,2021-02-10 06:30:00,2021-02-10 07:30:00,1.09,3.54
208,2021-02-10 08:30:00,2021-02-10 09:30:00,1.04,3.38
209,2021-02-10 11:00:00,2021-02-10 12:00:00,1.06,3.51
210,2021-02-10 13:00:00,2021-02-10 14:00:00,0.98,3.18
211,2021-02-10 14:45:00,2021-02-10 16:45:00,2.1,6.78
