cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-05 00:15:00,2022-04-05 10:45:00,10.7,39.14
1,2022-04-05 12:00:00,2022-04-05 13:45:00,1.86,5.96
2,2022-04-05 14:15:00,2022-04-05 14:15:00,0.12,0.67
3,2022-04-05 14:45:00,2022-04-05 14:45:00,0.12,0.7
4,2022-04-05 15:15:00,2022-04-05 17:00:00,2.0,3.04
5,2022-04-05 17:30:00,2022-04-05 17:30:00,0.12,0.7
6,2022-04-05 19:15:00,2022-04-05 19:30:00,0.45,1.41
7,2022-04-05 21:15:00,2022-04-05 22:00:00,0.75,2.36
8,2022-04-05 23:15:00,2022-04-05 23:15:00,0.12,0.35
9,2022-04-06 00:00:00,2022-04-06 10:30:00,10.53,38.88
10,2022-04-06 12:00:00,2022-04-06 12:00:00,0.12,0.67
11,2022-04-06 12:30:00,2022-04-06 13:15:00,1.0,1.53
12,2022-04-06 13:45:00,2022-04-06 13:45:00,0.12,0.62
13,2022-04-06 14:15:00,2022-04-06 14:30:00,0.4,0.63
14,2022-04-06 15:00:00,2022-04-06 15:00:00,0.12,0.55
15,2022-04-06 15:30:00,2022-04-06 15:45:00,0.48,0.62
16,2022-04-06 16:15:00,2022-04-06 16:30:00,0.31,0.64
17,2022-04-06 17:00:00,2022-04-06 17:00:00,0.12,0.6
18,2022-04-06 17:30:00,2022-04-06 17:30:00,0.12,0.69
19,2022-04-06 19:15:00,2022-04-06 21:00:00,1.85,4.39
20,2022-04-06 22:15:00,2022-04-06 22:15:00,0.12,0.36
21,2022-04-07 00:00:00,2022-04-07 08:45:00,8.78,34.65
22,2022-04-07 09:30:00,2022-04-07 09:45:00,0.32,0.58
23,2022-04-07 10:15:00,2022-04-07 10:30:00,0.3,0.61
24,2022-04-07 12:00:00,2022-04-07 12:45:00,1.0,1.44
25,2022-04-07 13:15:00,2022-04-07 13:15:00,0.12,0.56
26,2022-04-07 13:45:00,2022-04-07 14:00:00,0.44,0.6
27,2022-04-07 14:30:00,2022-04-07 14:30:00,0.12,0.55
28,2022-04-07 15:00:00,2022-04-07 15:00:00,0.12,0.53
29,2022-04-07 15:30:00,2022-04-07 15:45:00,0.37,0.61
30,2022-04-07 16:15:00,2022-04-07 16:15:00,0.12,0.55
31,2022-04-07 16:45:00,2022-04-07 17:30:00,1.0,1.21
32,2022-04-07 19:15:00,2022-04-07 23:00:00,3.77,11.82
33,2022-04-08 00:00:00,2022-04-08 05:45:00,5.8,25.43
34,2022-04-08 06:15:00,2022-04-08 08:00:00,1.84,3.56
35,2022-04-08 08:30:00,2022-04-08 08:45:00,0.38,1.19
36,2022-04-08 09:30:00,2022-04-08 09:30:00,0.12,0.56
37,2022-04-08 10:00:00,2022-04-08 10:15:00,0.35,0.61
38,2022-04-08 10:45:00,2022-04-08 10:45:00,0.12,0.57
39,2022-04-08 12:00:00,2022-04-08 12:30:00,0.67,2.3
40,2022-04-08 13:00:00,2022-04-08 13:45:00,1.0,1.63
41,2022-04-08 14:15:00,2022-04-08 14:15:00,0.12,0.59
42,2022-04-08 14:45:00,2022-04-08 15:30:00,1.0,1.26
43,2022-04-08 16:00:00,2022-04-08 16:00:00,0.12,0.57
44,2022-04-08 16:30:00,2022-04-08 17:15:00,0.95,1.57
45,2022-04-08 17:45:00,2022-04-08 17:45:00,0.12,0.7
46,2022-04-08 19:15:00,2022-04-08 19:45:00,0.48,1.59
47,2022-04-08 21:30:00,2022-04-08 21:45:00,0.33,0.45
48,2022-04-08 23:15:00,2022-04-08 23:15:00,0.12,0.33
49,2022-04-09 00:00:00,2022-04-09 10:30:00,10.6,40.69
50,2022-04-09 11:00:00,2022-04-09 11:30:00,0.53,1.72
51,2022-04-09 12:00:00,2022-04-09 12:15:00,0.48,1.19
52,2022-04-09 12:45:00,2022-04-09 12:45:00,0.12,0.59
53,2022-04-09 13:15:00,2022-04-09 14:30:00,1.5,1.91
54,2022-04-09 15:00:00,2022-04-09 15:00:00,0.12,0.55
55,2022-04-09 15:30:00,2022-04-09 16:00:00,0.6,2.04
56,2022-04-09 16:30:00,2022-04-09 16:30:00,0.12,0.57
57,2022-04-09 17:00:00,2022-04-09 17:00:00,0.12,0.59
58,2022-04-09 17:30:00,2022-04-09 17:30:00,0.12,0.58
59,2022-04-09 18:00:00,2022-04-09 18:15:00,0.44,1.11
60,2022-04-09 20:30:00,2022-04-09 20:30:00,0.12,0.34
61,2022-04-09 21:30:00,2022-04-09 21:30:00,0.12,0.34
62,2022-04-09 23:30:00,2022-04-09 23:30:00,0.12,0.34
63,2022-04-10 00:00:00,2022-04-10 13:30:00,13.6,42.55
64,2022-04-10 14:00:00,2022-04-10 14:15:00,0.48,0.74
65,2022-04-10 14:45:00,2022-04-10 14:45:00,0.12,0.6
66,2022-04-10 15:15:00,2022-04-10 15:30:00,0.45,0.7
67,2022-04-10 16:00:00,2022-04-10 16:00:00,0.12,0.61
68,2022-04-10 16:30:00,2022-04-10 17:15:00,1.0,1.41
69,2022-04-10 17:45:00,2022-04-10 17:45:00,0.12,0.61
70,2022-04-10 18:15:00,2022-04-10 18:15:00,0.12,0.61
71,2022-04-10 18:45:00,2022-04-10 20:30:00,1.78,3.35
72,2022-04-10 21:45:00,2022-04-10 21:45:00,0.12,0.34
73,2022-04-10 23:45:00,2022-04-10 23:45:00,0.12,0.34
74,2022-04-11 00:15:00,2022-04-11 09:15:00,9.17,34.14
75,2022-04-11 09:45:00,2022-04-11 11:00:00,1.18,2.9
76,2022-04-11 12:00:00,2022-04-11 12:15:00,0.48,1.41
77,2022-04-11 12:45:00,2022-04-11 13:00:00,0.4,0.71
78,2022-04-11 13:30:00,2022-04-11 13:45:00,0.37,0.67
79,2022-04-11 14:15:00,2022-04-11 14:15:00,0.12,0.58
80,2022-04-11 15:00:00,2022-04-11 15:00:00,0.12,0.59
81,2022-04-11 15:30:00,2022-04-11 15:45:00,0.36,0.65
82,2022-04-11 16:15:00,2022-04-11 16:30:00,0.33,0.63
83,2022-04-11 17:00:00,2022-04-11 17:00:00,0.12,0.55
84,2022-04-11 17:45:00,2022-04-11 17:45:00,0.12,0.57
85,2022-04-11 19:15:00,2022-04-11 19:15:00,0.12,0.7
86,2022-04-11 19:45:00,2022-04-11 20:00:00,0.47,0.83
87,2022-04-11 21:45:00,2022-04-11 22:00:00,0.47,0.48
88,2022-04-12 00:00:00,2022-04-12 02:45:00,2.74,14.04
89,2022-04-12 03:15:00,2022-04-12 08:15:00,5.24,15.87
90,2022-04-12 09:00:00,2022-04-12 09:00:00,0.12,0.56
91,2022-04-12 09:45:00,2022-04-12 09:45:00,0.12,0.59
92,2022-04-12 10:30:00,2022-04-12 10:30:00,0.12,0.6
93,2022-04-12 12:00:00,2022-04-12 12:00:00,0.12,0.69
94,2022-04-12 12:45:00,2022-04-12 12:45:00,0.12,0.54
95,2022-04-12 13:15:00,2022-04-12 13:30:00,0.46,0.64
96,2022-04-12 14:00:00,2022-04-12 14:15:00,0.37,0.66
97,2022-04-12 15:00:00,2022-04-12 15:00:00,0.12,0.55
98,2022-04-12 15:45:00,2022-04-12 16:45:00,0.99,1.42
99,2022-04-12 17:15:00,2022-04-12 17:45:00,0.72,0.87
100,2022-04-12 19:15:00,2022-04-12 19:45:00,0.56,1.91
101,2022-04-12 21:30:00,2022-04-12 21:45:00,0.47,0.48
102,2022-04-12 23:15:00,2022-04-13 01:30:00,2.46,13.04
103,2022-04-13 02:00:00,2022-04-13 02:00:00,0.12,0.67
104,2022-04-13 02:30:00,2022-04-13 03:15:00,1.0,1.45
105,2022-04-13 03:45:00,2022-04-13 03:45:00,0.12,0.61
106,2022-04-13 04:15:00,2022-04-13 04:30:00,0.48,0.68
107,2022-04-13 05:00:00,2022-04-13 05:00:00,0.12,0.58
108,2022-04-13 05:30:00,2022-04-13 05:45:00,0.46,0.67
109,2022-04-13 06:15:00,2022-04-13 06:15:00,0.12,0.58
110,2022-04-13 06:45:00,2022-04-13 07:00:00,0.4,0.81
111,2022-04-13 07:30:00,2022-04-13 08:15:00,1.0,1.38
112,2022-04-13 08:45:00,2022-04-13 09:00:00,0.37,0.65
113,2022-04-13 09:30:00,2022-04-13 09:30:00,0.12,0.55
114,2022-04-13 10:00:00,2022-04-13 10:15:00,0.3,0.65
115,2022-04-13 12:00:00,2022-04-13 12:00:00,0.12,0.66
116,2022-04-13 12:45:00,2022-04-13 12:45:00,0.12,0.52
117,2022-04-13 13:30:00,2022-04-13 13:45:00,0.37,0.61
118,2022-04-13 14:30:00,2022-04-13 14:45:00,0.32,0.61
119,2022-04-13 15:30:00,2022-04-13 15:30:00,0.12,0.5
120,2022-04-13 16:15:00,2022-04-13 16:30:00,0.46,0.59
121,2022-04-13 17:15:00,2022-04-13 17:30:00,0.37,0.6
122,2022-04-13 19:15:00,2022-04-13 19:15:00,0.12,0.61
123,2022-04-13 20:00:00,2022-04-13 20:15:00,0.42,1.05
124,2022-04-13 22:30:00,2022-04-13 22:45:00,0.37,0.4
125,2022-04-14 00:00:00,2022-04-14 01:15:00,1.34,9.29
