cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-11 03:45:00,2022-05-11 04:15:00,0.29,1.69
1,2022-05-12 03:30:00,2022-05-12 03:45:00,0.42,1.84
2,2022-05-13 06:45:00,2022-05-13 07:00:00,0.47,1.83
3,2022-05-14 01:00:00,2022-05-14 04:45:00,3.91,23.39
4,2022-05-17 16:30:00,2022-05-17 16:45:00,0.3,1.44
5,2022-05-18 21:30:00,2022-05-18 21:45:00,0.39,1.68
6,2022-05-20 04:15:00,2022-05-20 04:30:00,0.42,1.78
7,2022-05-21 01:00:00,2022-05-21 04:45:00,3.93,23.39
8,2022-05-24 16:45:00,2022-05-24 16:45:00,0.12,0.37
9,2022-05-24 23:45:00,2022-05-24 23:45:00,0.12,0.54
10,2022-05-25 00:15:00,2022-05-25 00:15:00,0.12,0.51
11,2022-05-25 00:45:00,2022-05-25 00:45:00,0.12,0.43
12,2022-05-25 01:15:00,2022-05-25 01:30:00,0.34,0.49
13,2022-05-25 02:00:00,2022-05-25 02:00:00,0.12,0.5
14,2022-05-25 02:30:00,2022-05-25 02:30:00,0.12,0.43
15,2022-05-25 03:15:00,2022-05-25 03:15:00,0.12,0.5
16,2022-05-25 03:45:00,2022-05-25 03:45:00,0.12,0.53
17,2022-05-25 04:15:00,2022-05-25 04:15:00,0.12,0.51
18,2022-05-25 04:45:00,2022-05-25 04:45:00,0.12,0.5
19,2022-05-25 05:15:00,2022-05-25 05:15:00,0.12,0.5
20,2022-05-25 05:45:00,2022-05-25 05:45:00,0.12,0.42
21,2022-05-25 06:15:00,2022-05-25 06:15:00,0.12,0.44
22,2022-05-25 06:45:00,2022-05-25 06:45:00,0.12,0.52
23,2022-05-25 07:15:00,2022-05-25 07:15:00,0.12,0.5
24,2022-05-25 14:00:00,2022-05-25 14:15:00,0.47,1.8
25,2022-05-26 03:45:00,2022-05-26 03:45:00,0.12,0.55
26,2022-05-26 04:15:00,2022-05-26 04:15:00,0.12,0.52
27,2022-05-26 04:45:00,2022-05-26 04:45:00,0.12,0.52
28,2022-05-26 05:15:00,2022-05-26 05:15:00,0.12,0.5
29,2022-05-26 06:00:00,2022-05-26 06:00:00,0.12,0.44
30,2022-05-26 23:15:00,2022-05-26 23:30:00,0.35,1.82
31,2022-05-28 01:00:00,2022-05-28 05:00:00,4.09,24.42
32,2022-05-29 05:45:00,2022-05-29 06:00:00,0.3,0.92
33,2022-05-29 06:30:00,2022-05-29 06:30:00,0.12,0.82
34,2022-05-29 07:00:00,2022-05-29 07:00:00,0.12,0.64
35,2022-05-29 07:30:00,2022-05-29 08:15:00,0.81,1.27
36,2022-05-29 23:45:00,2022-05-29 23:45:00,0.12,0.72
37,2022-05-30 00:15:00,2022-05-30 00:15:00,0.12,0.67
38,2022-05-30 00:45:00,2022-05-30 00:45:00,0.12,0.66
39,2022-05-30 01:15:00,2022-05-30 01:15:00,0.12,0.59
40,2022-05-30 01:45:00,2022-05-30 03:30:00,2.0,2.94
41,2022-05-30 04:00:00,2022-05-30 04:00:00,0.12,0.71
