cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-25 02:30:00,2022-06-25 06:45:00,4.38,17.1
1,2022-06-26 02:30:00,2022-06-26 02:45:00,0.5,1.92
2,2022-06-27 02:30:00,2022-06-27 03:00:00,0.58,2.23
3,2022-06-28 02:30:00,2022-06-28 03:00:00,0.59,2.27
4,2022-06-29 02:30:00,2022-06-29 03:00:00,0.6,2.28
5,2022-06-30 02:30:00,2022-06-30 03:00:00,0.6,2.32
6,2022-07-01 02:30:00,2022-07-01 03:00:00,0.61,2.32
7,2022-07-02 02:30:00,2022-07-02 03:00:00,0.58,2.23
8,2022-07-03 02:30:00,2022-07-03 03:00:00,0.61,2.35
9,2022-07-04 02:30:00,2022-07-04 03:00:00,0.57,2.18
10,2022-07-05 02:30:00,2022-07-05 03:00:00,0.6,2.28
11,2022-07-06 02:30:00,2022-07-06 03:00:00,0.58,2.26
12,2022-07-07 02:30:00,2022-07-07 03:00:00,0.59,2.25
13,2022-07-08 02:30:00,2022-07-08 03:00:00,0.55,2.13
14,2022-07-09 02:30:00,2022-07-09 03:00:00,0.62,2.34
15,2022-07-10 02:30:00,2022-07-10 03:00:00,0.55,2.13
16,2022-07-11 02:30:00,2022-07-11 03:00:00,0.66,2.55
17,2022-07-12 02:30:00,2022-07-12 03:00:00,0.55,2.1
18,2022-07-13 02:30:00,2022-07-13 02:45:00,0.49,1.89
19,2022-07-14 02:30:00,2022-07-14 03:00:00,0.62,2.41
20,2022-07-15 02:30:00,2022-07-15 03:00:00,0.53,2.05
21,2022-07-16 02:30:00,2022-07-16 03:00:00,0.56,2.15
22,2022-07-17 02:30:00,2022-07-17 03:00:00,0.53,2.04
23,2022-07-18 02:30:00,2022-07-18 02:45:00,0.48,1.84
24,2022-07-19 02:30:00,2022-07-19 03:00:00,0.56,2.17
25,2022-07-20 02:30:00,2022-07-20 02:45:00,0.48,1.82
26,2022-07-21 02:30:00,2022-07-21 02:45:00,0.5,1.91
27,2022-07-22 02:30:00,2022-07-22 03:00:00,0.57,2.21
28,2022-07-23 02:30:00,2022-07-23 02:45:00,0.44,1.71
29,2022-07-24 02:30:00,2022-07-24 02:45:00,0.5,1.93
30,2022-07-25 02:30:00,2022-07-25 03:00:00,0.54,2.1
31,2022-07-26 02:30:00,2022-07-26 02:45:00,0.5,1.91
32,2022-07-27 02:30:00,2022-07-27 02:45:00,0.47,1.8
33,2022-07-28 02:30:00,2022-07-28 03:00:00,0.53,2.04
34,2022-07-29 02:30:00,2022-07-29 02:45:00,0.5,1.93
35,2022-07-30 02:30:00,2022-07-30 02:45:00,0.49,1.84
36,2022-07-31 02:30:00,2022-07-31 03:00:00,0.56,2.18
37,2022-08-01 02:30:00,2022-08-01 03:00:00,0.55,2.12
38,2022-08-02 02:30:00,2022-08-02 02:45:00,0.44,1.68
39,2022-08-03 02:30:00,2022-08-03 02:45:00,0.5,1.93
40,2022-08-04 02:30:00,2022-08-04 02:45:00,0.5,1.92
41,2022-08-05 02:30:00,2022-08-05 03:00:00,0.54,2.12
42,2022-08-06 02:30:00,2022-08-06 02:45:00,0.49,1.86
43,2022-08-07 02:30:00,2022-08-07 03:00:00,0.53,2.02
44,2022-08-08 02:30:00,2022-08-08 03:00:00,0.59,2.27
45,2022-08-09 02:30:00,2022-08-09 02:45:00,0.5,1.93
46,2022-08-10 02:30:00,2022-08-10 02:45:00,0.5,1.92
47,2022-08-11 02:30:00,2022-08-11 02:45:00,0.5,1.92
48,2022-08-12 02:30:00,2022-08-12 03:00:00,0.55,2.12
49,2022-08-13 02:30:00,2022-08-13 02:45:00,0.5,1.9
50,2022-08-14 02:30:00,2022-08-14 03:00:00,0.6,2.29
51,2022-08-15 02:30:00,2022-08-15 02:45:00,0.45,1.71
52,2022-08-16 02:30:00,2022-08-16 02:45:00,0.5,1.92
53,2022-08-17 02:30:00,2022-08-17 02:45:00,0.5,1.91
54,2022-08-18 02:30:00,2022-08-18 02:45:00,0.47,1.79
55,2022-08-19 02:30:00,2022-08-19 02:45:00,0.49,1.87
56,2022-08-20 02:30:00,2022-08-20 03:00:00,0.58,2.24
57,2022-08-21 02:30:00,2022-08-21 03:00:00,0.6,2.32
58,2022-08-22 02:30:00,2022-08-22 03:00:00,0.54,2.09
59,2022-08-23 02:30:00,2022-08-23 02:45:00,0.5,1.9
60,2022-08-24 02:30:00,2022-08-24 03:00:00,0.57,2.19
61,2022-08-25 02:30:00,2022-08-25 02:45:00,0.5,1.92
62,2022-08-26 02:30:00,2022-08-26 03:00:00,0.61,2.35
63,2022-08-27 02:30:00,2022-08-27 03:00:00,0.57,2.23
64,2022-08-28 02:30:00,2022-08-28 02:45:00,0.49,1.92
65,2022-08-29 02:30:00,2022-08-29 02:45:00,0.5,1.91
66,2022-08-30 02:30:00,2022-08-30 03:00:00,0.57,2.22
67,2022-08-31 02:30:00,2022-08-31 03:00:00,0.55,2.11
68,2022-09-01 02:30:00,2022-09-01 03:00:00,0.54,2.05
69,2022-09-02 02:30:00,2022-09-02 03:00:00,0.67,2.59
70,2022-09-02 05:30:00,2022-09-02 05:30:00,0.12,0.69
71,2022-09-03 02:30:00,2022-09-03 02:45:00,0.5,1.94
72,2022-09-04 02:30:00,2022-09-04 03:00:00,0.53,2.07
73,2022-09-05 02:30:00,2022-09-05 03:00:00,0.55,2.14
