cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-29 23:15:00,2021-10-29 23:30:00,0.45,0.74
1,2021-10-30 00:30:00,2021-10-30 00:45:00,0.39,0.87
2,2021-10-30 01:45:00,2021-10-30 02:00:00,0.35,0.87
3,2021-10-30 03:15:00,2021-10-30 03:30:00,0.49,0.83
4,2021-10-30 04:45:00,2021-10-30 05:00:00,0.34,0.9
5,2021-10-30 06:15:00,2021-10-30 06:30:00,0.38,0.83
6,2021-10-30 07:30:00,2021-10-30 07:45:00,0.3,0.8
7,2021-10-30 09:00:00,2021-10-30 09:15:00,0.32,0.82
8,2021-10-30 11:15:00,2021-10-30 11:30:00,0.34,0.73
9,2021-10-30 13:00:00,2021-10-30 13:15:00,0.49,0.77
10,2021-10-30 15:30:00,2021-10-30 15:45:00,0.36,0.81
11,2021-10-30 17:00:00,2021-10-30 17:15:00,0.43,0.77
12,2021-10-30 18:30:00,2021-10-30 18:45:00,0.29,0.76
13,2021-10-30 20:15:00,2021-10-30 20:30:00,0.35,0.81
14,2021-10-30 22:00:00,2021-10-30 22:15:00,0.3,0.74
15,2021-10-30 23:30:00,2021-10-30 23:45:00,0.38,0.74
16,2021-10-31 01:00:00,2021-10-31 01:15:00,0.32,0.76
17,2021-10-31 02:45:00,2021-10-31 02:45:00,0.12,0.71
18,2021-10-31 04:15:00,2021-10-31 04:30:00,0.38,0.76
19,2021-10-31 05:15:00,2021-10-31 05:30:00,0.31,0.82
20,2021-10-31 07:15:00,2021-10-31 07:15:00,0.12,0.67
21,2021-10-31 16:30:00,2021-10-31 16:30:00,0.12,0.69
22,2021-10-31 18:45:00,2021-10-31 19:00:00,0.49,0.93
23,2021-10-31 20:15:00,2021-10-31 20:30:00,0.42,0.79
24,2021-10-31 22:15:00,2021-10-31 22:15:00,0.12,0.7
25,2021-11-01 05:00:00,2021-11-01 05:15:00,0.3,0.69
26,2021-11-01 06:30:00,2021-11-01 06:45:00,0.43,0.96
27,2021-11-01 08:00:00,2021-11-01 08:15:00,0.34,0.81
28,2021-11-01 12:30:00,2021-11-01 12:45:00,0.42,0.69
29,2021-11-01 15:30:00,2021-11-01 15:30:00,0.12,0.66
30,2021-11-01 18:00:00,2021-11-01 18:15:00,0.37,1.05
31,2021-11-01 19:00:00,2021-11-01 19:15:00,0.46,0.92
32,2021-11-01 20:00:00,2021-11-01 20:15:00,0.43,0.89
33,2021-11-01 21:00:00,2021-11-01 21:15:00,0.36,0.84
34,2021-11-01 22:15:00,2021-11-01 22:30:00,0.31,0.88
35,2021-11-01 23:15:00,2021-11-01 23:30:00,0.41,0.8
36,2021-11-02 00:30:00,2021-11-02 00:45:00,0.46,0.69
37,2021-11-02 01:45:00,2021-11-02 02:00:00,0.38,0.83
38,2021-11-02 03:00:00,2021-11-02 03:15:00,0.47,0.84
39,2021-11-02 04:15:00,2021-11-02 04:30:00,0.45,0.81
40,2021-11-02 05:30:00,2021-11-02 05:45:00,0.31,0.84
41,2021-11-02 07:00:00,2021-11-02 07:15:00,0.44,0.85
42,2021-11-02 09:15:00,2021-11-02 09:30:00,0.35,0.77
43,2021-11-02 11:15:00,2021-11-02 11:15:00,0.12,0.71
44,2021-11-02 15:15:00,2021-11-02 15:30:00,0.37,0.85
45,2021-11-02 16:30:00,2021-11-02 16:45:00,0.47,0.81
46,2021-11-02 18:00:00,2021-11-02 18:15:00,0.41,0.78
47,2021-11-02 19:30:00,2021-11-02 19:30:00,0.12,0.72
48,2021-11-02 20:45:00,2021-11-02 21:00:00,0.36,0.81
49,2021-11-02 22:15:00,2021-11-02 22:30:00,0.41,0.82
50,2021-11-02 23:00:00,2021-11-02 23:15:00,0.36,0.62
51,2021-11-03 00:30:00,2021-11-03 00:45:00,0.41,0.8
52,2021-11-03 01:45:00,2021-11-03 02:00:00,0.32,0.8
53,2021-11-03 03:15:00,2021-11-03 03:30:00,0.39,0.8
54,2021-11-03 04:30:00,2021-11-03 04:45:00,0.39,0.84
55,2021-11-03 05:45:00,2021-11-03 06:00:00,0.36,0.77
56,2021-11-03 07:00:00,2021-11-03 07:15:00,0.3,0.8
57,2021-11-03 11:15:00,2021-11-03 11:45:00,0.32,0.88
58,2021-11-03 12:45:00,2021-11-03 13:00:00,0.31,0.78
59,2021-11-03 14:15:00,2021-11-03 14:30:00,0.33,0.77
60,2021-11-03 15:30:00,2021-11-03 15:45:00,0.34,0.92
61,2021-11-03 16:45:00,2021-11-03 16:45:00,0.12,0.72
62,2021-11-03 17:45:00,2021-11-03 18:00:00,0.28,0.8
63,2021-11-03 19:15:00,2021-11-03 19:30:00,0.35,0.81
64,2021-11-03 20:30:00,2021-11-03 20:45:00,0.34,0.82
65,2021-11-03 22:00:00,2021-11-03 22:15:00,0.32,0.82
66,2021-11-03 23:15:00,2021-11-03 23:30:00,0.33,0.84
67,2021-11-04 00:45:00,2021-11-04 01:00:00,0.31,0.78
68,2021-11-04 02:00:00,2021-11-04 02:15:00,0.41,0.79
69,2021-11-04 03:15:00,2021-11-04 03:30:00,0.39,0.78
70,2021-11-04 04:45:00,2021-11-04 05:00:00,0.33,0.8
71,2021-11-04 06:00:00,2021-11-04 06:15:00,0.35,0.82
72,2021-11-04 07:30:00,2021-11-04 07:45:00,0.38,0.8
73,2021-11-04 08:45:00,2021-11-04 09:00:00,0.43,0.78
74,2021-11-04 11:00:00,2021-11-04 11:15:00,0.45,0.77
75,2021-11-04 12:45:00,2021-11-04 13:00:00,0.48,0.77
76,2021-11-04 14:15:00,2021-11-04 14:30:00,0.32,0.89
77,2021-11-04 15:15:00,2021-11-04 15:30:00,0.3,0.82
78,2021-11-04 16:45:00,2021-11-04 17:00:00,0.31,0.82
79,2021-11-04 18:00:00,2021-11-04 18:15:00,0.37,0.8
80,2021-11-04 19:15:00,2021-11-04 19:30:00,0.47,0.84
81,2021-11-04 20:30:00,2021-11-04 20:45:00,0.43,0.79
82,2021-11-04 21:45:00,2021-11-04 22:00:00,0.44,0.79
83,2021-11-04 23:15:00,2021-11-04 23:15:00,0.12,0.71
84,2021-11-05 00:30:00,2021-11-05 00:45:00,0.44,0.82
85,2021-11-05 01:45:00,2021-11-05 02:00:00,0.38,0.84
86,2021-11-05 03:00:00,2021-11-05 03:15:00,0.36,0.79
87,2021-11-05 04:15:00,2021-11-05 04:30:00,0.38,0.81
88,2021-11-05 05:45:00,2021-11-05 05:45:00,0.12,0.71
89,2021-11-05 07:00:00,2021-11-05 07:15:00,0.39,0.79
90,2021-11-05 08:15:00,2021-11-05 08:30:00,0.42,0.67
91,2021-11-05 13:45:00,2021-11-05 14:15:00,0.33,0.93
92,2021-11-05 15:15:00,2021-11-05 15:30:00,0.3,0.75
93,2021-11-05 16:00:00,2021-11-05 16:15:00,0.31,0.84
94,2021-11-05 17:15:00,2021-11-05 17:30:00,0.41,0.84
95,2021-11-05 18:30:00,2021-11-05 18:45:00,0.3,0.82
96,2021-11-05 19:45:00,2021-11-05 20:00:00,0.3,0.83
97,2021-11-05 20:30:00,2021-11-05 20:45:00,0.38,0.78
98,2021-11-05 21:15:00,2021-11-05 21:30:00,0.41,0.97
99,2021-11-05 22:15:00,2021-11-05 22:30:00,0.39,0.95
100,2021-11-05 23:15:00,2021-11-05 23:30:00,0.38,1.06
101,2021-11-06 01:15:00,2021-11-06 01:45:00,0.41,1.18
102,2021-11-06 03:00:00,2021-11-06 03:15:00,0.29,0.79
103,2021-11-06 04:45:00,2021-11-06 05:00:00,0.3,0.84
