cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-07 05:45:00,2022-06-07 06:30:00,1.0,0.78
1,2022-06-07 22:45:00,2022-06-07 23:30:00,0.98,0.89
2,2022-06-08 00:00:00,2022-06-08 00:45:00,1.0,0.7
3,2022-06-08 01:15:00,2022-06-08 01:15:00,0.12,0.23
4,2022-06-08 01:45:00,2022-06-08 02:45:00,1.2,1.03
5,2022-06-08 03:15:00,2022-06-08 05:00:00,1.99,1.44
6,2022-06-08 05:30:00,2022-06-08 06:15:00,1.0,0.72
7,2022-06-08 06:45:00,2022-06-08 06:45:00,0.12,0.24
8,2022-06-08 07:15:00,2022-06-08 07:45:00,0.71,0.46
9,2022-06-08 23:00:00,2022-06-09 01:30:00,2.72,1.82
10,2022-06-09 02:00:00,2022-06-09 02:45:00,1.0,0.49
11,2022-06-09 03:15:00,2022-06-09 03:15:00,0.12,0.24
12,2022-06-09 03:45:00,2022-06-09 03:45:00,0.12,0.2
13,2022-06-09 04:30:00,2022-06-09 04:30:00,0.12,0.23
14,2022-06-09 05:00:00,2022-06-09 05:00:00,0.12,0.23
15,2022-06-09 05:30:00,2022-06-09 05:45:00,0.36,0.25
16,2022-06-09 06:15:00,2022-06-09 06:15:00,0.12,0.24
17,2022-06-09 06:45:00,2022-06-09 07:00:00,0.37,0.25
18,2022-06-09 07:30:00,2022-06-09 07:30:00,0.12,0.23
19,2022-06-09 21:00:00,2022-06-09 22:30:00,1.75,1.37
20,2022-06-09 23:00:00,2022-06-10 01:00:00,2.24,1.84
21,2022-06-10 01:30:00,2022-06-10 07:30:00,6.12,5.53
22,2022-06-10 22:45:00,2022-06-10 23:30:00,0.86,0.57
23,2022-06-11 00:00:00,2022-06-11 00:00:00,0.12,0.23
24,2022-06-11 00:45:00,2022-06-11 00:45:00,0.12,0.18
25,2022-06-11 01:15:00,2022-06-11 02:15:00,1.2,0.98
26,2022-06-11 02:45:00,2022-06-11 02:45:00,0.12,0.23
27,2022-06-11 03:15:00,2022-06-11 03:15:00,0.12,0.23
28,2022-06-11 03:45:00,2022-06-11 03:45:00,0.12,0.23
29,2022-06-11 04:15:00,2022-06-11 04:15:00,0.12,0.23
30,2022-06-11 04:45:00,2022-06-11 04:45:00,0.12,0.23
