cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-02-17 00:30:00,2022-02-17 00:45:00,0.39,0.55
1,2022-02-17 01:30:00,2022-02-17 01:30:00,0.12,0.54
2,2022-02-17 02:15:00,2022-02-17 02:15:00,0.12,0.52
3,2022-02-17 03:00:00,2022-02-17 03:15:00,0.31,1.04
4,2022-02-17 03:45:00,2022-02-17 04:00:00,0.41,0.76
5,2022-02-17 04:30:00,2022-02-17 05:00:00,0.45,1.56
6,2022-02-17 05:30:00,2022-02-17 05:45:00,0.38,0.99
7,2022-02-17 06:15:00,2022-02-17 06:45:00,0.44,1.48
8,2022-02-17 07:15:00,2022-02-17 07:45:00,0.38,1.33
9,2022-02-17 08:15:00,2022-02-17 08:30:00,0.36,0.63
10,2022-02-17 09:00:00,2022-02-17 09:15:00,0.33,0.68
11,2022-02-17 09:45:00,2022-02-17 09:45:00,0.12,0.51
12,2022-02-17 10:15:00,2022-02-17 10:30:00,0.34,0.77
13,2022-02-17 12:00:00,2022-02-17 12:15:00,0.49,1.37
14,2022-02-17 13:15:00,2022-02-17 13:15:00,0.12,0.3
15,2022-02-17 14:45:00,2022-02-17 14:45:00,0.12,0.24
16,2022-02-17 16:30:00,2022-02-17 16:45:00,0.4,0.41
17,2022-02-17 17:45:00,2022-02-17 17:45:00,0.12,0.36
18,2022-02-17 19:15:00,2022-02-17 19:30:00,0.3,0.83
19,2022-02-17 20:00:00,2022-02-17 20:15:00,0.41,0.62
20,2022-02-17 20:45:00,2022-02-17 21:00:00,0.32,0.93
21,2022-02-17 21:45:00,2022-02-17 21:45:00,0.12,0.57
22,2022-02-17 22:30:00,2022-02-17 23:00:00,0.49,1.68
23,2022-02-17 23:30:00,2022-02-17 23:45:00,0.45,1.17
24,2022-02-18 00:30:00,2022-02-18 00:45:00,0.3,0.95
25,2022-02-18 01:15:00,2022-02-18 01:45:00,0.52,1.77
26,2022-02-18 02:15:00,2022-02-18 02:45:00,0.52,1.75
27,2022-02-18 03:15:00,2022-02-18 03:45:00,0.57,1.92
28,2022-02-18 04:15:00,2022-02-18 04:30:00,0.41,1.38
29,2022-02-18 05:00:00,2022-02-18 05:45:00,0.69,2.28
30,2022-02-18 06:15:00,2022-02-18 07:00:00,0.81,2.67
31,2022-02-18 07:30:00,2022-02-18 08:00:00,0.39,1.27
32,2022-02-18 08:30:00,2022-02-18 09:15:00,0.65,2.23
33,2022-02-18 10:00:00,2022-02-18 10:00:00,0.12,0.41
34,2022-02-18 10:45:00,2022-02-18 10:45:00,0.12,0.36
35,2022-02-18 12:00:00,2022-02-18 12:15:00,0.4,0.97
36,2022-02-18 13:00:00,2022-02-18 13:00:00,0.12,0.45
37,2022-02-18 13:45:00,2022-02-18 14:00:00,0.47,0.58
38,2022-02-18 14:45:00,2022-02-18 14:45:00,0.12,0.53
39,2022-02-18 15:15:00,2022-02-18 15:30:00,0.46,1.79
40,2022-02-18 16:45:00,2022-02-18 16:45:00,0.12,0.73
41,2022-02-18 17:30:00,2022-02-18 17:45:00,0.48,0.48
42,2022-02-18 19:15:00,2022-02-18 19:30:00,0.48,1.44
43,2022-02-18 20:15:00,2022-02-18 22:45:00,2.58,7.53
44,2022-02-18 23:15:00,2022-02-18 23:45:00,0.51,1.68
45,2022-02-19 00:15:00,2022-02-19 01:45:00,1.61,5.66
46,2022-02-19 02:15:00,2022-02-19 02:45:00,0.42,1.39
47,2022-02-19 03:15:00,2022-02-19 05:30:00,2.3,7.65
48,2022-02-19 06:00:00,2022-02-19 08:45:00,2.81,9.87
49,2022-02-19 09:30:00,2022-02-19 09:45:00,0.5,1.35
50,2022-02-19 10:15:00,2022-02-19 11:45:00,1.41,5.06
51,2022-02-19 12:15:00,2022-02-19 12:45:00,0.6,1.99
52,2022-02-19 13:30:00,2022-02-19 13:45:00,0.38,1.0
53,2022-02-19 14:15:00,2022-02-19 14:30:00,0.46,0.91
54,2022-02-19 15:15:00,2022-02-19 15:15:00,0.12,0.53
55,2022-02-19 16:00:00,2022-02-19 16:00:00,0.12,0.39
56,2022-02-19 16:45:00,2022-02-19 17:00:00,0.41,0.93
57,2022-02-19 17:45:00,2022-02-19 18:00:00,0.36,1.22
58,2022-02-19 18:30:00,2022-02-19 19:00:00,0.45,1.52
59,2022-02-19 19:30:00,2022-02-19 20:00:00,0.71,2.39
60,2022-02-19 20:30:00,2022-02-19 21:30:00,0.94,3.23
61,2022-02-19 22:00:00,2022-02-19 23:00:00,1.0,3.33
62,2022-02-19 23:30:00,2022-02-20 00:15:00,0.92,3.12
63,2022-02-20 00:45:00,2022-02-20 01:45:00,1.04,3.44
64,2022-02-20 02:15:00,2022-02-20 03:15:00,0.96,3.27
65,2022-02-20 03:45:00,2022-02-20 04:45:00,1.02,3.39
66,2022-02-20 05:15:00,2022-02-20 06:15:00,1.02,3.48
67,2022-02-20 06:45:00,2022-02-20 07:30:00,0.74,2.44
68,2022-02-20 08:00:00,2022-02-20 08:30:00,0.69,2.41
69,2022-02-20 09:15:00,2022-02-20 10:45:00,1.63,5.47
70,2022-02-20 11:30:00,2022-02-20 11:45:00,0.49,0.75
71,2022-02-20 12:30:00,2022-02-20 12:30:00,0.12,0.7
72,2022-02-20 13:15:00,2022-02-20 13:30:00,0.39,0.69
73,2022-02-20 14:00:00,2022-02-20 14:45:00,1.0,3.14
74,2022-02-20 15:30:00,2022-02-20 16:00:00,0.43,1.42
75,2022-02-20 16:30:00,2022-02-20 16:45:00,0.31,0.9
76,2022-02-20 17:30:00,2022-02-20 17:45:00,0.49,1.67
77,2022-02-20 18:15:00,2022-02-20 19:30:00,1.14,4.19
78,2022-02-20 20:00:00,2022-02-20 20:30:00,0.44,1.47
79,2022-02-20 21:00:00,2022-02-20 21:30:00,0.51,1.81
