cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-20 23:00:00,2021-02-21 04:00:00,4.91,14.66
1,2021-02-21 06:00:00,2021-02-21 09:00:00,2.92,8.96
2,2021-02-21 12:00:00,2021-02-21 13:00:00,0.92,3.12
3,2021-02-21 15:45:00,2021-02-21 17:00:00,1.28,4.32
4,2021-02-21 23:00:00,2021-02-22 04:00:00,4.92,14.7
5,2021-02-22 06:00:00,2021-02-22 09:00:00,3.03,8.94
6,2021-02-22 12:45:00,2021-02-22 13:15:00,0.64,2.15
7,2021-02-22 16:15:00,2021-02-22 16:15:00,0.12,0.44
8,2021-02-22 23:00:00,2021-02-23 04:00:00,4.9,14.54
9,2021-02-23 06:00:00,2021-02-23 09:00:00,2.91,8.97
10,2021-02-23 12:15:00,2021-02-23 12:45:00,0.59,2.04
11,2021-02-23 16:15:00,2021-02-23 16:15:00,0.12,0.62
12,2021-02-23 23:00:00,2021-02-24 04:00:00,4.94,14.43
13,2021-02-24 06:00:00,2021-02-24 09:00:00,2.97,8.92
14,2021-02-24 15:45:00,2021-02-24 16:15:00,0.69,2.33
15,2021-02-24 23:00:00,2021-02-25 04:00:00,5.0,14.47
16,2021-02-25 06:30:00,2021-02-25 09:00:00,2.46,7.69
17,2021-02-25 16:00:00,2021-02-25 16:15:00,0.36,1.16
18,2021-02-25 23:00:00,2021-02-26 04:00:00,4.95,14.9
19,2021-02-26 06:00:00,2021-02-26 08:30:00,2.45,7.73
20,2021-02-26 15:15:00,2021-02-26 16:00:00,0.83,2.75
21,2021-02-26 23:00:00,2021-02-27 04:00:00,4.95,15.25
22,2021-02-27 06:00:00,2021-02-27 08:15:00,2.29,7.31
23,2021-02-27 12:00:00,2021-02-27 14:00:00,1.89,6.36
24,2021-02-27 15:30:00,2021-02-27 17:00:00,1.55,5.23
25,2021-02-27 23:00:00,2021-02-28 04:00:00,4.96,15.12
26,2021-02-28 06:00:00,2021-02-28 09:00:00,2.9,9.1
27,2021-02-28 12:00:00,2021-02-28 15:45:00,3.57,11.63
28,2021-02-28 17:00:00,2021-02-28 17:00:00,0.12,0.44
29,2021-02-28 23:00:00,2021-03-01 04:00:00,4.96,14.5
30,2021-03-01 06:00:00,2021-03-01 09:00:00,2.9,8.9
31,2021-03-01 11:00:00,2021-03-01 11:00:00,0.12,0.26
32,2021-03-01 12:00:00,2021-03-01 14:00:00,1.98,6.69
33,2021-03-01 15:45:00,2021-03-01 16:15:00,0.64,2.13
34,2021-03-01 23:00:00,2021-03-02 04:00:00,4.96,14.52
35,2021-03-02 06:00:00,2021-03-02 09:00:00,2.9,8.9
36,2021-03-02 12:00:00,2021-03-02 13:30:00,1.42,4.8
37,2021-03-02 15:45:00,2021-03-02 16:15:00,0.64,2.14
38,2021-03-02 23:00:00,2021-03-03 04:00:00,4.96,14.63
39,2021-03-03 06:00:00,2021-03-03 09:00:00,2.95,9.21
40,2021-03-03 12:00:00,2021-03-03 14:00:00,2.0,6.67
41,2021-03-03 15:30:00,2021-03-03 16:15:00,0.78,2.59
42,2021-03-03 23:00:00,2021-03-04 04:00:00,4.95,14.8
43,2021-03-04 06:30:00,2021-03-04 09:00:00,2.46,7.68
44,2021-03-04 12:00:00,2021-03-04 13:00:00,0.85,2.86
45,2021-03-04 15:15:00,2021-03-04 16:15:00,1.07,3.61
46,2021-03-04 23:00:00,2021-03-05 04:00:00,4.97,14.58
47,2021-03-05 06:00:00,2021-03-05 09:00:00,2.96,9.07
48,2021-03-05 12:00:00,2021-03-05 16:00:00,4.04,12.78
49,2021-03-05 23:00:00,2021-03-06 04:00:00,4.95,15.29
50,2021-03-06 06:00:00,2021-03-06 09:00:00,2.96,9.32
51,2021-03-06 12:00:00,2021-03-06 16:15:00,4.18,13.76
52,2021-03-06 23:00:00,2021-03-07 04:00:00,4.95,14.79
53,2021-03-07 06:00:00,2021-03-07 09:00:00,2.95,9.3
54,2021-03-07 12:00:00,2021-03-07 14:30:00,2.46,7.91
55,2021-03-07 16:00:00,2021-03-07 17:00:00,0.98,3.36
56,2021-03-07 23:00:00,2021-03-08 04:00:00,4.98,14.66
57,2021-03-08 06:00:00,2021-03-08 09:00:00,2.96,8.99
58,2021-03-08 12:00:00,2021-03-08 13:45:00,1.79,6.05
59,2021-03-08 15:30:00,2021-03-08 16:15:00,0.87,2.95
60,2021-03-08 23:00:00,2021-03-09 04:00:00,4.96,14.84
61,2021-03-09 06:00:00,2021-03-09 09:00:00,2.96,9.11
62,2021-03-09 12:00:00,2021-03-09 14:15:00,2.2,7.37
63,2021-03-09 15:30:00,2021-03-09 16:15:00,0.82,2.74
64,2021-03-09 23:00:00,2021-03-10 04:00:00,4.9,14.69
65,2021-03-10 06:00:00,2021-03-10 09:00:00,3.03,8.95
66,2021-03-10 12:00:00,2021-03-10 13:30:00,1.38,4.64
67,2021-03-10 15:30:00,2021-03-10 16:15:00,0.9,3.04
68,2021-03-10 23:00:00,2021-03-11 03:45:00,4.8,15.4
69,2021-03-11 06:30:00,2021-03-11 08:00:00,1.41,4.78
70,2021-03-11 14:15:00,2021-03-11 14:45:00,0.62,2.11
71,2021-03-11 23:00:00,2021-03-12 04:00:00,4.96,15.26
72,2021-03-12 06:00:00,2021-03-12 07:15:00,1.17,3.89
73,2021-03-12 08:45:00,2021-03-12 09:00:00,0.32,0.63
74,2021-03-12 12:00:00,2021-03-12 13:00:00,1.02,3.38
75,2021-03-12 15:30:00,2021-03-12 16:15:00,0.9,3.01
76,2021-03-12 23:00:00,2021-03-13 03:00:00,3.87,12.3
77,2021-03-13 06:00:00,2021-03-13 07:30:00,1.37,4.53
78,2021-03-13 12:00:00,2021-03-13 13:15:00,1.16,3.85
79,2021-03-13 15:15:00,2021-03-13 17:00:00,1.91,5.8
80,2021-03-13 23:00:00,2021-03-14 04:00:00,5.0,14.58
81,2021-03-14 06:00:00,2021-03-14 09:00:00,2.96,8.96
82,2021-03-14 12:00:00,2021-03-14 17:00:00,4.93,15.02
83,2021-03-14 23:00:00,2021-03-15 04:00:00,4.97,14.66
84,2021-03-15 06:00:00,2021-03-15 09:00:00,2.95,9.06
85,2021-03-15 12:00:00,2021-03-15 16:15:00,4.3,13.44
86,2021-03-15 23:00:00,2021-03-16 04:00:00,4.96,14.46
87,2021-03-16 06:00:00,2021-03-16 09:00:00,2.96,8.96
88,2021-03-16 12:00:00,2021-03-16 16:15:00,4.3,13.78
89,2021-03-16 23:00:00,2021-03-17 04:00:00,4.98,14.63
90,2021-03-17 06:00:00,2021-03-17 09:00:00,2.96,8.93
91,2021-03-17 12:00:00,2021-03-17 16:15:00,4.28,13.2
92,2021-03-17 23:00:00,2021-03-18 04:00:00,4.91,14.7
93,2021-03-18 06:30:00,2021-03-18 09:00:00,2.45,7.68
94,2021-03-18 12:00:00,2021-03-18 16:15:00,4.3,14.17
95,2021-03-18 23:00:00,2021-03-19 04:00:00,4.95,15.07
96,2021-03-19 06:00:00,2021-03-19 09:00:00,2.96,9.19
97,2021-03-19 12:00:00,2021-03-19 16:15:00,4.23,14.55
98,2021-03-19 23:00:00,2021-03-20 04:00:00,4.97,14.74
99,2021-03-20 06:00:00,2021-03-20 09:00:00,2.96,9.21
100,2021-03-20 12:00:00,2021-03-20 17:00:00,4.95,16.73
101,2021-03-20 23:00:00,2021-03-21 04:00:00,4.95,15.47
102,2021-03-21 06:00:00,2021-03-21 09:00:00,2.96,9.65
103,2021-03-21 12:00:00,2021-03-21 17:00:00,4.96,15.98
104,2021-03-21 23:00:00,2021-03-22 04:00:00,4.9,15.17
105,2021-03-22 06:00:00,2021-03-22 09:00:00,2.95,9.45
106,2021-03-22 12:00:00,2021-03-22 14:45:00,2.73,9.31
107,2021-03-22 16:15:00,2021-03-22 16:15:00,0.12,0.72
108,2021-03-22 23:00:00,2021-03-23 04:00:00,4.94,15.16
109,2021-03-23 06:00:00,2021-03-23 09:00:00,2.95,9.4
110,2021-03-23 12:00:00,2021-03-23 13:15:00,1.16,3.93
111,2021-03-23 15:30:00,2021-03-23 16:15:00,0.99,3.36
112,2021-03-23 23:00:00,2021-03-24 04:00:00,4.91,14.9
113,2021-03-24 06:00:00,2021-03-24 09:00:00,2.95,9.39
114,2021-03-24 12:00:00,2021-03-24 12:45:00,0.65,2.22
115,2021-03-24 23:00:00,2021-03-25 04:00:00,4.97,14.63
116,2021-03-25 06:30:00,2021-03-25 09:00:00,2.49,7.69
117,2021-03-25 15:45:00,2021-03-25 16:15:00,0.58,1.9
118,2021-03-25 23:00:00,2021-03-26 04:00:00,4.94,14.98
119,2021-03-26 06:00:00,2021-03-26 07:00:00,0.95,3.08
120,2021-03-26 08:45:00,2021-03-26 09:00:00,0.47,0.92
121,2021-03-26 23:00:00,2021-03-27 01:45:00,2.79,8.7
122,2021-03-27 03:15:00,2021-03-27 04:00:00,0.89,2.99
123,2021-03-27 06:00:00,2021-03-27 08:45:00,2.81,8.51
124,2021-03-27 12:00:00,2021-03-27 13:00:00,0.96,3.17
125,2021-03-27 15:15:00,2021-03-27 16:15:00,0.9,2.95
126,2021-03-27 23:00:00,2021-03-28 04:00:00,4.95,14.73
127,2021-03-28 06:00:00,2021-03-28 08:30:00,2.51,7.89
