cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-05 23:00:00,2021-01-05 23:45:00,0.82,2.18
1,2021-01-06 00:30:00,2021-01-06 01:00:00,0.66,1.83
2,2021-01-06 01:30:00,2021-01-06 02:00:00,0.57,1.53
3,2021-01-06 02:45:00,2021-01-06 03:15:00,0.56,1.57
4,2021-01-06 03:45:00,2021-01-06 04:15:00,0.5,1.4
5,2021-01-06 04:45:00,2021-01-06 05:15:00,0.53,1.48
6,2021-01-06 05:45:00,2021-01-06 06:15:00,0.51,1.4
7,2021-01-06 06:45:00,2021-01-06 07:15:00,0.51,1.38
8,2021-01-06 07:45:00,2021-01-06 08:15:00,0.51,1.38
9,2021-01-06 08:45:00,2021-01-06 09:15:00,0.5,1.36
10,2021-01-06 09:45:00,2021-01-06 09:45:00,0.12,0.13
11,2021-01-06 11:00:00,2021-01-06 11:45:00,0.76,2.08
12,2021-01-06 12:15:00,2021-01-06 12:45:00,0.54,1.49
13,2021-01-06 13:15:00,2021-01-06 13:45:00,0.55,1.52
14,2021-01-06 14:15:00,2021-01-06 14:45:00,0.51,1.38
15,2021-01-06 15:15:00,2021-01-06 15:45:00,0.54,1.5
16,2021-01-06 17:45:00,2021-01-06 18:15:00,0.51,1.39
17,2021-01-06 19:45:00,2021-01-06 20:00:00,0.34,0.74
18,2021-01-06 21:00:00,2021-01-06 21:15:00,0.31,0.73
19,2021-01-06 22:00:00,2021-01-06 22:15:00,0.35,0.74
20,2021-01-06 23:15:00,2021-01-07 00:00:00,0.83,2.25
21,2021-01-07 00:30:00,2021-01-07 01:15:00,0.67,1.86
22,2021-01-07 01:45:00,2021-01-07 02:15:00,0.55,1.52
23,2021-01-07 02:45:00,2021-01-07 03:15:00,0.55,1.5
24,2021-01-07 03:45:00,2021-01-07 04:15:00,0.54,1.46
25,2021-01-07 04:45:00,2021-01-07 05:15:00,0.52,1.38
26,2021-01-07 06:00:00,2021-01-07 06:15:00,0.49,1.36
27,2021-01-07 07:00:00,2021-01-07 07:15:00,0.48,1.36
28,2021-01-07 08:00:00,2021-01-07 08:15:00,0.46,1.32
29,2021-01-07 09:00:00,2021-01-07 09:15:00,0.48,1.28
30,2021-01-07 11:00:00,2021-01-07 11:30:00,0.64,1.74
31,2021-01-07 12:00:00,2021-01-07 12:30:00,0.47,1.27
32,2021-01-07 13:00:00,2021-01-07 13:30:00,0.45,1.22
33,2021-01-07 14:00:00,2021-01-07 14:30:00,0.39,1.08
34,2021-01-07 15:00:00,2021-01-07 15:15:00,0.44,1.24
35,2021-01-07 16:00:00,2021-01-07 16:15:00,0.5,1.2
36,2021-01-07 17:45:00,2021-01-07 18:15:00,0.52,1.42
37,2021-01-07 20:30:00,2021-01-07 20:45:00,0.44,0.66
38,2021-01-07 21:45:00,2021-01-07 22:00:00,0.37,0.67
39,2021-01-07 23:00:00,2021-01-07 23:45:00,0.81,2.17
40,2021-01-08 00:15:00,2021-01-08 00:45:00,0.56,1.53
41,2021-01-08 01:30:00,2021-01-08 02:00:00,0.53,1.48
42,2021-01-08 02:30:00,2021-01-08 03:00:00,0.5,1.37
43,2021-01-08 03:30:00,2021-01-08 04:00:00,0.45,1.25
44,2021-01-08 04:30:00,2021-01-08 05:00:00,0.48,1.35
45,2021-01-08 05:30:00,2021-01-08 06:00:00,0.47,1.3
46,2021-01-08 06:30:00,2021-01-08 07:00:00,0.46,1.28
47,2021-01-08 07:30:00,2021-01-08 07:45:00,0.45,1.26
48,2021-01-08 08:30:00,2021-01-08 08:45:00,0.46,1.28
49,2021-01-08 09:30:00,2021-01-08 09:45:00,0.48,1.31
50,2021-01-08 11:00:00,2021-01-08 11:30:00,0.51,1.4
51,2021-01-08 12:00:00,2021-01-08 12:30:00,0.46,1.26
52,2021-01-08 13:00:00,2021-01-08 13:30:00,0.48,1.33
53,2021-01-08 14:00:00,2021-01-08 14:15:00,0.44,1.23
54,2021-01-08 15:00:00,2021-01-08 15:15:00,0.45,1.27
55,2021-01-08 16:00:00,2021-01-08 16:15:00,0.46,1.29
56,2021-01-08 17:45:00,2021-01-08 18:15:00,0.52,1.41
57,2021-01-08 19:30:00,2021-01-08 19:45:00,0.33,0.73
58,2021-01-08 20:30:00,2021-01-08 20:45:00,0.29,0.75
59,2021-01-08 21:30:00,2021-01-08 21:45:00,0.32,0.78
60,2021-01-08 22:30:00,2021-01-08 22:45:00,0.43,0.79
61,2021-01-08 23:15:00,2021-01-09 00:15:00,0.92,2.52
62,2021-01-09 00:45:00,2021-01-09 01:30:00,0.7,1.96
63,2021-01-09 02:00:00,2021-01-09 02:45:00,0.69,1.95
64,2021-01-09 03:15:00,2021-01-09 03:45:00,0.65,1.84
65,2021-01-09 04:15:00,2021-01-09 05:00:00,0.61,1.7
66,2021-01-09 05:30:00,2021-01-09 06:00:00,0.55,1.56
67,2021-01-09 06:30:00,2021-01-09 07:00:00,0.55,1.54
68,2021-01-09 07:30:00,2021-01-09 08:00:00,0.54,1.52
69,2021-01-09 08:45:00,2021-01-09 09:15:00,0.57,1.63
70,2021-01-09 09:45:00,2021-01-09 10:15:00,0.53,1.48
71,2021-01-09 10:45:00,2021-01-09 11:15:00,0.45,1.25
72,2021-01-09 11:45:00,2021-01-09 12:15:00,0.47,1.33
73,2021-01-09 12:45:00,2021-01-09 13:15:00,0.44,1.23
74,2021-01-09 13:45:00,2021-01-09 14:00:00,0.44,1.23
75,2021-01-09 14:45:00,2021-01-09 15:00:00,0.49,1.33
76,2021-01-09 15:45:00,2021-01-09 16:00:00,0.49,1.31
77,2021-01-09 16:45:00,2021-01-09 17:00:00,0.46,1.25
78,2021-01-09 17:30:00,2021-01-09 18:00:00,0.52,1.4
79,2021-01-09 20:15:00,2021-01-09 20:30:00,0.47,0.71
80,2021-01-09 21:30:00,2021-01-09 21:45:00,0.48,0.74
81,2021-01-09 22:45:00,2021-01-09 23:00:00,0.32,0.74
82,2021-01-09 23:30:00,2021-01-10 00:15:00,0.77,2.12
83,2021-01-10 00:45:00,2021-01-10 01:15:00,0.63,1.7
84,2021-01-10 02:00:00,2021-01-10 02:15:00,0.48,1.37
85,2021-01-10 03:00:00,2021-01-10 03:30:00,0.52,1.46
86,2021-01-10 04:00:00,2021-01-10 04:30:00,0.5,1.4
87,2021-01-10 05:00:00,2021-01-10 05:30:00,0.48,1.33
88,2021-01-10 06:00:00,2021-01-10 06:30:00,0.52,1.45
89,2021-01-10 07:00:00,2021-01-10 07:30:00,0.52,1.44
90,2021-01-10 08:00:00,2021-01-10 08:30:00,0.53,1.46
91,2021-01-10 09:15:00,2021-01-10 09:30:00,0.5,1.35
92,2021-01-10 10:15:00,2021-01-10 10:45:00,0.52,1.49
93,2021-01-10 11:15:00,2021-01-10 11:30:00,0.44,1.25
94,2021-01-10 12:15:00,2021-01-10 12:30:00,0.45,1.29
95,2021-01-10 13:15:00,2021-01-10 13:30:00,0.49,1.29
96,2021-01-10 14:15:00,2021-01-10 14:30:00,0.44,1.19
97,2021-01-10 15:00:00,2021-01-10 15:30:00,0.47,1.29
98,2021-01-10 16:00:00,2021-01-10 16:30:00,0.51,1.41
99,2021-01-10 17:00:00,2021-01-10 17:30:00,0.52,1.42
100,2021-01-10 18:00:00,2021-01-10 18:15:00,0.31,0.47
101,2021-01-10 20:00:00,2021-01-10 20:15:00,0.38,0.71
102,2021-01-10 21:15:00,2021-01-10 21:30:00,0.46,0.75
103,2021-01-10 22:30:00,2021-01-10 22:30:00,0.12,0.64
104,2021-01-10 23:15:00,2021-01-11 00:00:00,0.76,2.09
105,2021-01-11 00:30:00,2021-01-11 01:15:00,0.68,1.89
106,2021-01-11 01:45:00,2021-01-11 02:15:00,0.59,1.67
107,2021-01-11 02:45:00,2021-01-11 03:15:00,0.55,1.52
108,2021-01-13 13:15:00,2021-01-13 13:30:00,0.28,0.76
109,2021-01-13 14:00:00,2021-01-13 14:15:00,0.48,1.18
110,2021-01-13 15:00:00,2021-01-13 15:15:00,0.41,1.08
111,2021-01-13 15:45:00,2021-01-13 16:15:00,0.43,1.16
112,2021-01-13 17:45:00,2021-01-13 18:15:00,0.52,1.4
113,2021-01-13 21:00:00,2021-01-13 21:15:00,0.3,0.65
114,2021-01-13 22:45:00,2021-01-13 23:00:00,0.39,0.65
115,2021-01-13 23:30:00,2021-01-14 00:15:00,0.68,1.79
116,2021-01-14 00:45:00,2021-01-14 01:15:00,0.49,1.33
117,2021-01-14 01:45:00,2021-01-14 02:00:00,0.42,1.15
118,2021-01-14 02:45:00,2021-01-14 03:00:00,0.48,1.16
119,2021-01-14 03:30:00,2021-01-14 04:00:00,0.42,1.09
120,2021-01-14 04:30:00,2021-01-14 05:00:00,0.4,1.09
121,2021-01-14 05:30:00,2021-01-14 05:45:00,0.43,1.19
122,2021-01-14 06:30:00,2021-01-14 06:45:00,0.49,1.2
123,2021-01-14 07:30:00,2021-01-14 07:45:00,0.42,1.1
124,2021-01-14 08:15:00,2021-01-14 08:45:00,0.47,1.25
125,2021-01-14 09:15:00,2021-01-14 09:45:00,0.45,1.23
126,2021-01-14 11:00:00,2021-01-14 11:30:00,0.54,1.45
127,2021-01-14 12:00:00,2021-01-14 12:00:00,0.12,0.41
128,2021-01-14 13:15:00,2021-01-14 13:30:00,0.32,0.89
129,2021-01-14 14:00:00,2021-01-14 14:30:00,0.48,1.32
130,2021-01-14 15:00:00,2021-01-14 15:30:00,0.49,1.35
131,2021-02-20 23:15:00,2021-02-21 00:00:00,0.7,1.84
132,2021-02-21 00:30:00,2021-02-21 01:00:00,0.51,1.37
133,2021-02-21 01:30:00,2021-02-21 01:45:00,0.42,1.14
134,2021-02-21 02:30:00,2021-02-21 02:45:00,0.47,1.2
135,2021-02-21 03:30:00,2021-02-21 03:45:00,0.43,1.13
136,2021-02-21 04:15:00,2021-02-21 04:45:00,0.44,1.18
137,2021-02-21 05:15:00,2021-02-21 05:45:00,0.43,1.18
138,2021-02-21 06:15:00,2021-02-21 06:30:00,0.42,1.16
139,2021-02-21 07:15:00,2021-02-21 07:30:00,0.47,1.23
140,2021-02-21 08:15:00,2021-02-21 08:30:00,0.44,1.17
141,2021-02-21 09:00:00,2021-02-21 09:30:00,0.34,0.92
142,2021-02-21 10:00:00,2021-02-21 10:15:00,0.46,0.82
