cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-15 23:15:00,2021-05-16 00:00:00,0.79,4.12
1,2021-05-16 00:30:00,2021-05-16 01:15:00,1.0,2.4
2,2021-05-16 01:45:00,2021-05-16 02:00:00,0.47,0.76
3,2021-05-16 02:30:00,2021-05-16 02:30:00,0.12,0.71
4,2021-05-16 03:00:00,2021-05-16 03:15:00,0.45,0.76
5,2021-05-16 03:45:00,2021-05-16 04:00:00,0.36,1.56
6,2021-05-16 04:30:00,2021-05-16 04:45:00,0.33,0.77
7,2021-05-16 05:15:00,2021-05-16 05:15:00,0.12,0.68
8,2021-05-16 06:00:00,2021-05-16 06:15:00,0.42,0.76
9,2021-05-16 07:15:00,2021-05-16 07:30:00,0.39,0.76
10,2021-05-16 09:15:00,2021-05-16 09:30:00,0.34,0.75
11,2021-05-16 10:30:00,2021-05-16 10:45:00,0.39,0.74
12,2021-05-16 11:30:00,2021-05-16 11:45:00,0.35,0.75
13,2021-05-16 12:15:00,2021-05-16 12:30:00,0.42,0.76
14,2021-05-16 13:00:00,2021-05-16 13:15:00,0.34,0.76
15,2021-05-16 14:00:00,2021-05-16 14:15:00,0.33,0.76
16,2021-05-16 14:45:00,2021-05-16 15:00:00,0.34,0.76
17,2021-05-16 23:30:00,2021-05-16 23:30:00,0.12,2.03
18,2021-05-17 00:00:00,2021-05-17 02:15:00,2.35,5.69
19,2021-05-17 02:45:00,2021-05-17 04:00:00,1.5,2.29
20,2021-05-17 04:30:00,2021-05-17 05:45:00,1.5,2.3
21,2021-05-17 06:30:00,2021-05-17 06:30:00,0.12,0.74
22,2021-05-17 07:00:00,2021-05-17 07:15:00,0.39,0.77
23,2021-05-17 08:00:00,2021-05-17 08:00:00,0.12,0.71
24,2021-05-17 09:30:00,2021-05-17 09:30:00,0.12,0.7
25,2021-05-17 10:15:00,2021-05-17 10:30:00,0.39,0.76
26,2021-05-17 23:30:00,2021-05-17 23:30:00,0.12,2.33
27,2021-05-18 01:15:00,2021-05-18 01:30:00,0.37,0.97
28,2021-05-18 02:30:00,2021-05-18 03:15:00,0.84,2.43
29,2021-05-18 03:45:00,2021-05-18 04:30:00,1.0,1.8
30,2021-05-18 05:00:00,2021-05-18 05:00:00,0.12,0.65
31,2021-05-18 05:30:00,2021-05-18 06:15:00,1.0,1.51
32,2021-05-18 06:45:00,2021-05-18 07:30:00,1.0,1.52
33,2021-05-18 08:00:00,2021-05-18 08:15:00,0.34,0.76
34,2021-05-18 08:45:00,2021-05-18 09:00:00,0.36,0.76
35,2021-05-18 10:00:00,2021-05-18 10:15:00,0.42,0.76
36,2021-05-18 11:30:00,2021-05-18 11:30:00,0.12,0.68
37,2021-05-18 23:30:00,2021-05-18 23:45:00,0.46,4.21
38,2021-05-19 00:30:00,2021-05-19 01:45:00,1.3,4.93
39,2021-05-19 02:15:00,2021-05-19 02:30:00,0.46,0.99
40,2021-05-19 03:00:00,2021-05-19 04:15:00,1.5,3.2
41,2021-05-19 04:45:00,2021-05-19 05:30:00,0.98,1.53
42,2021-05-19 06:00:00,2021-05-19 06:15:00,0.38,0.76
43,2021-05-19 07:00:00,2021-05-19 07:00:00,0.12,0.74
44,2021-05-19 08:00:00,2021-05-19 08:15:00,0.3,0.76
45,2021-05-19 08:45:00,2021-05-19 09:00:00,0.36,0.76
46,2021-05-19 09:45:00,2021-05-19 10:00:00,0.41,0.76
47,2021-05-19 12:15:00,2021-05-19 12:30:00,0.34,0.74
48,2021-05-19 13:15:00,2021-05-19 13:15:00,0.12,0.69
49,2021-05-19 13:45:00,2021-05-19 14:00:00,0.36,0.75
50,2021-05-19 14:30:00,2021-05-19 14:45:00,0.32,0.75
51,2021-05-19 15:45:00,2021-05-19 16:00:00,0.49,0.75
52,2021-05-19 16:30:00,2021-05-19 17:15:00,1.0,1.51
53,2021-05-19 17:45:00,2021-05-19 17:45:00,0.12,0.7
54,2021-05-19 18:30:00,2021-05-19 18:30:00,0.12,0.7
55,2021-05-19 19:15:00,2021-05-19 19:30:00,0.3,0.77
56,2021-05-19 20:00:00,2021-05-19 20:15:00,0.31,0.77
57,2021-05-19 20:45:00,2021-05-19 20:45:00,0.12,0.68
58,2021-05-19 21:15:00,2021-05-19 21:30:00,0.31,0.77
59,2021-05-19 22:15:00,2021-05-19 22:15:00,0.12,0.68
60,2021-05-19 22:45:00,2021-05-19 23:00:00,0.37,0.78
61,2021-05-19 23:30:00,2021-05-19 23:45:00,0.3,2.89
62,2021-05-20 00:30:00,2021-05-20 00:30:00,0.12,0.72
63,2021-05-20 01:15:00,2021-05-20 02:15:00,1.25,2.48
64,2021-05-20 02:45:00,2021-05-20 03:00:00,0.34,0.77
65,2021-05-20 03:30:00,2021-05-20 03:30:00,0.12,0.75
66,2021-05-20 04:15:00,2021-05-20 04:30:00,0.46,0.77
67,2021-05-20 05:00:00,2021-05-20 05:15:00,0.39,0.77
68,2021-05-20 06:00:00,2021-05-20 06:00:00,0.12,0.72
69,2021-05-20 06:45:00,2021-05-20 07:00:00,0.29,0.76
70,2021-05-20 07:45:00,2021-05-20 07:45:00,0.12,0.68
71,2021-05-20 09:00:00,2021-05-20 09:15:00,0.46,0.76
72,2021-05-20 23:30:00,2021-05-20 23:30:00,0.12,2.34
73,2021-05-21 02:00:00,2021-05-21 02:00:00,0.12,0.88
74,2021-05-21 02:30:00,2021-05-21 03:15:00,0.91,2.63
75,2021-05-21 03:45:00,2021-05-21 05:00:00,1.5,2.25
76,2021-05-21 05:30:00,2021-05-21 05:45:00,0.34,0.76
77,2021-05-21 06:15:00,2021-05-21 06:30:00,0.5,0.75
78,2021-05-21 07:15:00,2021-05-21 07:30:00,0.32,0.75
79,2021-05-21 08:00:00,2021-05-21 08:00:00,0.12,0.7
80,2021-05-21 08:45:00,2021-05-21 08:45:00,0.12,0.7
81,2021-05-21 09:30:00,2021-05-21 09:45:00,0.32,0.76
82,2021-05-21 10:30:00,2021-05-21 10:45:00,0.48,0.76
83,2021-05-21 11:45:00,2021-05-21 12:00:00,0.4,0.76
84,2021-05-21 12:45:00,2021-05-21 13:00:00,0.43,0.76
85,2021-05-21 14:15:00,2021-05-21 14:30:00,0.37,0.75
86,2021-05-21 15:00:00,2021-05-21 15:15:00,0.4,0.76
87,2021-05-21 16:00:00,2021-05-21 16:15:00,0.31,0.76
88,2021-05-21 16:45:00,2021-05-21 17:00:00,0.35,0.76
89,2021-05-21 17:45:00,2021-05-21 18:00:00,0.3,0.76
90,2021-05-21 23:30:00,2021-05-22 00:15:00,0.91,8.48
91,2021-05-22 01:15:00,2021-05-22 01:30:00,0.29,1.09
92,2021-05-22 03:00:00,2021-05-22 03:45:00,0.95,3.25
93,2021-05-22 04:15:00,2021-05-22 05:00:00,1.0,1.68
94,2021-05-22 05:30:00,2021-05-22 05:30:00,0.12,0.67
95,2021-05-22 06:00:00,2021-05-22 06:45:00,1.0,1.52
96,2021-05-22 07:30:00,2021-05-22 07:30:00,0.12,0.73
97,2021-05-22 08:30:00,2021-05-22 08:45:00,0.4,0.76
98,2021-05-22 10:30:00,2021-05-22 10:45:00,0.35,0.75
99,2021-05-22 13:30:00,2021-05-22 13:30:00,0.12,0.63
100,2021-05-22 15:45:00,2021-05-22 16:00:00,0.39,0.73
101,2021-05-22 17:15:00,2021-05-22 17:30:00,0.31,0.73
102,2021-05-22 18:00:00,2021-05-22 18:15:00,0.37,0.74
103,2021-05-22 18:45:00,2021-05-22 18:45:00,0.12,0.71
104,2021-05-22 19:30:00,2021-05-22 19:45:00,0.41,0.75
105,2021-05-22 20:15:00,2021-05-22 20:30:00,0.31,0.76
106,2021-05-22 21:00:00,2021-05-22 21:15:00,0.3,0.76
107,2021-05-22 21:45:00,2021-05-22 22:00:00,0.48,0.76
108,2021-05-22 22:30:00,2021-05-22 22:45:00,0.32,0.76
109,2021-05-22 23:15:00,2021-05-23 00:00:00,0.63,4.56
110,2021-05-23 00:30:00,2021-05-23 00:30:00,0.12,0.67
111,2021-05-23 01:15:00,2021-05-23 01:30:00,0.4,1.59
112,2021-05-23 02:00:00,2021-05-23 02:15:00,0.3,0.77
113,2021-05-23 02:45:00,2021-05-23 02:45:00,0.12,0.68
114,2021-05-23 03:30:00,2021-05-23 03:30:00,0.12,0.69
115,2021-05-23 10:45:00,2021-05-23 11:30:00,1.0,1.46
116,2021-05-23 15:30:00,2021-05-23 15:30:00,0.12,0.7
117,2021-05-23 16:45:00,2021-05-23 17:00:00,0.34,0.73
118,2021-05-23 17:45:00,2021-05-23 17:45:00,0.12,0.64
119,2021-05-23 18:15:00,2021-05-23 19:00:00,1.0,1.49
120,2021-05-23 19:30:00,2021-05-23 19:30:00,0.12,0.68
121,2021-05-23 20:15:00,2021-05-23 20:15:00,0.12,0.68
122,2021-05-23 21:00:00,2021-05-23 21:15:00,0.36,0.76
123,2021-05-23 21:45:00,2021-05-23 22:00:00,0.36,0.75
124,2021-05-23 22:45:00,2021-05-23 22:45:00,0.12,0.71
125,2021-05-23 23:30:00,2021-05-23 23:45:00,0.33,3.94
126,2021-05-24 00:15:00,2021-05-24 00:15:00,0.12,0.71
127,2021-05-24 01:00:00,2021-05-24 01:45:00,1.0,2.46
128,2021-05-24 02:15:00,2021-05-24 02:30:00,0.39,0.76
129,2021-05-24 03:15:00,2021-05-24 03:15:00,0.12,0.69
130,2021-05-24 03:45:00,2021-05-24 04:00:00,0.4,1.56
131,2021-05-24 04:45:00,2021-05-24 05:00:00,0.32,0.76
132,2021-05-24 05:45:00,2021-05-24 06:00:00,0.33,0.76
133,2021-05-24 06:45:00,2021-05-24 07:00:00,0.46,0.76
134,2021-05-24 07:45:00,2021-05-24 07:45:00,0.12,0.71
135,2021-05-24 08:30:00,2021-05-24 08:45:00,0.3,0.76
136,2021-05-24 10:15:00,2021-05-24 10:30:00,0.41,0.76
137,2021-05-24 12:15:00,2021-05-24 12:30:00,0.47,0.75
138,2021-05-24 23:30:00,2021-05-24 23:45:00,0.5,4.61
139,2021-05-25 01:00:00,2021-05-25 03:30:00,2.57,7.23
140,2021-05-25 04:00:00,2021-05-25 04:45:00,1.0,1.69
141,2021-05-25 05:15:00,2021-05-25 05:15:00,0.12,0.73
142,2021-05-25 05:45:00,2021-05-25 06:00:00,0.37,0.77
143,2021-05-25 06:30:00,2021-05-25 06:30:00,0.12,0.71
144,2021-05-25 07:00:00,2021-05-25 07:15:00,0.39,0.77
145,2021-05-25 08:00:00,2021-05-25 08:00:00,0.12,0.7
146,2021-05-25 09:00:00,2021-05-25 09:15:00,0.36,0.76
147,2021-05-25 10:00:00,2021-05-25 10:15:00,0.31,0.75
148,2021-05-25 11:45:00,2021-05-25 12:00:00,0.32,0.74
149,2021-05-25 12:45:00,2021-05-25 12:45:00,0.12,0.7
150,2021-05-25 14:30:00,2021-05-25 14:45:00,0.48,0.74
151,2021-05-25 16:00:00,2021-05-25 16:15:00,0.38,0.74
152,2021-05-25 17:15:00,2021-05-25 17:30:00,0.37,0.74
153,2021-05-25 18:00:00,2021-05-25 18:15:00,0.37,0.75
154,2021-05-25 18:45:00,2021-05-25 19:00:00,0.33,0.75
155,2021-05-25 23:30:00,2021-05-25 23:45:00,0.28,2.6
156,2021-05-26 01:15:00,2021-05-26 01:30:00,0.3,0.9
157,2021-05-26 03:00:00,2021-05-26 04:15:00,1.42,3.92
158,2021-05-26 04:45:00,2021-05-26 05:30:00,1.0,1.5
159,2021-05-26 06:00:00,2021-05-26 06:00:00,0.12,0.73
160,2021-05-26 06:45:00,2021-05-26 07:00:00,0.32,0.76
161,2021-05-26 08:45:00,2021-05-26 09:00:00,0.3,0.74
162,2021-05-26 10:15:00,2021-05-26 10:30:00,0.29,0.74
163,2021-05-26 11:30:00,2021-05-26 11:30:00,0.12,0.7
164,2021-05-26 13:15:00,2021-05-26 13:30:00,0.41,0.74
165,2021-05-26 14:15:00,2021-05-26 14:15:00,0.12,0.72
166,2021-05-26 15:15:00,2021-05-26 15:15:00,0.12,0.71
167,2021-05-26 16:00:00,2021-05-26 16:15:00,0.44,0.76
168,2021-05-26 17:00:00,2021-05-26 17:15:00,0.3,0.75
169,2021-05-26 18:15:00,2021-05-26 18:15:00,0.12,0.73
170,2021-05-26 19:15:00,2021-05-26 19:30:00,0.35,0.76
171,2021-05-26 20:00:00,2021-05-26 20:15:00,0.34,0.76
172,2021-05-26 21:00:00,2021-05-26 21:15:00,0.38,0.76
173,2021-05-26 22:15:00,2021-05-26 22:15:00,0.12,0.71
174,2021-05-26 23:00:00,2021-05-26 23:30:00,0.72,2.44
175,2021-05-27 01:30:00,2021-05-27 01:30:00,0.12,0.78
176,2021-05-27 06:45:00,2021-05-27 07:00:00,0.48,1.35
177,2021-05-27 07:30:00,2021-05-27 08:15:00,1.0,1.59
178,2021-05-27 08:45:00,2021-05-27 08:45:00,0.12,0.72
179,2021-05-27 09:15:00,2021-05-27 09:30:00,0.4,0.76
180,2021-05-27 10:00:00,2021-05-27 10:00:00,0.12,0.68
181,2021-05-27 11:00:00,2021-05-27 11:00:00,0.12,0.73
182,2021-05-27 12:30:00,2021-05-27 12:45:00,0.49,0.75
183,2021-05-27 23:30:00,2021-05-28 00:00:00,0.52,4.81
184,2021-05-28 01:00:00,2021-05-28 01:15:00,0.34,1.03
185,2021-05-28 03:00:00,2021-05-28 03:00:00,0.12,0.79
186,2021-05-28 05:45:00,2021-05-28 07:15:00,1.69,3.72
187,2021-05-28 23:30:00,2021-05-29 00:00:00,0.68,6.45
188,2021-05-29 01:15:00,2021-05-29 01:15:00,0.12,0.98
189,2021-05-29 02:45:00,2021-05-29 03:00:00,0.43,0.83
190,2021-05-29 23:30:00,2021-05-29 23:45:00,0.28,2.62
191,2021-05-30 01:30:00,2021-05-30 01:30:00,0.12,0.83
192,2021-05-30 23:30:00,2021-05-30 23:30:00,0.12,2.17
193,2021-05-31 02:00:00,2021-05-31 02:15:00,0.39,0.83
194,2021-05-31 23:30:00,2021-05-31 23:30:00,0.12,1.71
195,2021-06-01 01:45:00,2021-06-01 01:45:00,0.12,0.97
196,2021-06-01 23:30:00,2021-06-01 23:30:00,0.12,1.61
197,2021-06-02 01:30:00,2021-06-02 01:30:00,0.12,0.93
198,2021-06-02 23:30:00,2021-06-02 23:30:00,0.12,1.79
199,2021-06-03 02:15:00,2021-06-03 02:15:00,0.12,0.89
200,2021-06-03 23:30:00,2021-06-03 23:30:00,0.12,1.95
201,2021-06-04 02:45:00,2021-06-04 02:45:00,0.12,0.8
202,2021-06-04 23:30:00,2021-06-04 23:30:00,0.12,1.68
203,2021-06-05 02:15:00,2021-06-05 02:15:00,0.12,0.9
204,2021-06-05 23:30:00,2021-06-05 23:30:00,0.12,2.04
205,2021-06-06 02:45:00,2021-06-06 02:45:00,0.12,0.79
206,2021-06-06 23:30:00,2021-06-06 23:30:00,0.12,1.94
207,2021-06-07 01:45:00,2021-06-07 01:45:00,0.12,0.81
