cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-30 01:00:00,2022-04-30 07:30:00,6.59,7.9
1,2022-04-30 12:00:00,2022-04-30 12:00:00,0.12,0.1
2,2022-04-30 12:30:00,2022-04-30 13:00:00,0.75,0.31
3,2022-04-30 13:45:00,2022-04-30 16:00:00,2.5,1.04
4,2022-04-30 16:45:00,2022-04-30 16:45:00,0.12,0.1
5,2022-04-30 17:15:00,2022-04-30 17:15:00,0.12,0.1
6,2022-04-30 17:45:00,2022-04-30 18:30:00,0.67,2.65
7,2022-04-30 19:45:00,2022-04-30 20:00:00,0.5,0.21
8,2022-04-30 20:30:00,2022-04-30 21:15:00,0.86,2.08
9,2022-04-30 22:30:00,2022-05-01 09:15:00,10.98,28.56
10,2022-05-01 15:00:00,2022-05-01 18:15:00,3.5,1.45
11,2022-05-01 20:15:00,2022-05-01 20:15:00,0.12,0.1
12,2022-05-01 20:45:00,2022-05-02 03:45:00,7.24,26.88
13,2022-05-02 04:15:00,2022-05-02 06:30:00,2.23,9.03
14,2022-05-02 07:00:00,2022-05-02 07:15:00,0.5,0.21
15,2022-05-02 08:45:00,2022-05-02 17:00:00,8.5,3.57
16,2022-05-02 19:15:00,2022-05-02 22:00:00,3.0,1.23
17,2022-05-02 22:30:00,2022-05-03 04:00:00,5.75,20.37
18,2022-05-03 05:15:00,2022-05-03 06:15:00,1.06,4.23
19,2022-05-03 07:30:00,2022-05-03 07:30:00,0.12,0.1
20,2022-05-03 08:00:00,2022-05-03 15:15:00,7.5,3.14
21,2022-05-03 19:30:00,2022-05-03 19:45:00,0.5,0.2
22,2022-05-03 20:30:00,2022-05-04 03:45:00,7.5,18.08
23,2022-05-04 05:00:00,2022-05-04 05:45:00,0.82,3.24
24,2022-05-04 06:15:00,2022-05-04 08:30:00,2.5,3.56
25,2022-05-04 09:45:00,2022-05-04 14:15:00,4.75,1.96
26,2022-05-04 14:45:00,2022-05-04 14:45:00,0.12,0.1
27,2022-05-04 21:45:00,2022-05-05 03:45:00,6.05,14.81
28,2022-05-05 05:00:00,2022-05-05 05:30:00,0.47,1.92
29,2022-05-05 06:15:00,2022-05-05 06:15:00,0.12,0.1
30,2022-05-05 06:45:00,2022-05-05 07:45:00,1.25,0.51
31,2022-05-05 10:15:00,2022-05-05 10:15:00,0.12,0.1
32,2022-05-05 10:45:00,2022-05-05 14:15:00,3.75,1.55
33,2022-05-05 16:15:00,2022-05-06 03:45:00,11.74,20.11
34,2022-05-06 05:30:00,2022-05-06 06:00:00,0.57,2.27
35,2022-05-06 06:30:00,2022-05-06 06:30:00,0.12,0.1
36,2022-05-06 07:00:00,2022-05-06 07:15:00,0.5,0.2
37,2022-05-06 09:15:00,2022-05-06 14:15:00,5.11,4.13
38,2022-05-06 20:15:00,2022-05-06 20:30:00,0.5,0.2
39,2022-05-06 21:45:00,2022-05-07 07:30:00,9.8,23.4
40,2022-05-07 10:30:00,2022-05-07 11:00:00,0.47,1.88
41,2022-05-07 17:15:00,2022-05-08 01:30:00,8.5,19.29
42,2022-05-08 02:00:00,2022-05-08 02:00:00,0.12,0.52
43,2022-05-08 02:30:00,2022-05-08 08:15:00,5.99,5.8
44,2022-05-08 10:30:00,2022-05-08 10:45:00,0.5,0.2
45,2022-05-08 13:15:00,2022-05-08 13:15:00,0.12,0.1
46,2022-05-08 16:15:00,2022-05-08 16:30:00,0.5,0.2
47,2022-05-08 17:00:00,2022-05-08 18:30:00,1.75,0.72
48,2022-05-08 19:15:00,2022-05-08 19:15:00,0.12,0.1
49,2022-05-08 21:45:00,2022-05-08 22:00:00,0.5,0.2
50,2022-05-08 22:30:00,2022-05-09 04:30:00,6.24,19.92
51,2022-05-09 06:00:00,2022-05-09 06:45:00,0.71,2.81
52,2022-05-09 07:45:00,2022-05-09 08:30:00,1.0,0.41
53,2022-05-09 09:45:00,2022-05-09 09:45:00,0.12,0.1
54,2022-05-09 10:15:00,2022-05-09 10:30:00,0.5,0.2
55,2022-05-09 11:30:00,2022-05-09 11:30:00,0.12,0.1
56,2022-05-09 12:00:00,2022-05-09 12:00:00,0.12,0.1
57,2022-05-09 12:30:00,2022-05-09 15:45:00,3.5,1.45
58,2022-05-09 22:30:00,2022-05-10 00:15:00,2.0,7.65
59,2022-05-10 00:45:00,2022-05-10 00:45:00,0.12,0.54
60,2022-05-10 01:15:00,2022-05-10 01:15:00,0.12,0.52
61,2022-05-10 01:45:00,2022-05-10 05:15:00,3.36,6.2
62,2022-05-10 06:45:00,2022-05-10 07:00:00,0.5,0.21
63,2022-05-10 09:15:00,2022-05-10 09:15:00,0.12,0.1
64,2022-05-10 09:45:00,2022-05-10 10:00:00,0.5,0.2
65,2022-05-10 22:30:00,2022-05-11 01:00:00,2.75,11.89
66,2022-05-11 01:30:00,2022-05-11 01:30:00,0.12,0.53
67,2022-05-11 02:15:00,2022-05-11 02:15:00,0.12,0.51
68,2022-05-11 05:45:00,2022-05-11 06:15:00,0.6,2.29
69,2022-05-11 07:15:00,2022-05-11 07:15:00,0.12,0.1
