cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-08 01:00:00,2022-06-08 01:15:00,0.3,1.4
1,2022-06-08 03:30:00,2022-06-08 03:30:00,0.12,1.12
2,2022-06-08 06:15:00,2022-06-08 06:30:00,0.4,1.09
3,2022-06-08 10:15:00,2022-06-08 10:45:00,0.44,0.65
4,2022-06-08 23:00:00,2022-06-08 23:30:00,0.3,1.38
5,2022-06-09 02:45:00,2022-06-09 03:30:00,0.92,1.38
6,2022-06-09 05:00:00,2022-06-09 05:30:00,0.48,1.26
7,2022-06-09 15:00:00,2022-06-09 15:15:00,0.31,1.26
8,2022-06-10 00:00:00,2022-06-10 00:15:00,0.46,1.3
9,2022-06-10 02:00:00,2022-06-10 02:15:00,0.32,1.1
10,2022-06-10 04:15:00,2022-06-10 04:30:00,0.3,1.04
11,2022-06-10 06:45:00,2022-06-10 06:45:00,0.12,1.01
12,2022-06-10 09:15:00,2022-06-10 10:00:00,0.99,0.8
13,2022-06-11 06:15:00,2022-06-11 06:45:00,0.64,0.49
14,2022-06-11 08:00:00,2022-06-11 09:15:00,1.5,1.12
15,2022-06-12 07:45:00,2022-06-12 08:45:00,1.24,1.19
16,2022-06-13 06:15:00,2022-06-13 07:15:00,1.24,1.3
17,2022-06-13 07:45:00,2022-06-13 07:45:00,0.12,0.13
18,2022-06-13 22:30:00,2022-06-13 23:15:00,0.88,1.09
19,2022-06-15 00:45:00,2022-06-15 01:45:00,1.24,0.95
20,2022-06-15 02:15:00,2022-06-15 02:15:00,0.12,0.14
21,2022-06-16 03:15:00,2022-06-16 04:00:00,0.99,0.94
22,2022-06-16 04:30:00,2022-06-16 04:30:00,0.12,0.14
23,2022-06-17 06:30:00,2022-06-17 07:30:00,1.24,0.95
24,2022-06-17 08:00:00,2022-06-17 08:00:00,0.12,0.14
25,2022-06-18 09:15:00,2022-06-18 10:30:00,1.49,1.14
26,2022-06-19 14:30:00,2022-06-19 15:15:00,0.87,1.02
27,2022-06-20 12:00:00,2022-06-20 13:00:00,1.24,1.23
28,2022-06-21 13:15:00,2022-06-21 14:15:00,1.25,0.96
