cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-12 01:15:00,2022-04-12 01:15:00,0.12,0.27
1,2022-04-12 03:15:00,2022-04-12 03:15:00,0.12,0.3
2,2022-04-12 04:45:00,2022-04-12 05:00:00,0.36,0.36
3,2022-04-12 05:30:00,2022-04-12 05:30:00,0.12,0.48
4,2022-04-12 07:15:00,2022-04-12 07:30:00,0.47,0.4
5,2022-04-12 08:45:00,2022-04-12 09:00:00,0.32,0.33
6,2022-04-12 12:00:00,2022-04-12 12:15:00,0.33,0.33
7,2022-04-12 18:00:00,2022-04-12 18:15:00,0.41,0.63
8,2022-04-12 22:15:00,2022-04-12 22:30:00,0.38,0.56
9,2022-04-13 04:00:00,2022-04-13 04:15:00,0.46,0.52
10,2022-04-13 08:15:00,2022-04-13 08:15:00,0.12,0.25
11,2022-04-13 09:15:00,2022-04-13 09:30:00,0.31,0.52
12,2022-04-13 14:45:00,2022-04-13 15:00:00,0.35,0.24
13,2022-04-13 18:15:00,2022-04-13 19:00:00,1.0,0.81
14,2022-04-14 00:00:00,2022-04-14 00:00:00,0.12,0.51
15,2022-04-14 07:45:00,2022-04-14 07:45:00,0.12,0.5
16,2022-04-14 13:30:00,2022-04-14 13:30:00,0.12,0.16
17,2022-04-14 17:15:00,2022-04-14 17:30:00,0.39,0.3
18,2022-04-14 18:00:00,2022-04-14 18:00:00,0.12,0.09
19,2022-04-14 23:00:00,2022-04-14 23:00:00,0.12,0.52
20,2022-04-15 06:00:00,2022-04-15 06:00:00,0.12,0.48
21,2022-04-15 10:30:00,2022-04-15 10:45:00,0.44,0.55
22,2022-04-15 13:15:00,2022-04-15 13:30:00,0.48,0.22
23,2022-04-15 14:15:00,2022-04-15 14:15:00,0.12,0.4
24,2022-04-15 21:15:00,2022-04-15 21:15:00,0.12,0.49
25,2022-04-16 05:00:00,2022-04-16 05:15:00,0.3,0.5
26,2022-04-16 10:15:00,2022-04-16 10:15:00,0.12,0.44
27,2022-04-16 17:00:00,2022-04-16 17:15:00,0.48,0.26
28,2022-04-16 17:45:00,2022-04-16 17:45:00,0.12,0.11
29,2022-04-16 20:00:00,2022-04-16 20:15:00,0.34,0.57
30,2022-04-17 02:00:00,2022-04-17 02:00:00,0.12,0.27
31,2022-04-17 02:30:00,2022-04-17 02:45:00,0.37,0.52
32,2022-04-17 04:45:00,2022-04-17 05:00:00,0.34,0.37
33,2022-04-17 06:15:00,2022-04-17 06:30:00,0.39,0.39
34,2022-04-17 07:45:00,2022-04-17 08:00:00,0.43,0.37
35,2022-04-17 09:45:00,2022-04-17 10:45:00,1.25,0.88
36,2022-04-17 11:15:00,2022-04-17 11:15:00,0.12,0.38
37,2022-04-17 13:30:00,2022-04-17 13:30:00,0.12,0.1
38,2022-04-17 14:00:00,2022-04-17 14:00:00,0.12,0.14
39,2022-04-17 19:45:00,2022-04-17 20:00:00,0.32,0.58
40,2022-04-18 01:00:00,2022-04-18 01:00:00,0.12,0.27
41,2022-04-18 02:30:00,2022-04-18 02:45:00,0.44,0.52
42,2022-04-18 04:30:00,2022-04-18 04:45:00,0.39,0.38
43,2022-04-18 06:00:00,2022-04-18 06:15:00,0.36,0.38
44,2022-04-18 07:30:00,2022-04-18 07:45:00,0.37,0.38
45,2022-04-18 09:45:00,2022-04-18 09:45:00,0.12,0.26
46,2022-04-18 10:30:00,2022-04-18 10:45:00,0.48,0.3
47,2022-04-18 15:45:00,2022-04-18 15:45:00,0.12,0.11
48,2022-04-18 16:15:00,2022-04-18 16:15:00,0.12,0.1
49,2022-04-18 20:00:00,2022-04-18 20:00:00,0.12,0.54
50,2022-04-19 01:15:00,2022-04-19 01:15:00,0.12,0.51
51,2022-04-19 03:45:00,2022-04-19 03:45:00,0.12,0.32
52,2022-04-19 05:15:00,2022-04-19 05:30:00,0.34,0.36
53,2022-04-19 06:45:00,2022-04-19 07:00:00,0.49,0.39
54,2022-04-19 07:45:00,2022-04-19 08:00:00,0.31,0.52
55,2022-04-19 14:45:00,2022-04-19 14:45:00,0.12,0.16
56,2022-04-19 20:00:00,2022-04-19 20:15:00,0.49,0.57
57,2022-04-19 23:30:00,2022-04-19 23:45:00,0.37,0.55
58,2022-04-20 05:45:00,2022-04-20 05:45:00,0.12,0.31
59,2022-04-20 07:30:00,2022-04-20 08:00:00,0.75,0.82
60,2022-04-20 12:00:00,2022-04-20 12:15:00,0.38,0.2
61,2022-04-20 16:30:00,2022-04-20 16:30:00,0.12,0.12
62,2022-04-20 17:00:00,2022-04-20 17:00:00,0.12,0.12
63,2022-04-20 20:15:00,2022-04-20 20:30:00,0.37,0.65
64,2022-04-21 00:30:00,2022-04-21 00:45:00,0.35,0.57
65,2022-04-21 04:15:00,2022-04-21 04:15:00,0.12,0.32
66,2022-04-21 06:00:00,2022-04-21 06:00:00,0.12,0.33
67,2022-04-21 07:00:00,2022-04-21 07:15:00,0.39,0.6
68,2022-04-21 09:30:00,2022-04-21 09:30:00,0.12,0.26
69,2022-04-21 12:15:00,2022-04-21 12:15:00,0.12,0.11
70,2022-04-21 17:45:00,2022-04-21 18:30:00,1.0,0.63
71,2022-04-21 21:15:00,2022-04-21 21:30:00,0.29,0.57
72,2022-04-22 04:00:00,2022-04-22 04:15:00,0.33,0.52
73,2022-04-22 06:45:00,2022-04-22 06:45:00,0.12,0.32
74,2022-04-22 08:30:00,2022-04-22 08:45:00,0.4,0.29
75,2022-04-22 10:00:00,2022-04-22 10:15:00,0.43,0.5
76,2022-04-22 13:45:00,2022-04-22 13:45:00,0.12,0.15
77,2022-04-22 17:45:00,2022-04-22 18:15:00,0.75,0.67
78,2022-04-22 23:00:00,2022-04-22 23:15:00,0.38,0.54
79,2022-04-23 04:00:00,2022-04-23 04:15:00,0.44,0.52
80,2022-04-23 07:45:00,2022-04-23 07:45:00,0.12,0.25
81,2022-04-23 10:15:00,2022-04-23 10:30:00,0.34,0.28
82,2022-04-23 11:30:00,2022-04-23 11:45:00,0.5,0.55
83,2022-04-23 15:30:00,2022-04-23 15:30:00,0.12,0.22
84,2022-04-23 16:00:00,2022-04-23 16:15:00,0.46,0.4
85,2022-04-23 21:45:00,2022-04-23 22:00:00,0.38,0.54
86,2022-04-24 03:45:00,2022-04-24 04:00:00,0.32,0.52
87,2022-04-24 06:30:00,2022-04-24 06:45:00,0.32,0.31
88,2022-04-24 08:30:00,2022-04-24 08:30:00,0.12,0.28
89,2022-04-24 10:30:00,2022-04-24 10:30:00,0.12,0.26
90,2022-04-24 11:45:00,2022-04-24 12:00:00,0.33,0.5
91,2022-04-24 17:00:00,2022-04-24 17:15:00,0.42,0.52
92,2022-04-24 19:45:00,2022-04-24 20:00:00,0.31,0.57
93,2022-04-24 22:00:00,2022-04-24 22:15:00,0.47,0.71
94,2022-04-25 00:30:00,2022-04-25 00:30:00,0.12,0.26
95,2022-04-25 01:00:00,2022-04-25 01:15:00,0.29,0.57
96,2022-04-25 03:45:00,2022-04-25 03:45:00,0.12,0.26
97,2022-04-25 05:45:00,2022-04-25 05:45:00,0.12,0.25
98,2022-04-25 07:45:00,2022-04-25 07:45:00,0.12,0.25
99,2022-04-25 09:45:00,2022-04-25 10:00:00,0.36,0.5
100,2022-04-25 12:30:00,2022-04-25 12:30:00,0.12,0.25
101,2022-04-25 13:45:00,2022-04-25 13:45:00,0.12,0.49
102,2022-04-25 16:15:00,2022-04-25 16:45:00,0.55,0.73
103,2022-04-25 20:15:00,2022-04-25 20:30:00,0.48,0.57
104,2022-04-25 22:15:00,2022-04-25 22:30:00,0.34,0.66
105,2022-04-26 00:15:00,2022-04-26 00:30:00,0.41,0.26
106,2022-04-26 02:45:00,2022-04-26 02:45:00,0.12,0.25
107,2022-04-26 04:45:00,2022-04-26 04:45:00,0.12,0.24
108,2022-04-26 06:15:00,2022-04-26 06:15:00,0.12,0.49
109,2022-04-26 08:45:00,2022-04-26 08:45:00,0.12,0.28
110,2022-04-26 10:30:00,2022-04-26 10:30:00,0.12,0.28
111,2022-04-26 12:15:00,2022-04-26 12:15:00,0.12,0.28
112,2022-04-26 14:30:00,2022-04-26 14:45:00,0.32,0.5
113,2022-04-26 21:00:00,2022-04-26 21:15:00,0.41,0.52
