cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:30:00,2021-01-01 00:45:00,0.43,0.78
1,2021-01-01 01:15:00,2021-01-01 01:45:00,0.39,0.8
2,2021-01-01 02:15:00,2021-01-01 02:30:00,0.44,0.78
3,2021-01-01 03:00:00,2021-01-01 03:15:00,0.38,0.58
4,2021-01-01 03:45:00,2021-01-01 04:15:00,0.38,0.78
5,2021-01-01 04:45:00,2021-01-01 05:00:00,0.4,0.8
6,2021-01-01 05:30:00,2021-01-01 05:45:00,0.39,0.71
7,2021-01-01 06:15:00,2021-01-01 06:30:00,0.31,0.59
8,2021-01-01 07:15:00,2021-01-01 07:30:00,0.43,0.69
9,2021-01-01 08:15:00,2021-01-01 08:15:00,0.12,0.49
10,2021-01-01 11:00:00,2021-01-01 11:15:00,0.47,0.95
11,2021-01-01 12:00:00,2021-01-01 12:15:00,0.49,0.97
12,2021-01-01 12:45:00,2021-01-01 14:45:00,1.94,2.43
13,2021-01-01 15:15:00,2021-01-01 15:30:00,0.5,0.8
14,2021-01-01 16:00:00,2021-01-01 16:30:00,0.39,0.8
15,2021-01-01 18:15:00,2021-01-01 19:00:00,0.83,1.69
16,2021-01-01 19:30:00,2021-01-01 19:45:00,0.49,0.84
17,2021-01-01 20:15:00,2021-01-01 20:45:00,0.4,0.81
18,2021-01-01 21:15:00,2021-01-01 21:30:00,0.46,0.79
19,2021-01-01 22:00:00,2021-01-01 22:30:00,0.39,0.79
20,2021-01-01 23:00:00,2021-01-01 23:15:00,0.48,0.76
21,2021-01-01 23:45:00,2021-01-02 00:15:00,0.38,0.78
22,2021-01-02 00:45:00,2021-01-02 01:00:00,0.49,0.76
23,2021-01-02 01:30:00,2021-01-02 01:45:00,0.47,0.8
24,2021-01-02 02:15:00,2021-01-02 02:30:00,0.34,0.68
25,2021-01-02 03:00:00,2021-01-02 03:15:00,0.45,0.65
26,2021-01-02 03:45:00,2021-01-02 04:00:00,0.41,0.64
27,2021-01-02 04:30:00,2021-01-02 04:45:00,0.33,0.64
28,2021-01-02 05:15:00,2021-01-02 05:30:00,0.32,0.64
29,2021-01-02 06:00:00,2021-01-02 07:00:00,1.15,1.58
30,2021-01-02 07:30:00,2021-01-02 07:45:00,0.48,0.64
31,2021-01-02 08:15:00,2021-01-02 08:30:00,0.43,0.63
32,2021-01-02 09:00:00,2021-01-02 09:30:00,0.37,0.74
33,2021-01-02 10:00:00,2021-01-02 10:15:00,0.44,0.77
34,2021-01-02 10:45:00,2021-01-02 11:15:00,0.39,0.8
35,2021-01-02 11:45:00,2021-01-02 12:00:00,0.46,0.78
36,2021-01-02 12:30:00,2021-01-02 13:00:00,0.39,0.78
37,2021-01-02 13:30:00,2021-01-02 13:45:00,0.45,0.76
38,2021-01-02 14:15:00,2021-01-02 14:45:00,0.52,1.06
39,2021-01-02 15:15:00,2021-01-02 15:45:00,0.44,0.9
40,2021-01-02 16:15:00,2021-01-02 16:30:00,0.49,0.84
41,2021-01-02 17:00:00,2021-01-02 17:30:00,0.42,0.85
42,2021-01-02 18:00:00,2021-01-02 18:15:00,0.46,0.81
43,2021-01-02 18:45:00,2021-01-02 20:00:00,1.26,1.89
44,2021-01-02 20:30:00,2021-01-02 21:00:00,0.46,0.95
45,2021-01-02 21:30:00,2021-01-02 21:45:00,0.5,0.92
46,2021-01-02 22:15:00,2021-01-02 22:45:00,0.44,0.9
47,2021-01-02 23:15:00,2021-01-02 23:30:00,0.44,0.88
48,2021-01-03 00:00:00,2021-01-03 00:30:00,0.43,0.89
49,2021-01-03 01:00:00,2021-01-03 01:15:00,0.42,0.87
50,2021-01-03 01:45:00,2021-01-03 02:15:00,0.44,0.9
51,2021-01-03 02:45:00,2021-01-03 03:15:00,0.43,0.89
52,2021-01-03 03:45:00,2021-01-03 04:00:00,0.42,0.86
53,2021-01-03 04:30:00,2021-01-03 05:00:00,0.43,0.89
54,2021-01-03 05:30:00,2021-01-03 05:45:00,0.46,0.88
55,2021-01-03 06:15:00,2021-01-03 06:45:00,0.43,0.88
56,2021-01-03 07:15:00,2021-01-03 07:30:00,0.49,0.87
57,2021-01-03 08:00:00,2021-01-03 08:30:00,0.43,0.89
58,2021-01-03 09:15:00,2021-01-03 09:30:00,0.4,0.73
59,2021-01-03 10:00:00,2021-01-03 10:30:00,0.53,1.1
60,2021-01-03 11:00:00,2021-01-03 11:15:00,0.34,0.68
61,2021-01-03 11:45:00,2021-01-03 12:45:00,1.16,1.62
62,2021-01-03 13:30:00,2021-01-03 13:45:00,0.49,0.76
63,2021-01-03 14:15:00,2021-01-03 14:30:00,0.46,0.95
64,2021-01-03 15:00:00,2021-01-03 15:30:00,0.45,0.92
65,2021-01-03 16:00:00,2021-01-03 16:15:00,0.41,0.85
66,2021-01-03 16:45:00,2021-01-03 17:15:00,0.43,0.87
67,2021-01-03 17:45:00,2021-01-03 18:15:00,0.42,0.86
68,2021-01-03 18:45:00,2021-01-03 19:00:00,0.42,0.82
69,2021-01-03 19:30:00,2021-01-03 20:45:00,1.47,2.43
70,2021-01-03 21:15:00,2021-01-03 22:00:00,0.74,1.54
71,2021-01-03 22:30:00,2021-01-03 23:00:00,0.66,1.39
72,2021-01-03 23:30:00,2021-01-04 00:00:00,0.59,1.23
73,2021-01-04 00:30:00,2021-01-04 01:00:00,0.62,1.3
74,2021-01-04 01:30:00,2021-01-04 02:00:00,0.62,1.3
75,2021-01-04 02:30:00,2021-01-04 03:00:00,0.62,1.29
76,2021-01-04 03:30:00,2021-01-04 04:00:00,0.59,1.24
77,2021-01-04 04:30:00,2021-01-04 04:45:00,0.35,0.74
78,2021-01-04 05:30:00,2021-01-04 05:45:00,0.48,0.93
79,2021-01-04 06:15:00,2021-01-04 06:45:00,0.47,0.97
80,2021-01-04 07:15:00,2021-01-04 07:30:00,0.5,0.68
81,2021-01-04 08:00:00,2021-01-04 08:30:00,0.41,0.84
82,2021-01-04 09:00:00,2021-01-04 09:15:00,0.41,0.62
83,2021-01-04 09:45:00,2021-01-04 09:45:00,0.12,0.12
84,2021-01-04 11:00:00,2021-01-04 11:15:00,0.47,0.93
85,2021-01-04 11:45:00,2021-01-04 12:00:00,0.29,0.56
86,2021-01-04 12:30:00,2021-01-04 12:45:00,0.41,0.68
87,2021-01-04 13:15:00,2021-01-04 13:30:00,0.44,0.89
88,2021-01-04 14:00:00,2021-01-04 15:15:00,1.43,2.14
89,2021-01-04 15:45:00,2021-01-04 16:15:00,0.62,1.3
90,2021-01-04 16:45:00,2021-01-04 16:45:00,0.12,0.4
91,2021-01-04 18:15:00,2021-01-04 19:15:00,1.15,2.38
92,2021-01-04 19:45:00,2021-01-04 20:15:00,0.57,1.18
93,2021-01-04 20:45:00,2021-01-04 21:15:00,0.52,1.1
94,2021-01-04 21:45:00,2021-01-04 22:00:00,0.49,1.03
95,2021-01-04 22:30:00,2021-01-04 23:00:00,0.51,1.05
96,2021-01-04 23:30:00,2021-01-05 00:00:00,0.5,1.04
97,2021-01-05 00:30:00,2021-01-05 01:00:00,0.49,1.02
98,2021-01-05 01:30:00,2021-01-05 01:45:00,0.49,0.99
99,2021-01-05 02:15:00,2021-01-05 02:45:00,0.49,1.01
