cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:45:00,2021-01-23 05:45:00,6.17,47.08
1,2021-01-23 07:45:00,2021-01-23 10:45:00,3.0,19.12
2,2021-01-23 14:45:00,2021-01-23 19:45:00,5.0,31.88
3,2021-01-23 23:45:00,2021-01-24 05:45:00,6.17,40.02
4,2021-01-24 07:45:00,2021-01-24 10:45:00,3.0,19.14
5,2021-01-24 14:45:00,2021-01-24 19:45:00,5.0,31.82
6,2021-01-24 20:45:00,2021-01-24 21:00:00,0.46,1.01
7,2021-01-24 23:45:00,2021-01-25 05:45:00,6.17,45.12
8,2021-01-25 07:45:00,2021-01-25 09:45:00,2.08,13.18
9,2021-01-25 14:45:00,2021-01-25 16:15:00,1.57,9.66
10,2021-01-25 17:45:00,2021-01-25 19:45:00,2.16,13.58
11,2021-01-25 20:45:00,2021-01-25 21:15:00,0.41,2.13
12,2021-01-25 23:45:00,2021-01-26 05:45:00,6.17,48.1
13,2021-01-26 07:00:00,2021-01-26 09:45:00,2.92,17.26
14,2021-01-26 14:45:00,2021-01-26 16:30:00,1.66,10.08
15,2021-01-26 17:45:00,2021-01-26 20:00:00,2.45,15.18
16,2021-01-26 20:45:00,2021-01-26 21:00:00,0.38,1.22
17,2021-01-26 23:45:00,2021-01-27 05:45:00,6.12,45.12
18,2021-01-27 07:45:00,2021-01-27 09:45:00,2.13,13.29
19,2021-01-27 14:45:00,2021-01-27 16:15:00,1.63,9.85
20,2021-01-27 17:45:00,2021-01-27 19:45:00,2.11,13.05
21,2021-01-27 20:45:00,2021-01-27 21:00:00,0.35,1.13
22,2021-01-27 23:45:00,2021-01-28 05:45:00,6.12,44.87
23,2021-01-28 07:45:00,2021-01-28 09:45:00,2.13,13.26
24,2021-01-28 14:45:00,2021-01-28 16:15:00,1.63,9.85
25,2021-01-28 17:45:00,2021-01-28 19:45:00,2.11,13.07
26,2021-01-28 20:45:00,2021-01-28 21:15:00,0.45,2.18
27,2021-01-28 23:45:00,2021-01-29 05:45:00,6.12,47.87
28,2021-01-29 07:45:00,2021-01-29 09:45:00,2.13,13.35
29,2021-01-29 14:45:00,2021-01-29 16:15:00,1.63,9.93
30,2021-01-29 17:45:00,2021-01-29 19:45:00,2.11,13.16
31,2021-01-29 23:45:00,2021-01-30 05:45:00,6.12,41.47
32,2021-01-30 07:45:00,2021-01-30 10:45:00,3.0,18.95
33,2021-01-30 14:45:00,2021-01-30 19:45:00,5.0,31.38
34,2021-01-30 20:45:00,2021-01-30 21:15:00,0.45,2.21
35,2021-01-30 23:45:00,2021-01-31 05:45:00,6.12,50.52
36,2021-01-31 07:45:00,2021-01-31 10:45:00,3.0,19.12
37,2021-01-31 14:45:00,2021-01-31 19:45:00,5.0,31.59
38,2021-01-31 20:45:00,2021-01-31 21:30:00,0.68,4.12
39,2021-01-31 23:45:00,2021-02-01 05:45:00,6.12,54.73
40,2021-02-01 07:45:00,2021-02-01 09:45:00,2.13,13.52
41,2021-02-01 14:45:00,2021-02-01 16:30:00,1.65,10.17
42,2021-02-01 17:45:00,2021-02-01 19:45:00,2.11,13.3
43,2021-02-01 23:45:00,2021-02-02 05:45:00,6.12,44.24
44,2021-02-02 07:45:00,2021-02-02 09:45:00,2.13,13.55
45,2021-02-02 14:45:00,2021-02-02 16:30:00,1.66,10.26
46,2021-02-02 17:45:00,2021-02-02 20:00:00,2.44,15.48
47,2021-02-02 20:45:00,2021-02-02 21:00:00,0.43,1.4
48,2021-02-02 23:45:00,2021-02-03 05:45:00,6.12,46.7
49,2021-02-03 07:45:00,2021-02-03 09:45:00,2.13,13.63
50,2021-02-03 14:45:00,2021-02-03 16:15:00,1.63,10.14
51,2021-02-03 17:45:00,2021-02-03 19:45:00,2.11,13.42
52,2021-02-03 23:45:00,2021-02-04 05:45:00,6.12,44.56
53,2021-02-04 08:45:00,2021-02-04 09:45:00,1.03,6.46
54,2021-02-04 14:45:00,2021-02-04 16:15:00,1.63,10.12
55,2021-02-04 17:45:00,2021-02-04 19:45:00,2.11,13.41
56,2021-02-04 20:45:00,2021-02-04 21:00:00,0.42,2.03
57,2021-02-04 23:45:00,2021-02-05 05:45:00,6.12,48.56
58,2021-02-05 08:15:00,2021-02-05 09:45:00,1.52,9.63
59,2021-02-05 14:45:00,2021-02-05 16:15:00,1.63,10.11
60,2021-02-05 17:45:00,2021-02-05 19:45:00,2.11,13.42
61,2021-02-05 23:45:00,2021-02-06 05:45:00,6.12,45.62
