cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-09 01:00:00,2022-06-09 01:15:00,0.35,0.98
1,2022-06-09 03:00:00,2022-06-09 03:45:00,0.66,1.83
2,2022-06-09 05:00:00,2022-06-09 05:30:00,0.55,1.53
3,2022-06-09 21:00:00,2022-06-09 21:45:00,0.75,2.01
4,2022-06-09 22:45:00,2022-06-10 00:30:00,1.85,5.26
5,2022-06-10 01:15:00,2022-06-10 02:15:00,1.12,3.21
6,2022-06-10 03:15:00,2022-06-10 04:15:00,1.11,3.26
7,2022-06-10 05:15:00,2022-06-10 05:30:00,0.49,1.36
8,2022-06-10 21:45:00,2022-06-10 22:15:00,0.46,1.69
9,2022-06-10 22:45:00,2022-06-10 23:30:00,0.9,2.48
10,2022-06-11 00:15:00,2022-06-11 01:00:00,0.8,2.27
11,2022-06-11 02:00:00,2022-06-11 02:45:00,0.82,2.31
12,2022-06-11 03:45:00,2022-06-11 04:30:00,0.75,2.16
13,2022-06-11 05:30:00,2022-06-11 05:45:00,0.37,0.78
14,2022-06-11 22:00:00,2022-06-11 22:30:00,0.38,1.46
15,2022-06-12 00:15:00,2022-06-12 00:45:00,0.56,1.49
16,2022-06-12 02:30:00,2022-06-12 03:00:00,0.6,1.69
17,2022-06-12 04:15:00,2022-06-12 04:45:00,0.62,1.76
18,2022-06-12 19:15:00,2022-06-12 19:30:00,0.42,1.46
19,2022-06-14 00:15:00,2022-06-14 01:00:00,0.65,1.8
20,2022-06-14 02:30:00,2022-06-14 03:15:00,0.63,1.72
21,2022-06-14 04:30:00,2022-06-14 05:15:00,0.72,2.02
22,2022-06-15 01:15:00,2022-06-15 01:45:00,0.58,1.59
23,2022-06-15 03:30:00,2022-06-15 04:00:00,0.54,1.51
24,2022-06-15 16:45:00,2022-06-15 17:00:00,0.49,1.66
25,2022-06-15 22:00:00,2022-06-15 22:30:00,0.41,1.59
26,2022-06-16 21:45:00,2022-06-16 22:15:00,0.59,2.13
27,2022-06-17 18:45:00,2022-06-17 19:15:00,0.5,1.9
28,2022-06-21 22:15:00,2022-06-21 22:30:00,0.5,1.31
29,2022-06-22 19:00:00,2022-06-22 19:30:00,0.41,1.47
30,2022-06-23 02:45:00,2022-06-23 03:15:00,0.48,1.33
31,2022-06-23 22:30:00,2022-06-23 22:45:00,0.31,0.9
32,2022-06-24 22:30:00,2022-06-24 23:45:00,1.38,3.78
33,2022-06-25 00:45:00,2022-06-25 01:15:00,0.58,1.63
34,2022-06-25 02:30:00,2022-06-25 03:00:00,0.58,1.64
35,2022-06-25 04:30:00,2022-06-25 05:00:00,0.61,1.75
36,2022-06-26 04:45:00,2022-06-26 05:00:00,0.5,1.35
37,2022-06-26 21:45:00,2022-06-26 22:15:00,0.36,1.36
38,2022-06-27 22:00:00,2022-06-27 22:15:00,0.39,1.51
39,2022-06-27 22:45:00,2022-06-27 23:15:00,0.48,1.33
40,2022-06-28 01:15:00,2022-06-28 01:30:00,0.49,1.38
41,2022-06-28 04:00:00,2022-06-28 04:30:00,0.51,1.44
42,2022-06-28 22:45:00,2022-06-28 23:00:00,0.47,1.25
43,2022-06-29 01:45:00,2022-06-29 02:15:00,0.49,1.33
44,2022-06-29 04:00:00,2022-06-29 04:30:00,0.53,1.43
45,2022-06-29 21:15:00,2022-06-29 21:30:00,0.4,1.54
46,2022-06-30 01:45:00,2022-06-30 02:15:00,0.51,1.4
47,2022-06-30 04:30:00,2022-06-30 04:45:00,0.49,1.39
48,2022-06-30 23:00:00,2022-06-30 23:30:00,0.56,1.55
49,2022-07-01 01:45:00,2022-07-01 02:15:00,0.57,1.61
50,2022-07-01 04:15:00,2022-07-01 04:45:00,0.64,1.81
51,2022-07-01 20:15:00,2022-07-01 20:45:00,0.47,1.64
52,2022-07-01 22:45:00,2022-07-01 23:30:00,0.94,2.62
53,2022-07-02 00:30:00,2022-07-02 01:00:00,0.68,1.93
54,2022-07-02 02:15:00,2022-07-02 03:00:00,0.66,1.85
55,2022-07-02 04:15:00,2022-07-02 04:45:00,0.58,1.64
56,2022-07-03 01:30:00,2022-07-03 02:00:00,0.52,1.41
57,2022-07-03 04:00:00,2022-07-03 04:30:00,0.52,1.43
58,2022-07-06 03:30:00,2022-07-06 03:45:00,0.49,1.37
59,2022-07-07 04:45:00,2022-07-07 05:30:00,0.69,1.9
60,2022-07-08 02:00:00,2022-07-08 02:30:00,0.58,1.6
61,2022-07-09 03:00:00,2022-07-09 03:30:00,0.55,1.55
62,2022-07-09 05:00:00,2022-07-09 05:30:00,0.61,1.72
63,2022-07-11 00:45:00,2022-07-11 01:30:00,0.63,1.7
64,2022-07-11 03:15:00,2022-07-11 03:45:00,0.71,1.97
65,2022-07-11 05:00:00,2022-07-11 05:30:00,0.6,1.7
66,2022-07-12 03:30:00,2022-07-12 04:00:00,0.55,1.51
67,2022-07-13 04:00:00,2022-07-13 04:30:00,0.52,1.41
68,2022-07-16 22:30:00,2022-07-16 22:45:00,0.46,0.76
69,2022-08-12 21:30:00,2022-08-12 22:00:00,0.43,1.59
70,2022-08-13 04:30:00,2022-08-13 05:00:00,0.64,1.78
71,2022-08-14 05:00:00,2022-08-14 05:30:00,0.58,1.61
72,2022-08-16 04:00:00,2022-08-16 04:30:00,0.52,1.44
73,2022-08-17 18:45:00,2022-08-17 19:00:00,0.48,1.53
74,2022-08-18 18:45:00,2022-08-18 19:00:00,0.43,1.68
75,2022-08-18 22:30:00,2022-08-18 22:45:00,0.3,1.02
76,2022-08-19 19:45:00,2022-08-19 20:15:00,0.37,1.38
77,2022-08-19 22:45:00,2022-08-19 23:15:00,0.61,1.68
78,2022-08-20 01:00:00,2022-08-20 01:30:00,0.56,1.53
79,2022-08-20 03:45:00,2022-08-20 04:15:00,0.51,1.45
80,2022-08-20 22:30:00,2022-08-20 22:45:00,0.48,0.78
81,2022-08-20 23:30:00,2022-08-20 23:45:00,0.49,1.38
82,2022-08-22 02:15:00,2022-08-22 02:45:00,0.52,1.4
83,2022-08-22 04:30:00,2022-08-22 05:15:00,0.59,1.65
84,2022-08-23 04:15:00,2022-08-23 04:30:00,0.48,1.35
85,2022-08-24 02:45:00,2022-08-24 03:15:00,0.57,1.59
86,2022-08-24 05:00:00,2022-08-24 05:30:00,0.58,1.63
87,2022-08-25 05:15:00,2022-08-25 05:30:00,0.3,0.82
88,2022-08-28 01:00:00,2022-08-28 01:30:00,0.49,1.34
89,2022-08-28 04:45:00,2022-08-28 05:15:00,0.52,1.44
90,2022-08-29 03:00:00,2022-08-29 03:30:00,0.54,1.5
91,2022-08-30 05:30:00,2022-08-30 05:45:00,0.44,0.58
92,2022-08-31 20:30:00,2022-08-31 20:45:00,0.44,1.5
93,2022-08-31 22:45:00,2022-08-31 23:15:00,0.57,1.6
94,2022-09-01 01:00:00,2022-09-01 01:30:00,0.55,1.53
95,2022-09-01 03:30:00,2022-09-01 04:00:00,0.61,1.73
96,2022-09-01 22:45:00,2022-09-01 23:30:00,0.77,2.17
97,2022-09-02 00:45:00,2022-09-02 01:15:00,0.66,1.86
98,2022-09-02 03:00:00,2022-09-02 03:30:00,0.59,1.68
99,2022-09-02 04:45:00,2022-09-02 05:45:00,0.83,2.37
100,2022-09-02 22:45:00,2022-09-02 23:15:00,0.57,1.6
101,2022-09-03 02:00:00,2022-09-03 02:30:00,0.48,1.34
102,2022-09-03 23:15:00,2022-09-03 23:45:00,0.67,1.88
103,2022-09-04 01:15:00,2022-09-04 01:45:00,0.54,1.54
104,2022-09-04 03:15:00,2022-09-04 03:45:00,0.58,1.64
105,2022-09-04 05:30:00,2022-09-04 05:45:00,0.32,0.68
106,2022-09-04 22:30:00,2022-09-04 22:45:00,0.31,0.9
107,2022-09-05 00:30:00,2022-09-05 01:00:00,0.52,1.43
108,2022-09-05 03:00:00,2022-09-05 03:30:00,0.57,1.62
109,2022-09-05 05:15:00,2022-09-05 05:30:00,0.42,1.19
110,2022-09-06 22:45:00,2022-09-06 23:00:00,0.5,1.29
111,2022-09-07 02:00:00,2022-09-07 02:30:00,0.48,1.34
112,2022-09-07 05:00:00,2022-09-07 05:15:00,0.46,1.26
113,2022-09-07 22:45:00,2022-09-07 23:00:00,0.48,1.34
114,2022-09-08 01:00:00,2022-09-08 01:30:00,0.51,1.43
115,2022-09-08 05:15:00,2022-09-08 05:30:00,0.44,1.22
116,2022-09-08 22:45:00,2022-09-08 23:30:00,0.99,2.77
