cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-03 02:30:00,2022-01-03 18:15:00,15.95,32.02
1,2022-01-03 19:00:00,2022-01-04 00:30:00,5.57,11.76
2,2022-01-04 01:00:00,2022-01-04 04:45:00,3.7,7.64
3,2022-01-04 05:15:00,2022-01-04 12:15:00,7.02,14.56
4,2022-01-04 13:00:00,2022-01-04 14:30:00,1.73,3.56
5,2022-01-04 15:15:00,2022-01-04 17:30:00,2.26,4.66
6,2022-01-04 18:00:00,2022-01-04 21:45:00,3.69,7.73
7,2022-01-04 22:15:00,2022-03-10 17:30:00,1555.28,4723.53
8,2022-03-10 18:15:00,2022-03-11 16:00:00,21.96,57.05
9,2022-03-11 16:30:00,2022-03-12 15:15:00,22.76,53.33
10,2022-03-12 15:45:00,2022-03-12 17:30:00,1.8,4.02
11,2022-03-12 18:15:00,2022-03-13 12:00:00,17.79,44.36
12,2022-03-13 12:30:00,2022-03-13 14:00:00,1.46,3.2
13,2022-03-13 14:30:00,2022-03-13 15:45:00,1.18,2.69
14,2022-03-13 16:15:00,2022-03-13 17:45:00,1.47,3.13
15,2022-03-13 18:30:00,2022-03-13 21:00:00,2.66,5.89
16,2022-03-13 21:45:00,2022-03-13 23:15:00,1.64,3.92
17,2022-03-14 00:00:00,2022-03-14 02:15:00,2.22,5.12
18,2022-03-14 03:00:00,2022-03-14 09:45:00,6.9,15.15
19,2022-03-14 10:30:00,2022-03-14 12:45:00,2.32,5.15
20,2022-03-14 13:30:00,2022-03-14 14:30:00,1.19,2.62
21,2022-03-14 15:15:00,2022-03-14 16:45:00,1.4,3.06
22,2022-03-14 17:30:00,2022-03-14 19:00:00,1.69,3.65
23,2022-03-14 19:45:00,2022-03-14 21:15:00,1.51,3.54
24,2022-03-14 22:00:00,2022-03-15 00:15:00,2.32,5.41
25,2022-03-15 01:00:00,2022-03-15 03:15:00,2.32,5.45
26,2022-03-15 04:00:00,2022-03-15 11:45:00,7.71,16.83
27,2022-03-15 12:15:00,2022-03-15 16:15:00,3.89,8.77
28,2022-03-15 16:45:00,2022-03-15 20:00:00,3.19,7.32
29,2022-03-15 20:30:00,2022-03-16 10:45:00,14.23,32.01
30,2022-03-16 11:30:00,2022-03-16 13:15:00,1.91,4.09
31,2022-03-16 14:00:00,2022-03-16 15:15:00,1.48,3.18
32,2022-03-16 16:00:00,2022-03-16 18:00:00,2.11,4.61
33,2022-03-16 18:45:00,2022-03-16 21:45:00,3.04,6.97
34,2022-03-16 22:30:00,2022-03-17 01:15:00,2.73,6.34
35,2022-03-17 01:45:00,2022-03-17 10:00:00,8.27,18.28
36,2022-03-17 10:45:00,2022-03-17 12:45:00,1.89,4.14
37,2022-03-17 13:15:00,2022-03-17 14:30:00,1.36,3.11
38,2022-03-17 15:15:00,2022-03-17 16:15:00,1.04,2.3
39,2022-03-17 17:00:00,2022-03-17 18:15:00,1.44,3.13
40,2022-03-17 19:00:00,2022-03-17 20:45:00,1.82,4.11
41,2022-03-17 21:30:00,2022-03-17 23:30:00,2.03,4.8
42,2022-03-18 00:15:00,2022-03-18 02:15:00,2.05,4.74
43,2022-03-18 02:45:00,2022-03-18 05:45:00,3.04,6.93
44,2022-03-18 06:30:00,2022-03-18 11:30:00,5.03,11.27
45,2022-03-18 12:00:00,2022-03-18 13:30:00,1.63,3.61
46,2022-03-18 14:15:00,2022-03-18 16:30:00,2.24,4.75
47,2022-03-18 17:00:00,2022-03-18 19:15:00,2.28,5.04
48,2022-03-18 20:00:00,2022-03-19 15:00:00,19.06,42.02
49,2022-03-19 15:45:00,2022-03-20 10:30:00,18.91,45.87
50,2022-03-20 11:45:00,2022-03-20 12:15:00,0.68,1.45
51,2022-03-20 13:15:00,2022-03-20 14:00:00,0.67,1.41
52,2022-03-20 15:00:00,2022-03-20 15:45:00,0.67,1.41
53,2022-03-20 17:00:00,2022-03-20 20:00:00,3.12,7.06
54,2022-03-20 20:45:00,2022-03-21 10:45:00,14.12,33.49
55,2022-03-21 11:30:00,2022-03-21 13:15:00,1.89,3.99
56,2022-03-21 14:00:00,2022-03-21 15:15:00,1.33,2.84
57,2022-03-21 16:00:00,2022-03-21 17:00:00,1.08,2.31
58,2022-03-21 17:45:00,2022-03-21 19:00:00,1.46,3.15
59,2022-03-21 19:45:00,2022-03-21 22:15:00,2.42,5.35
60,2022-03-21 23:00:00,2022-03-22 10:00:00,11.18,26.48
61,2022-03-22 10:45:00,2022-03-22 12:30:00,1.87,4.12
62,2022-03-22 13:15:00,2022-03-22 14:15:00,1.05,2.35
63,2022-03-22 15:30:00,2022-03-22 16:00:00,0.56,1.27
64,2022-03-22 17:15:00,2022-03-22 18:00:00,0.67,1.41
65,2022-03-22 18:30:00,2022-03-23 11:15:00,16.72,39.67
66,2022-03-23 11:45:00,2022-03-23 12:30:00,0.7,1.52
67,2022-03-23 13:30:00,2022-03-23 14:15:00,0.66,1.41
68,2022-03-23 15:15:00,2022-03-23 16:00:00,0.66,1.37
69,2022-03-23 17:00:00,2022-03-23 17:30:00,0.6,1.34
70,2022-03-23 18:45:00,2022-03-23 19:30:00,0.71,1.61
71,2022-03-23 20:45:00,2022-03-23 21:30:00,0.8,1.88
72,2022-03-23 22:45:00,2022-03-23 23:30:00,0.75,1.88
73,2022-03-24 01:00:00,2022-03-24 01:45:00,0.68,1.91
74,2022-03-24 03:15:00,2022-03-24 04:00:00,0.84,2.27
75,2022-03-24 05:30:00,2022-03-24 06:30:00,1.06,3.43
76,2022-03-24 08:15:00,2022-03-24 08:45:00,0.62,1.65
77,2022-03-24 11:15:00,2022-03-24 11:30:00,0.47,1.0
78,2022-03-24 14:15:00,2022-03-24 14:45:00,0.45,0.94
79,2022-03-24 17:45:00,2022-03-24 18:15:00,0.47,1.03
80,2022-03-24 20:30:00,2022-03-24 21:15:00,0.86,2.13
81,2022-03-24 22:15:00,2022-03-24 23:00:00,0.8,1.97
82,2022-03-25 00:15:00,2022-03-25 01:00:00,0.89,2.14
83,2022-03-25 02:15:00,2022-03-25 03:00:00,0.88,2.34
84,2022-03-25 04:15:00,2022-03-25 05:00:00,0.98,2.66
85,2022-03-25 06:15:00,2022-03-25 07:15:00,1.05,3.43
86,2022-03-25 08:30:00,2022-03-25 09:15:00,0.78,1.91
87,2022-03-25 10:30:00,2022-03-25 11:15:00,0.71,1.58
88,2022-03-25 12:15:00,2022-03-25 12:45:00,0.59,1.35
89,2022-03-25 14:00:00,2022-03-25 14:30:00,0.57,1.32
90,2022-03-25 15:45:00,2022-03-25 16:30:00,0.64,1.32
91,2022-03-25 17:30:00,2022-03-25 18:00:00,0.57,1.39
92,2022-03-25 19:30:00,2022-03-25 20:00:00,0.68,1.41
93,2022-03-25 21:15:00,2022-03-26 05:45:00,8.39,19.4
94,2022-03-26 06:45:00,2022-03-26 07:45:00,0.87,2.19
95,2022-03-26 09:00:00,2022-03-26 09:30:00,0.74,1.64
96,2022-03-26 10:45:00,2022-03-26 11:30:00,0.7,1.52
97,2022-03-26 12:45:00,2022-03-26 13:15:00,0.65,1.34
98,2022-03-26 14:30:00,2022-03-26 15:00:00,0.57,1.28
99,2022-03-26 16:00:00,2022-03-26 18:30:00,2.54,5.81
100,2022-03-26 19:15:00,2022-03-26 21:15:00,2.11,4.56
101,2022-03-26 22:00:00,2022-03-27 01:15:00,3.31,7.1
102,2022-03-27 01:45:00,2022-03-27 09:15:00,6.54,14.68
103,2022-03-27 10:30:00,2022-03-27 11:00:00,0.72,1.55
104,2022-03-27 12:15:00,2022-03-27 12:45:00,0.54,1.28
105,2022-03-27 14:00:00,2022-03-27 14:45:00,0.64,1.31
106,2022-03-27 16:00:00,2022-03-27 16:30:00,0.62,1.27
107,2022-03-27 17:45:00,2022-03-27 18:15:00,0.56,1.11
108,2022-03-27 19:30:00,2022-03-27 20:00:00,0.63,1.27
109,2022-03-27 21:15:00,2022-03-27 22:00:00,0.75,1.63
110,2022-03-27 22:45:00,2022-03-28 10:45:00,12.13,28.16
111,2022-03-28 11:30:00,2022-03-28 12:30:00,0.95,2.13
112,2022-03-28 13:30:00,2022-03-28 14:00:00,0.56,1.26
113,2022-03-28 15:30:00,2022-03-28 16:00:00,0.54,1.08
114,2022-03-28 17:15:00,2022-03-28 17:45:00,0.6,1.19
115,2022-03-28 19:15:00,2022-03-28 19:45:00,0.61,1.22
116,2022-03-28 21:15:00,2022-03-28 21:45:00,0.63,1.5
117,2022-03-28 23:15:00,2022-03-29 00:00:00,0.75,1.83
118,2022-03-29 01:30:00,2022-03-29 02:15:00,0.75,1.88
119,2022-03-29 03:45:00,2022-03-29 04:30:00,0.81,1.89
120,2022-03-29 05:45:00,2022-03-29 06:30:00,0.81,2.08
121,2022-03-29 07:45:00,2022-03-29 08:30:00,0.78,2.0
122,2022-03-29 09:45:00,2022-03-29 10:30:00,0.71,1.53
123,2022-03-29 11:45:00,2022-03-29 12:15:00,0.58,1.32
124,2022-03-29 13:45:00,2022-03-29 14:15:00,0.64,1.35
125,2022-03-29 15:30:00,2022-03-29 17:15:00,1.79,3.78
126,2022-03-29 18:00:00,2022-03-29 19:00:00,1.23,2.59
127,2022-03-29 19:45:00,2022-03-29 21:00:00,1.44,3.1
128,2022-03-29 21:45:00,2022-03-29 23:30:00,1.76,3.84
129,2022-03-30 00:15:00,2022-03-30 02:00:00,1.87,4.03
130,2022-03-30 02:45:00,2022-03-30 04:30:00,1.77,3.84
131,2022-03-30 05:15:00,2022-03-30 06:45:00,1.58,3.53
132,2022-03-30 07:15:00,2022-03-30 09:00:00,1.65,3.8
133,2022-03-30 09:30:00,2022-03-30 11:15:00,1.6,3.7
134,2022-03-30 11:45:00,2022-03-30 14:00:00,2.15,4.97
135,2022-03-30 14:45:00,2022-03-30 16:00:00,1.27,2.8
136,2022-03-30 16:45:00,2022-03-30 18:15:00,1.57,3.6
137,2022-03-30 18:45:00,2022-03-30 20:30:00,1.79,4.08
138,2022-03-30 21:15:00,2022-03-30 22:45:00,1.52,3.71
139,2022-03-30 23:30:00,2022-03-31 01:00:00,1.46,3.52
140,2022-03-31 01:45:00,2022-03-31 03:15:00,1.56,3.76
141,2022-03-31 04:00:00,2022-03-31 05:45:00,1.74,4.16
142,2022-03-31 06:30:00,2022-03-31 08:45:00,2.29,5.35
143,2022-03-31 09:30:00,2022-03-31 11:00:00,1.62,3.85
144,2022-03-31 11:45:00,2022-03-31 13:30:00,1.86,4.24
145,2022-03-31 14:15:00,2022-03-31 15:45:00,1.54,3.67
146,2022-03-31 16:30:00,2022-03-31 18:15:00,1.93,4.46
147,2022-03-31 19:00:00,2022-03-31 21:15:00,2.28,5.36
148,2022-03-31 21:45:00,2022-04-06 11:00:00,133.32,384.42
149,2022-04-06 11:45:00,2022-04-06 13:30:00,1.86,4.03
150,2022-04-06 14:15:00,2022-04-06 15:30:00,1.43,3.1
151,2022-04-06 16:15:00,2022-04-06 17:30:00,1.32,2.95
152,2022-04-06 18:15:00,2022-04-06 19:45:00,1.48,3.16
153,2022-04-06 20:30:00,2022-04-06 22:45:00,2.3,5.06
154,2022-04-06 23:15:00,2022-04-07 01:00:00,1.79,4.11
155,2022-04-07 01:45:00,2022-04-07 04:00:00,2.28,5.24
156,2022-04-07 04:45:00,2022-04-07 16:30:00,11.79,24.73
157,2022-04-07 17:15:00,2022-04-08 13:15:00,19.98,44.89
158,2022-04-08 13:45:00,2022-04-08 16:45:00,2.94,6.33
159,2022-04-08 17:15:00,2022-04-08 23:15:00,6.01,12.54
160,2022-04-09 00:00:00,2022-04-10 20:00:00,44.17,107.81
161,2022-04-10 20:45:00,2022-04-11 13:30:00,16.99,41.75
162,2022-04-11 14:15:00,2022-04-11 15:15:00,1.18,2.59
163,2022-04-11 16:00:00,2022-04-11 17:15:00,1.32,2.92
164,2022-04-11 18:00:00,2022-04-11 19:30:00,1.58,3.44
165,2022-04-11 20:15:00,2022-04-11 22:30:00,2.17,4.85
166,2022-04-11 23:00:00,2022-04-12 06:30:00,7.48,16.44
167,2022-04-12 07:45:00,2022-04-12 08:30:00,0.84,2.21
168,2022-04-12 09:45:00,2022-04-12 10:15:00,0.72,1.62
169,2022-04-12 11:30:00,2022-04-12 12:15:00,0.68,1.43
170,2022-04-12 13:30:00,2022-04-12 14:00:00,0.63,1.29
171,2022-04-12 15:30:00,2022-04-12 16:00:00,0.63,1.34
172,2022-04-12 17:30:00,2022-04-12 18:00:00,0.52,1.14
173,2022-04-12 19:15:00,2022-04-12 20:00:00,0.65,1.32
174,2022-04-12 21:30:00,2022-04-12 22:00:00,0.65,1.48
175,2022-04-12 23:45:00,2022-04-13 00:15:00,0.67,1.41
176,2022-04-13 01:45:00,2022-04-13 02:30:00,0.71,1.53
177,2022-04-13 04:00:00,2022-04-13 04:30:00,0.65,1.47
178,2022-04-13 06:00:00,2022-04-13 06:30:00,0.62,1.62
179,2022-04-13 08:00:00,2022-04-13 08:30:00,0.6,1.56
180,2022-04-13 10:00:00,2022-04-13 10:30:00,0.57,1.32
181,2022-04-13 12:00:00,2022-04-13 12:30:00,0.5,1.1
182,2022-04-13 14:00:00,2022-04-13 14:30:00,0.48,1.18
183,2022-04-13 16:15:00,2022-04-13 16:30:00,0.47,1.06
184,2022-04-13 18:15:00,2022-04-13 18:45:00,0.49,1.13
185,2022-04-13 20:15:00,2022-04-13 20:45:00,0.57,1.23
186,2022-04-13 22:45:00,2022-04-13 23:15:00,0.63,1.29
187,2022-04-14 01:00:00,2022-04-14 01:30:00,0.62,1.41
188,2022-04-14 03:15:00,2022-04-14 04:00:00,0.71,1.56
189,2022-04-14 05:45:00,2022-04-14 06:15:00,0.54,1.56
190,2022-04-14 08:00:00,2022-04-14 08:45:00,0.69,1.49
191,2022-04-14 12:00:00,2022-04-14 12:30:00,0.44,0.92
192,2022-04-14 16:00:00,2022-04-14 16:15:00,0.44,0.95
