cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:00:00,0.12,0.53
1,2021-01-19 23:45:00,2021-01-20 00:15:00,0.57,2.48
2,2021-01-20 01:00:00,2021-01-20 01:45:00,0.76,2.86
3,2021-01-20 02:30:00,2021-01-20 04:45:00,2.31,8.38
4,2021-01-20 05:15:00,2021-01-20 06:30:00,1.37,4.73
5,2021-01-20 07:00:00,2021-01-20 07:45:00,0.82,3.59
6,2021-01-20 08:15:00,2021-01-20 09:45:00,1.47,4.97
7,2021-01-20 11:00:00,2021-01-20 11:30:00,0.61,2.7
8,2021-01-20 12:00:00,2021-01-20 12:15:00,0.4,1.85
9,2021-01-20 13:15:00,2021-01-20 13:45:00,0.67,3.0
10,2021-01-20 14:45:00,2021-01-20 15:15:00,0.49,2.23
11,2021-01-20 16:00:00,2021-01-20 16:45:00,0.82,3.39
12,2021-01-20 18:15:00,2021-01-20 20:00:00,1.91,6.53
13,2021-01-20 21:30:00,2021-01-20 22:30:00,1.19,8.36
14,2021-01-20 23:30:00,2021-01-20 23:45:00,0.47,1.7
15,2021-01-21 00:30:00,2021-01-21 01:00:00,0.74,2.13
16,2021-01-21 02:45:00,2021-01-21 03:30:00,0.87,3.85
17,2021-01-21 04:15:00,2021-01-21 04:45:00,0.5,2.3
18,2021-01-21 05:30:00,2021-01-21 06:00:00,0.49,2.25
19,2021-01-21 06:45:00,2021-01-21 07:15:00,0.45,2.02
20,2021-01-21 08:00:00,2021-01-21 08:30:00,0.46,2.08
21,2021-01-21 09:00:00,2021-01-21 09:30:00,0.39,1.83
22,2021-01-21 11:00:00,2021-01-21 11:15:00,0.49,1.93
23,2021-01-21 12:15:00,2021-01-21 12:45:00,0.39,1.77
24,2021-01-21 13:45:00,2021-01-21 14:15:00,0.37,1.7
25,2021-01-21 15:00:00,2021-01-21 15:30:00,0.41,1.85
26,2021-01-21 16:15:00,2021-01-21 16:45:00,0.45,2.04
27,2021-01-21 18:15:00,2021-01-21 18:45:00,0.6,2.69
28,2021-01-21 19:45:00,2021-01-21 20:00:00,0.33,1.17
29,2021-01-21 21:30:00,2021-01-21 22:15:00,0.82,6.5
30,2021-01-21 23:00:00,2021-01-21 23:15:00,0.47,1.23
31,2021-01-22 00:15:00,2021-01-22 00:15:00,0.12,0.59
32,2021-01-22 01:15:00,2021-01-22 01:30:00,0.31,1.26
33,2021-01-22 02:45:00,2021-01-22 04:00:00,1.3,4.16
34,2021-01-22 04:45:00,2021-01-22 05:00:00,0.46,2.03
35,2021-01-22 06:00:00,2021-01-22 06:45:00,0.81,3.39
36,2021-01-22 07:30:00,2021-01-22 08:00:00,0.46,2.11
37,2021-01-22 08:45:00,2021-01-22 09:00:00,0.43,1.97
38,2021-01-22 11:00:00,2021-01-22 11:45:00,0.82,3.24
39,2021-01-22 12:30:00,2021-01-22 13:00:00,0.41,1.84
40,2021-01-22 14:00:00,2021-01-22 14:30:00,0.41,1.87
41,2021-01-22 15:15:00,2021-01-22 15:45:00,0.42,1.91
42,2021-01-22 16:30:00,2021-01-22 16:45:00,0.32,1.44
43,2021-01-22 18:15:00,2021-01-22 19:00:00,0.92,3.66
44,2021-01-22 19:45:00,2021-01-22 20:00:00,0.28,1.03
45,2021-01-22 21:30:00,2021-01-22 22:00:00,0.65,5.15
46,2021-01-22 22:45:00,2021-01-22 23:00:00,0.43,0.86
47,2021-01-23 00:00:00,2021-01-23 00:15:00,0.47,2.0
48,2021-01-23 01:15:00,2021-01-23 01:45:00,0.54,1.74
49,2021-01-23 02:15:00,2021-01-23 02:30:00,0.49,1.52
50,2021-01-23 03:00:00,2021-01-23 03:45:00,0.78,3.4
51,2021-01-23 04:15:00,2021-01-23 05:00:00,0.85,3.46
52,2021-01-23 05:30:00,2021-01-23 06:45:00,1.23,3.76
53,2021-01-23 07:15:00,2021-01-23 08:00:00,0.72,3.24
54,2021-01-23 08:45:00,2021-01-23 09:00:00,0.48,2.21
55,2021-01-23 09:45:00,2021-01-23 10:30:00,0.77,3.08
56,2021-01-23 11:30:00,2021-01-23 11:45:00,0.42,1.89
57,2021-01-23 12:30:00,2021-01-23 13:00:00,0.43,1.93
58,2021-01-23 13:45:00,2021-01-23 14:30:00,0.72,2.91
59,2021-01-23 15:15:00,2021-01-23 15:45:00,0.52,2.35
60,2021-01-23 16:15:00,2021-01-23 16:45:00,0.46,2.07
61,2021-01-23 17:30:00,2021-01-23 18:15:00,0.84,3.36
62,2021-01-23 19:15:00,2021-01-23 19:30:00,0.47,2.16
63,2021-01-23 21:30:00,2021-01-23 22:00:00,0.6,5.55
64,2021-01-23 23:00:00,2021-01-23 23:00:00,0.12,0.84
65,2021-01-24 00:00:00,2021-01-24 00:15:00,0.42,1.35
66,2021-01-24 01:00:00,2021-01-24 01:30:00,0.39,1.66
67,2021-01-24 02:30:00,2021-01-24 02:45:00,0.49,1.63
68,2021-01-24 03:15:00,2021-01-24 03:45:00,0.58,2.55
69,2021-01-24 04:15:00,2021-01-24 05:00:00,0.9,3.56
70,2021-01-24 05:30:00,2021-01-24 06:45:00,1.28,4.02
71,2021-01-24 07:15:00,2021-01-24 07:45:00,0.47,2.16
72,2021-01-24 08:15:00,2021-01-24 08:45:00,0.72,2.98
73,2021-01-24 09:45:00,2021-01-24 10:00:00,0.46,2.0
74,2021-01-24 10:45:00,2021-01-24 11:30:00,0.69,3.01
75,2021-01-24 12:15:00,2021-01-24 12:45:00,0.53,2.44
76,2021-01-24 13:30:00,2021-01-24 14:00:00,0.52,2.39
77,2021-01-24 14:45:00,2021-01-24 16:00:00,1.33,4.32
78,2021-01-24 16:30:00,2021-01-24 17:00:00,0.68,3.08
79,2021-01-24 17:30:00,2021-01-24 18:45:00,1.3,4.24
80,2021-01-24 19:15:00,2021-01-24 19:30:00,0.45,2.08
81,2021-01-24 20:00:00,2021-01-24 20:00:00,0.12,0.3
82,2021-01-24 21:15:00,2021-01-24 23:00:00,1.81,10.06
83,2021-01-25 00:00:00,2021-01-25 00:30:00,0.55,2.23
84,2021-01-25 01:15:00,2021-01-25 01:30:00,0.38,1.64
85,2021-01-25 02:30:00,2021-01-25 03:30:00,1.03,4.32
86,2021-01-25 04:00:00,2021-01-25 04:30:00,0.51,2.35
87,2021-01-25 05:00:00,2021-01-25 05:15:00,0.46,1.86
88,2021-01-25 05:45:00,2021-01-25 06:15:00,0.55,2.52
89,2021-01-25 06:45:00,2021-01-25 07:00:00,0.42,1.98
90,2021-01-25 07:30:00,2021-01-25 08:00:00,0.48,2.2
91,2021-01-25 08:45:00,2021-01-25 09:45:00,1.14,3.33
92,2021-01-25 11:00:00,2021-01-25 11:30:00,0.65,2.92
93,2021-01-25 12:00:00,2021-01-25 12:45:00,0.66,2.81
94,2021-01-25 13:30:00,2021-01-25 14:00:00,0.49,2.24
95,2021-01-25 14:45:00,2021-01-25 15:00:00,0.5,2.28
96,2021-01-25 15:45:00,2021-01-25 16:45:00,1.16,3.42
97,2021-01-25 18:15:00,2021-01-25 19:15:00,1.12,4.48
98,2021-01-25 19:45:00,2021-01-25 20:00:00,0.46,2.04
99,2021-01-25 21:30:00,2021-01-25 22:00:00,0.67,6.52
100,2021-01-25 22:45:00,2021-01-25 23:00:00,0.48,1.54
101,2021-01-25 23:45:00,2021-01-26 00:15:00,0.75,2.23
102,2021-01-26 01:00:00,2021-01-26 01:15:00,0.38,1.6
103,2021-01-26 02:00:00,2021-01-26 02:30:00,0.41,1.75
104,2021-01-26 03:00:00,2021-01-26 03:45:00,0.77,3.35
105,2021-01-26 04:15:00,2021-01-26 05:00:00,0.93,3.67
106,2021-01-26 05:30:00,2021-01-26 06:45:00,1.31,4.24
107,2021-01-26 07:15:00,2021-01-26 07:30:00,0.46,1.96
108,2021-01-26 08:00:00,2021-01-26 09:15:00,1.35,4.23
109,2021-01-26 09:45:00,2021-01-26 09:45:00,0.12,0.66
110,2021-01-26 11:00:00,2021-01-26 11:30:00,0.69,3.03
111,2021-01-26 12:00:00,2021-01-26 13:15:00,1.25,3.85
112,2021-01-26 14:00:00,2021-01-26 14:30:00,0.65,2.8
113,2021-01-26 15:00:00,2021-01-26 16:45:00,1.87,5.02
114,2021-01-26 18:15:00,2021-01-26 19:00:00,0.96,4.19
115,2021-01-26 19:30:00,2021-01-26 20:00:00,0.54,2.44
116,2021-01-26 21:15:00,2021-01-26 22:45:00,1.47,9.58
117,2021-01-26 23:15:00,2021-01-26 23:45:00,0.39,1.65
118,2021-01-27 00:15:00,2021-01-27 00:30:00,0.47,2.28
119,2021-01-27 01:00:00,2021-01-27 01:30:00,0.43,1.82
120,2021-01-27 02:00:00,2021-01-27 04:00:00,2.02,7.11
121,2021-01-27 04:30:00,2021-01-27 06:15:00,1.94,7.03
122,2021-01-27 07:00:00,2021-01-27 07:30:00,0.63,2.84
123,2021-01-27 08:00:00,2021-01-27 09:45:00,1.69,5.75
124,2021-01-27 11:00:00,2021-01-27 11:30:00,0.71,3.17
125,2021-01-27 12:00:00,2021-01-27 12:45:00,0.8,3.26
126,2021-01-27 13:15:00,2021-01-27 13:30:00,0.41,1.9
127,2021-01-27 14:15:00,2021-01-27 14:30:00,0.47,1.75
128,2021-01-27 15:00:00,2021-01-27 15:30:00,0.52,2.41
129,2021-01-27 16:15:00,2021-01-27 16:45:00,0.52,2.37
130,2021-01-27 18:15:00,2021-01-27 19:00:00,0.8,3.57
131,2021-01-27 19:45:00,2021-01-27 20:00:00,0.49,1.7
132,2021-01-27 21:30:00,2021-01-27 22:15:00,0.8,6.24
133,2021-01-27 23:30:00,2021-01-27 23:45:00,0.42,1.45
134,2021-01-28 00:15:00,2021-01-28 00:15:00,0.12,0.55
135,2021-01-28 01:00:00,2021-01-28 01:30:00,0.59,2.16
136,2021-01-28 02:45:00,2021-01-28 03:00:00,0.46,1.44
137,2021-01-28 03:30:00,2021-01-28 04:15:00,0.99,4.11
138,2021-01-28 05:00:00,2021-01-28 06:00:00,0.85,3.69
139,2021-01-28 06:45:00,2021-01-28 07:15:00,0.5,2.3
140,2021-01-28 08:00:00,2021-01-28 08:45:00,0.76,3.09
141,2021-01-28 09:45:00,2021-01-28 09:45:00,0.12,1.07
142,2021-01-28 11:00:00,2021-01-28 11:30:00,0.49,2.31
143,2021-01-28 12:15:00,2021-01-28 12:45:00,0.4,1.89
144,2021-01-28 13:45:00,2021-01-28 14:15:00,0.49,2.1
145,2021-01-28 15:15:00,2021-01-28 15:45:00,0.39,1.83
146,2021-01-28 16:45:00,2021-01-28 16:45:00,0.12,0.6
147,2021-01-28 18:15:00,2021-01-28 18:45:00,0.51,2.35
148,2021-01-28 19:45:00,2021-01-28 20:00:00,0.46,1.86
149,2021-01-28 21:30:00,2021-01-28 22:15:00,0.87,6.88
150,2021-01-28 23:45:00,2021-01-29 00:00:00,0.33,1.25
151,2021-01-29 00:30:00,2021-01-29 00:30:00,0.12,0.65
152,2021-01-29 01:30:00,2021-01-29 01:45:00,0.43,1.32
153,2021-01-29 03:00:00,2021-01-29 04:00:00,0.87,3.73
154,2021-01-29 04:45:00,2021-01-29 05:15:00,0.47,2.2
155,2021-01-29 06:15:00,2021-01-29 06:30:00,0.43,2.0
156,2021-01-29 07:30:00,2021-01-29 07:45:00,0.39,1.21
157,2021-01-29 08:15:00,2021-01-29 08:45:00,0.46,2.14
158,2021-01-29 09:30:00,2021-01-29 09:45:00,0.28,1.31
159,2021-01-29 11:00:00,2021-01-29 11:30:00,0.5,2.28
160,2021-01-29 12:15:00,2021-01-29 12:45:00,0.41,1.9
161,2021-01-29 13:45:00,2021-01-29 14:00:00,0.48,1.9
162,2021-01-29 15:00:00,2021-01-29 15:30:00,0.42,1.92
163,2021-01-29 16:15:00,2021-01-29 16:45:00,0.54,2.39
164,2021-01-29 18:15:00,2021-01-29 18:45:00,0.54,2.46
165,2021-01-29 19:30:00,2021-01-29 20:00:00,0.48,2.22
166,2021-01-29 21:30:00,2021-01-29 22:00:00,0.62,4.94
167,2021-01-29 23:30:00,2021-01-29 23:30:00,0.12,0.86
168,2021-01-30 00:00:00,2021-01-30 00:00:00,0.12,0.52
