cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 12:45:00,13.79,66.56
1,2021-01-20 13:15:00,2021-01-20 14:00:00,1.0,2.24
2,2021-01-20 14:30:00,2021-01-20 14:30:00,0.12,1.14
3,2021-01-20 15:00:00,2021-01-20 20:45:00,6.0,18.26
4,2021-01-20 21:15:00,2021-01-20 21:15:00,0.12,1.24
5,2021-01-20 21:45:00,2021-01-20 22:15:00,0.64,5.45
6,2021-01-20 22:45:00,2021-01-21 03:15:00,4.75,24.37
7,2021-01-21 03:45:00,2021-01-21 03:45:00,0.12,1.2
8,2021-01-21 04:15:00,2021-01-21 04:15:00,0.12,1.21
9,2021-01-21 04:45:00,2021-01-21 10:15:00,5.75,14.96
10,2021-01-21 10:45:00,2021-01-21 10:45:00,0.12,1.06
11,2021-01-21 11:15:00,2021-01-21 11:15:00,0.12,1.06
12,2021-01-21 11:45:00,2021-01-21 12:30:00,1.0,2.29
13,2021-01-21 13:15:00,2021-01-21 13:30:00,0.38,1.05
14,2021-01-21 14:00:00,2021-01-21 14:15:00,0.44,1.05
15,2021-01-21 14:45:00,2021-01-21 15:30:00,1.0,2.31
16,2021-01-21 16:00:00,2021-01-21 16:00:00,0.12,1.08
17,2021-01-21 16:30:00,2021-01-21 16:30:00,0.12,1.16
18,2021-01-21 17:00:00,2021-01-21 18:45:00,2.0,4.67
19,2021-01-21 19:15:00,2021-01-21 19:15:00,0.12,1.03
20,2021-01-21 19:45:00,2021-01-21 20:00:00,0.34,1.13
21,2021-01-21 20:30:00,2021-01-21 20:45:00,0.36,1.13
22,2021-01-21 21:15:00,2021-01-21 21:15:00,0.12,1.05
23,2021-01-21 21:45:00,2021-01-21 22:00:00,0.46,2.57
24,2021-01-21 22:30:00,2021-01-21 22:30:00,0.12,1.21
25,2021-01-21 23:00:00,2021-01-22 03:15:00,4.5,23.52
26,2021-01-22 03:45:00,2021-01-22 03:45:00,0.12,1.2
27,2021-01-22 04:15:00,2021-01-22 08:30:00,4.5,12.66
28,2021-01-22 09:00:00,2021-01-22 09:15:00,0.5,3.62
29,2021-01-22 09:45:00,2021-01-22 09:45:00,0.12,1.2
30,2021-01-22 10:15:00,2021-01-22 10:15:00,0.12,1.2
31,2021-01-22 10:45:00,2021-01-22 10:45:00,0.12,1.2
32,2021-01-22 11:15:00,2021-01-22 11:15:00,0.12,1.2
33,2021-01-22 11:45:00,2021-01-22 12:45:00,1.25,3.27
34,2021-01-22 13:30:00,2021-01-22 13:30:00,0.12,0.9
35,2021-01-22 14:00:00,2021-01-22 14:15:00,0.38,1.12
36,2021-01-22 14:45:00,2021-01-22 15:30:00,1.0,2.31
37,2021-01-22 16:00:00,2021-01-22 16:00:00,0.12,1.08
38,2021-01-22 16:30:00,2021-01-22 18:15:00,2.0,4.45
39,2021-01-22 18:45:00,2021-01-22 18:45:00,0.12,1.07
40,2021-01-22 19:15:00,2021-01-22 19:15:00,0.12,1.16
41,2021-01-22 19:45:00,2021-01-22 21:30:00,2.0,4.69
42,2021-01-22 22:00:00,2021-01-23 11:30:00,13.75,65.24
43,2021-01-23 12:00:00,2021-01-23 12:30:00,0.75,2.4
44,2021-01-23 13:15:00,2021-01-23 13:15:00,0.12,0.99
45,2021-01-23 13:45:00,2021-01-23 15:15:00,1.75,4.42
46,2021-01-23 15:45:00,2021-01-23 15:45:00,0.12,1.16
47,2021-01-23 16:15:00,2021-01-23 17:00:00,0.98,4.69
48,2021-01-23 17:30:00,2021-01-23 17:30:00,0.12,1.19
49,2021-01-23 18:00:00,2021-01-23 18:00:00,0.12,1.19
50,2021-01-23 18:30:00,2021-01-23 18:30:00,0.12,1.19
51,2021-01-23 19:00:00,2021-01-23 19:00:00,0.12,1.18
52,2021-01-23 19:30:00,2021-01-23 19:30:00,0.12,1.17
53,2021-01-23 20:00:00,2021-01-23 20:00:00,0.12,1.18
54,2021-01-23 20:30:00,2021-01-23 20:30:00,0.12,1.17
55,2021-01-23 21:00:00,2021-01-24 12:30:00,15.75,63.04
56,2021-01-24 13:15:00,2021-01-24 13:15:00,0.12,1.1
57,2021-01-24 13:45:00,2021-01-25 12:30:00,23.0,89.23
58,2021-01-25 13:15:00,2021-01-26 12:30:00,23.5,88.12
59,2021-01-26 13:15:00,2021-01-26 13:15:00,0.12,1.05
60,2021-01-26 13:45:00,2021-01-27 12:30:00,23.0,95.26
61,2021-01-27 13:00:00,2021-01-27 13:45:00,0.82,2.4
62,2021-01-27 14:15:00,2021-01-27 14:15:00,0.12,1.24
63,2021-01-27 14:45:00,2021-01-27 14:45:00,0.12,1.18
64,2021-01-27 15:15:00,2021-01-27 15:15:00,0.12,1.13
65,2021-01-27 15:45:00,2021-01-27 18:30:00,2.96,8.88
66,2021-01-27 19:00:00,2021-01-27 20:45:00,2.0,5.05
67,2021-01-27 21:15:00,2021-01-28 08:45:00,11.58,51.44
68,2021-01-28 09:15:00,2021-01-28 09:30:00,0.45,3.5
69,2021-01-28 10:00:00,2021-01-28 10:15:00,0.44,1.48
70,2021-01-28 10:45:00,2021-01-28 10:45:00,0.12,1.38
71,2021-01-28 11:15:00,2021-01-28 12:30:00,1.3,3.77
72,2021-01-28 13:15:00,2021-01-28 13:15:00,0.12,1.03
73,2021-01-28 14:00:00,2021-01-28 14:00:00,0.12,0.98
74,2021-01-28 14:45:00,2021-01-28 14:45:00,0.12,0.99
75,2021-01-28 15:30:00,2021-01-28 15:30:00,0.12,1.06
76,2021-01-28 16:00:00,2021-01-28 16:15:00,0.3,1.01
77,2021-01-28 16:45:00,2021-01-28 17:00:00,0.34,1.03
78,2021-01-28 17:30:00,2021-01-28 17:45:00,0.38,1.16
79,2021-01-28 18:15:00,2021-01-28 18:15:00,0.12,1.06
80,2021-01-28 18:45:00,2021-01-28 19:00:00,0.44,1.01
81,2021-01-28 19:30:00,2021-01-28 19:30:00,0.12,0.99
82,2021-01-28 20:00:00,2021-01-28 20:15:00,0.37,1.01
83,2021-01-28 20:45:00,2021-01-28 20:45:00,0.12,0.99
84,2021-01-28 21:30:00,2021-01-28 21:30:00,0.12,0.99
