cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 02:30:00,2.6,12.41
1,2021-01-01 03:00:00,2021-01-01 08:00:00,5.08,24.04
2,2021-01-01 08:30:00,2021-01-01 08:45:00,0.37,1.45
3,2021-01-01 09:15:00,2021-01-01 09:45:00,0.62,2.94
4,2021-01-01 11:00:00,2021-01-01 13:00:00,2.16,6.63
5,2021-01-01 13:30:00,2021-01-01 16:00:00,2.75,13.02
6,2021-01-01 16:30:00,2021-01-02 08:45:00,16.25,72.61
7,2021-01-02 09:15:00,2021-01-02 09:45:00,0.59,2.86
8,2021-01-02 10:15:00,2021-01-02 10:15:00,0.12,0.74
9,2021-01-02 10:45:00,2021-01-02 11:15:00,0.68,2.47
10,2021-01-02 11:45:00,2021-01-02 13:00:00,1.34,3.8
11,2021-01-02 13:30:00,2021-01-02 13:45:00,0.5,1.84
12,2021-01-02 14:15:00,2021-01-03 04:15:00,14.05,70.54
13,2021-01-03 04:45:00,2021-01-03 08:45:00,4.09,19.66
14,2021-01-03 09:15:00,2021-01-03 09:30:00,0.47,1.74
15,2021-01-03 10:00:00,2021-01-03 12:45:00,2.81,7.04
16,2021-01-03 13:15:00,2021-01-04 08:45:00,19.54,99.33
17,2021-01-04 09:15:00,2021-01-04 09:45:00,0.75,1.55
18,2021-01-04 11:00:00,2021-01-04 14:00:00,3.17,9.26
19,2021-01-04 14:30:00,2021-01-04 16:15:00,1.94,12.23
20,2021-01-04 16:45:00,2021-01-04 22:15:00,5.73,27.45
21,2021-01-04 22:45:00,2021-01-05 08:45:00,10.01,47.22
22,2021-01-05 09:15:00,2021-01-05 09:45:00,0.62,1.64
23,2021-01-05 11:00:00,2021-01-05 13:00:00,2.15,6.64
24,2021-01-05 13:30:00,2021-01-06 08:30:00,18.97,94.94
25,2021-01-06 09:15:00,2021-01-06 09:30:00,0.47,1.57
26,2021-01-06 11:00:00,2021-01-06 12:15:00,1.45,4.86
27,2021-01-06 12:45:00,2021-01-06 13:00:00,0.44,1.46
28,2021-01-06 13:30:00,2021-01-07 02:00:00,12.72,64.22
29,2021-01-07 02:30:00,2021-01-07 08:45:00,6.36,30.53
30,2021-01-07 09:15:00,2021-01-07 09:15:00,0.12,0.7
31,2021-01-07 09:45:00,2021-01-07 09:45:00,0.12,0.47
32,2021-01-07 11:00:00,2021-01-07 12:00:00,1.09,2.97
33,2021-01-07 12:30:00,2021-01-07 13:00:00,0.62,2.2
34,2021-01-07 13:30:00,2021-01-07 15:45:00,2.42,9.8
35,2021-01-07 16:15:00,2021-01-08 06:15:00,14.21,72.61
36,2021-01-08 06:45:00,2021-01-08 08:45:00,2.04,11.58
37,2021-01-08 09:15:00,2021-01-08 09:15:00,0.12,0.55
38,2021-01-08 09:45:00,2021-01-08 09:45:00,0.12,0.5
39,2021-01-08 11:00:00,2021-01-09 07:30:00,20.66,97.7
40,2021-01-09 08:00:00,2021-01-09 08:45:00,0.84,4.14
41,2021-01-09 09:15:00,2021-01-09 12:45:00,3.68,16.39
42,2021-01-09 13:15:00,2021-01-10 00:30:00,11.44,54.98
43,2021-01-10 01:00:00,2021-01-10 08:45:00,7.84,36.78
44,2021-01-10 09:15:00,2021-01-10 10:00:00,0.86,3.99
45,2021-01-10 10:30:00,2021-01-10 11:15:00,0.92,3.38
46,2021-01-10 11:45:00,2021-01-10 12:00:00,0.29,0.92
47,2021-01-10 12:45:00,2021-01-10 14:15:00,1.57,5.48
48,2021-01-10 14:45:00,2021-01-10 17:45:00,3.08,17.59
49,2021-01-10 18:15:00,2021-01-11 04:00:00,9.94,47.13
50,2021-01-11 04:30:00,2021-01-11 09:15:00,4.93,23.33
51,2021-01-11 09:45:00,2021-01-11 09:45:00,0.12,0.48
52,2021-01-11 11:00:00,2021-01-11 11:45:00,1.0,4.09
53,2021-01-11 12:30:00,2021-01-11 17:15:00,4.84,21.63
54,2021-01-11 17:45:00,2021-01-12 08:45:00,15.11,75.55
55,2021-01-12 09:15:00,2021-01-12 09:30:00,0.47,1.63
56,2021-01-12 11:00:00,2021-01-12 15:45:00,5.0,24.3
57,2021-01-12 16:15:00,2021-01-13 08:45:00,16.54,83.15
58,2021-01-13 09:15:00,2021-01-13 09:45:00,0.57,1.59
59,2021-01-13 11:00:00,2021-01-13 21:15:00,10.5,43.19
60,2021-01-13 21:45:00,2021-01-13 22:45:00,1.21,6.16
61,2021-01-17 23:00:00,2021-01-18 08:45:00,9.86,47.61
62,2021-01-18 09:15:00,2021-01-18 09:30:00,0.45,1.54
63,2021-01-18 11:00:00,2021-01-18 12:45:00,1.87,5.46
64,2021-01-18 13:15:00,2021-01-18 14:00:00,0.74,2.45
65,2021-01-18 14:30:00,2021-01-19 08:45:00,18.37,87.29
66,2021-01-19 09:15:00,2021-01-19 09:45:00,0.66,1.41
67,2021-01-19 11:00:00,2021-01-19 11:45:00,1.0,3.44
68,2021-01-19 12:15:00,2021-01-20 05:30:00,17.33,81.69
69,2021-01-20 06:00:00,2021-01-20 08:45:00,2.75,14.79
70,2021-01-20 09:15:00,2021-01-20 09:30:00,0.47,1.64
71,2021-01-20 11:00:00,2021-01-20 12:00:00,1.2,3.02
72,2021-01-20 12:30:00,2021-01-20 12:45:00,0.48,0.74
73,2021-01-20 13:15:00,2021-01-20 13:30:00,0.38,1.23
74,2021-01-20 14:00:00,2021-01-20 20:30:00,6.48,30.04
75,2021-01-20 21:00:00,2021-01-21 08:15:00,11.44,47.71
76,2021-01-21 09:15:00,2021-01-21 09:45:00,0.64,1.52
77,2021-01-21 11:00:00,2021-01-21 11:45:00,0.82,2.28
78,2021-01-21 12:15:00,2021-01-21 12:30:00,0.43,1.22
79,2021-01-21 13:00:00,2021-01-21 13:15:00,0.29,0.98
80,2021-01-21 13:45:00,2021-01-21 19:45:00,6.07,32.66
81,2021-01-21 20:15:00,2021-01-21 22:45:00,2.6,12.89
82,2021-01-21 23:15:00,2021-01-22 00:30:00,1.46,7.04
83,2021-01-22 01:00:00,2021-01-22 02:00:00,1.23,5.79
84,2021-01-22 02:30:00,2021-01-22 08:45:00,6.25,24.92
85,2021-01-22 09:15:00,2021-01-22 09:45:00,0.52,2.61
86,2021-01-22 11:00:00,2021-01-22 13:15:00,2.45,9.53
87,2021-01-22 14:00:00,2021-01-23 08:45:00,18.62,77.98
88,2021-01-23 09:15:00,2021-01-23 10:30:00,1.33,2.78
89,2021-01-23 11:15:00,2021-01-23 12:30:00,1.22,3.01
90,2021-01-23 13:15:00,2021-01-23 15:45:00,2.52,12.3
91,2021-01-23 16:15:00,2021-01-24 08:30:00,16.4,69.25
92,2021-01-24 09:15:00,2021-01-24 10:15:00,1.16,3.57
93,2021-01-24 10:45:00,2021-01-24 11:45:00,1.05,3.35
94,2021-01-24 12:45:00,2021-01-24 13:15:00,0.44,1.45
95,2021-01-24 13:45:00,2021-01-24 20:45:00,7.17,33.08
96,2021-01-24 21:15:00,2021-01-25 00:30:00,3.43,16.91
97,2021-01-25 01:00:00,2021-01-25 03:15:00,2.45,12.1
98,2021-01-25 03:45:00,2021-01-25 08:30:00,4.88,23.26
99,2021-01-25 09:15:00,2021-01-25 09:30:00,0.49,1.58
100,2021-01-25 11:00:00,2021-01-25 20:15:00,9.45,41.59
101,2021-01-25 20:45:00,2021-01-26 07:45:00,11.08,55.28
102,2021-01-26 08:15:00,2021-01-26 09:45:00,1.74,4.24
103,2021-01-26 11:00:00,2021-01-26 14:30:00,3.75,14.83
104,2021-01-26 15:00:00,2021-01-27 07:45:00,16.8,91.85
105,2021-01-27 08:15:00,2021-01-27 08:15:00,0.12,0.73
106,2021-01-27 08:45:00,2021-01-27 08:45:00,0.12,0.39
107,2021-01-27 09:15:00,2021-01-27 09:45:00,0.68,2.51
108,2021-01-27 11:00:00,2021-01-28 07:45:00,20.86,94.87
109,2021-01-28 08:15:00,2021-01-28 09:30:00,1.5,2.77
110,2021-01-28 11:00:00,2021-01-28 15:15:00,4.5,15.97
111,2021-01-28 15:45:00,2021-01-29 00:30:00,8.96,47.49
112,2021-01-29 01:00:00,2021-01-29 02:15:00,1.49,6.89
113,2021-01-29 02:45:00,2021-01-29 09:00:00,6.48,23.35
114,2021-01-29 09:30:00,2021-01-29 09:45:00,0.37,0.41
115,2021-01-29 11:00:00,2021-01-29 13:15:00,2.42,11.0
116,2021-01-29 13:45:00,2021-01-30 07:45:00,18.11,78.15
117,2021-01-30 08:15:00,2021-01-30 08:45:00,0.56,2.73
118,2021-01-30 09:15:00,2021-01-30 09:15:00,0.12,0.69
119,2021-01-30 09:45:00,2021-01-30 11:45:00,2.12,7.23
120,2021-01-30 12:15:00,2021-01-30 12:30:00,0.4,1.33
121,2021-01-30 13:00:00,2021-01-31 07:45:00,18.86,75.77
122,2021-01-31 08:15:00,2021-01-31 08:45:00,0.54,2.65
123,2021-01-31 09:15:00,2021-01-31 09:15:00,0.12,0.66
124,2021-01-31 10:00:00,2021-01-31 11:00:00,1.15,2.46
125,2021-01-31 11:30:00,2021-02-01 07:45:00,20.33,82.49
126,2021-02-01 08:15:00,2021-02-01 08:45:00,0.57,2.8
127,2021-02-01 09:15:00,2021-02-01 09:15:00,0.12,0.69
128,2021-02-01 09:45:00,2021-02-01 09:45:00,0.12,0.76
129,2021-02-01 11:00:00,2021-02-01 11:30:00,0.74,2.54
130,2021-02-01 12:00:00,2021-02-01 12:15:00,0.48,1.6
131,2021-02-01 12:45:00,2021-02-02 07:45:00,19.11,76.35
132,2021-02-02 08:15:00,2021-02-02 08:45:00,0.61,2.95
133,2021-02-02 09:15:00,2021-02-02 09:15:00,0.12,0.66
134,2021-02-02 11:00:00,2021-02-02 11:30:00,0.68,2.26
135,2021-02-02 12:00:00,2021-02-03 04:00:00,16.25,65.15
136,2021-02-03 04:30:00,2021-02-03 05:15:00,0.87,3.83
137,2021-02-03 05:45:00,2021-02-03 07:45:00,2.09,8.91
138,2021-02-03 08:15:00,2021-02-03 09:30:00,1.22,3.95
139,2021-02-03 11:00:00,2021-02-03 12:00:00,1.22,3.46
140,2021-02-03 12:30:00,2021-02-03 17:15:00,4.86,19.26
141,2021-02-03 17:45:00,2021-02-03 18:30:00,1.0,4.46
142,2021-02-03 19:00:00,2021-02-03 19:45:00,0.93,4.15
143,2021-02-03 20:15:00,2021-02-04 00:00:00,3.92,15.92
144,2021-02-04 00:30:00,2021-02-04 07:30:00,7.11,27.6
145,2021-02-04 08:15:00,2021-02-04 08:45:00,0.61,2.92
146,2021-02-04 09:15:00,2021-02-04 09:15:00,0.12,0.66
147,2021-02-04 11:00:00,2021-02-04 12:00:00,1.22,3.29
148,2021-02-04 12:30:00,2021-02-04 19:15:00,6.99,25.8
149,2021-02-04 19:45:00,2021-02-05 07:30:00,11.94,45.52
150,2021-02-05 08:00:00,2021-02-05 08:45:00,0.82,3.62
151,2021-02-05 09:15:00,2021-02-05 09:15:00,0.12,0.46
152,2021-02-05 11:00:00,2021-02-05 11:00:00,0.12,0.69
153,2021-02-05 13:00:00,2021-02-05 18:00:00,5.08,20.34
154,2021-02-05 18:30:00,2021-02-05 20:15:00,1.85,6.75
155,2021-02-05 20:45:00,2021-02-06 07:45:00,11.1,38.3
156,2021-02-06 08:15:00,2021-02-06 08:45:00,0.56,2.75
157,2021-02-06 09:15:00,2021-02-06 09:15:00,0.12,0.64
158,2021-02-06 09:45:00,2021-02-06 10:00:00,0.47,2.24
159,2021-02-06 10:30:00,2021-02-06 11:15:00,0.9,1.96
160,2021-02-06 11:45:00,2021-02-06 12:00:00,0.42,1.15
161,2021-02-06 12:45:00,2021-02-06 18:00:00,5.5,20.85
162,2021-02-06 18:30:00,2021-02-06 21:15:00,2.94,10.45
163,2021-02-06 21:45:00,2021-02-06 23:30:00,1.92,7.26
164,2021-02-07 00:00:00,2021-02-07 07:45:00,7.77,26.7
165,2021-02-07 08:30:00,2021-02-07 09:30:00,1.17,3.31
166,2021-02-07 10:15:00,2021-02-07 10:30:00,0.5,1.42
167,2021-02-07 11:00:00,2021-02-07 11:45:00,0.72,1.62
168,2021-02-07 12:30:00,2021-02-07 13:15:00,0.9,3.79
169,2021-02-07 13:45:00,2021-02-08 07:45:00,18.03,70.63
