cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:30:00,2021-01-21 00:00:00,0.42,1.12
1,2021-01-21 01:00:00,2021-01-21 01:45:00,0.78,7.69
2,2021-01-21 02:30:00,2021-01-21 03:00:00,0.39,1.0
3,2021-01-21 03:45:00,2021-01-21 04:00:00,0.46,1.16
4,2021-01-21 04:45:00,2021-01-21 05:00:00,0.48,1.25
5,2021-01-21 05:45:00,2021-01-21 06:15:00,0.51,1.39
6,2021-01-21 06:45:00,2021-01-21 07:15:00,0.51,1.38
7,2021-01-21 07:45:00,2021-01-21 08:15:00,0.55,1.48
8,2021-01-21 09:00:00,2021-01-21 09:30:00,0.46,1.22
9,2021-01-21 11:00:00,2021-01-21 11:15:00,0.47,1.21
10,2021-01-21 12:30:00,2021-01-21 12:45:00,0.49,0.82
11,2021-01-21 13:45:00,2021-01-21 14:00:00,0.45,0.9
12,2021-01-21 14:45:00,2021-01-21 15:15:00,0.49,1.28
13,2021-01-21 15:45:00,2021-01-21 16:15:00,0.42,1.13
14,2021-01-21 16:45:00,2021-01-21 16:45:00,0.12,0.11
15,2021-01-21 18:15:00,2021-01-21 18:45:00,0.53,1.42
16,2021-01-21 19:30:00,2021-01-21 19:45:00,0.36,0.73
17,2021-01-21 21:00:00,2021-01-21 21:15:00,0.34,0.88
18,2021-01-21 22:00:00,2021-01-21 22:15:00,0.39,0.98
19,2021-01-21 23:00:00,2021-01-21 23:15:00,0.32,0.85
20,2021-01-22 00:15:00,2021-01-22 00:30:00,0.39,1.0
21,2021-01-22 01:00:00,2021-01-22 01:45:00,0.9,8.75
22,2021-01-22 02:30:00,2021-01-22 03:00:00,0.55,1.44
23,2021-01-22 03:45:00,2021-01-22 04:15:00,0.65,1.75
24,2021-01-22 05:00:00,2021-01-22 05:15:00,0.48,1.27
25,2021-01-22 06:00:00,2021-01-22 06:30:00,0.44,1.19
26,2021-01-22 07:00:00,2021-01-22 07:15:00,0.45,1.23
27,2021-01-22 08:00:00,2021-01-22 08:30:00,0.47,1.28
28,2021-01-22 09:00:00,2021-01-22 09:15:00,0.49,1.19
29,2021-01-22 11:00:00,2021-01-22 11:15:00,0.43,1.14
30,2021-01-22 12:15:00,2021-01-22 12:30:00,0.39,1.01
31,2021-01-22 13:30:00,2021-01-22 13:45:00,0.49,0.82
32,2021-01-22 14:30:00,2021-01-22 15:00:00,0.53,1.36
33,2021-01-22 15:45:00,2021-01-22 16:15:00,0.56,1.54
34,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.38
35,2021-01-22 18:15:00,2021-01-22 19:45:00,1.53,3.08
36,2021-01-22 20:30:00,2021-01-22 20:45:00,0.37,0.97
37,2021-01-22 21:30:00,2021-01-22 21:45:00,0.45,1.23
38,2021-01-22 22:45:00,2021-01-22 23:00:00,0.4,1.05
39,2021-01-22 23:45:00,2021-01-23 02:15:00,2.58,10.09
40,2021-01-23 03:00:00,2021-01-23 03:30:00,0.7,1.88
41,2021-01-23 04:00:00,2021-01-23 05:00:00,0.95,2.59
42,2021-01-23 05:30:00,2021-01-23 06:15:00,0.85,2.31
43,2021-01-23 06:45:00,2021-01-23 07:45:00,1.05,2.89
44,2021-01-23 08:15:00,2021-01-23 09:00:00,0.75,2.04
45,2021-01-23 09:45:00,2021-01-23 10:00:00,0.49,1.37
46,2021-01-23 10:45:00,2021-01-23 11:00:00,0.44,1.22
47,2021-01-23 12:00:00,2021-01-23 12:30:00,0.52,1.36
48,2021-01-23 13:00:00,2021-01-23 13:15:00,0.38,1.03
49,2021-01-23 14:00:00,2021-01-23 14:45:00,0.78,2.11
50,2021-01-23 15:30:00,2021-01-23 16:30:00,1.05,2.9
51,2021-01-23 17:00:00,2021-01-23 17:45:00,0.82,2.22
52,2021-01-23 18:15:00,2021-01-23 18:45:00,0.54,1.46
53,2021-01-23 19:15:00,2021-01-23 19:45:00,0.45,1.23
54,2021-01-23 20:15:00,2021-01-23 20:45:00,0.51,1.36
55,2021-01-23 21:30:00,2021-01-23 22:00:00,0.44,1.21
56,2021-01-23 22:30:00,2021-01-23 23:00:00,0.48,1.26
57,2021-01-23 23:30:00,2021-01-24 00:00:00,0.46,1.21
58,2021-01-24 00:45:00,2021-01-24 02:15:00,1.44,10.1
59,2021-01-24 03:00:00,2021-01-24 04:15:00,1.24,3.2
60,2021-01-24 04:45:00,2021-01-24 05:45:00,1.11,3.06
61,2021-01-24 06:15:00,2021-01-24 06:45:00,0.72,1.98
62,2021-01-24 07:15:00,2021-01-24 08:15:00,1.1,2.99
63,2021-01-24 09:00:00,2021-01-24 09:30:00,0.55,1.55
64,2021-01-24 10:00:00,2021-01-24 10:45:00,0.82,2.23
65,2021-01-24 11:15:00,2021-01-24 12:15:00,0.92,2.53
66,2021-01-24 12:45:00,2021-01-24 13:30:00,0.75,2.07
67,2021-01-24 14:00:00,2021-01-24 14:45:00,0.63,1.75
68,2021-01-24 15:15:00,2021-01-24 16:45:00,1.55,4.34
69,2021-01-24 17:15:00,2021-01-24 18:45:00,1.66,4.61
70,2021-01-24 19:15:00,2021-01-24 20:00:00,0.76,2.05
71,2021-01-24 20:45:00,2021-01-24 21:30:00,0.71,1.93
72,2021-01-24 22:00:00,2021-01-24 22:30:00,0.58,1.58
73,2021-01-24 23:15:00,2021-01-25 00:00:00,0.75,2.01
74,2021-01-25 00:45:00,2021-01-25 02:45:00,1.88,13.99
75,2021-01-25 03:15:00,2021-01-25 03:30:00,0.48,1.32
76,2021-01-25 04:00:00,2021-01-25 05:00:00,0.86,2.34
77,2021-01-25 05:30:00,2021-01-25 06:15:00,0.99,2.67
78,2021-01-25 06:45:00,2021-01-25 08:00:00,1.19,3.22
79,2021-01-25 08:30:00,2021-01-25 09:15:00,0.8,2.16
80,2021-01-25 11:00:00,2021-01-25 12:00:00,1.08,2.84
81,2021-01-25 12:45:00,2021-01-25 13:15:00,0.68,1.85
82,2021-01-25 13:45:00,2021-01-25 14:45:00,0.99,2.65
83,2021-01-25 15:15:00,2021-01-25 16:15:00,0.92,2.52
84,2021-01-25 16:45:00,2021-01-25 16:45:00,0.12,0.35
85,2021-01-25 18:15:00,2021-01-25 19:45:00,1.6,4.22
86,2021-01-25 20:15:00,2021-01-25 21:15:00,1.02,2.69
87,2021-01-25 22:00:00,2021-01-25 22:45:00,0.82,2.16
88,2021-01-25 23:15:00,2021-01-26 00:15:00,1.08,2.87
89,2021-01-26 01:00:00,2021-01-26 01:45:00,0.78,8.25
90,2021-01-26 02:15:00,2021-01-26 03:15:00,0.89,2.38
91,2021-01-26 03:45:00,2021-01-26 06:15:00,2.69,6.58
92,2021-01-26 06:45:00,2021-01-26 08:15:00,1.52,4.21
93,2021-01-26 08:45:00,2021-01-26 09:45:00,0.96,2.61
94,2021-01-26 11:00:00,2021-01-26 11:45:00,0.9,2.41
95,2021-01-26 12:30:00,2021-01-26 13:00:00,0.69,1.85
96,2021-01-26 13:45:00,2021-01-26 14:15:00,0.49,1.31
97,2021-01-26 14:45:00,2021-01-26 16:45:00,2.12,4.77
98,2021-01-26 18:15:00,2021-01-26 19:45:00,1.69,4.52
99,2021-01-26 20:30:00,2021-01-26 21:15:00,0.95,2.54
100,2021-01-26 22:00:00,2021-01-27 00:00:00,2.11,5.74
101,2021-01-27 00:30:00,2021-01-27 02:00:00,1.65,13.66
102,2021-01-27 02:30:00,2021-01-27 04:30:00,2.11,5.82
103,2021-01-27 05:00:00,2021-01-27 06:30:00,1.49,4.15
104,2021-01-27 07:00:00,2021-01-27 08:00:00,1.03,2.78
105,2021-01-27 08:30:00,2021-01-27 09:15:00,0.85,2.3
106,2021-01-27 09:45:00,2021-01-27 09:45:00,0.12,0.11
107,2021-01-27 11:00:00,2021-01-27 12:00:00,1.17,3.12
108,2021-01-27 12:30:00,2021-01-27 13:00:00,0.58,1.59
109,2021-01-27 13:30:00,2021-01-27 14:15:00,0.79,2.11
110,2021-01-27 14:45:00,2021-01-27 15:45:00,0.92,2.52
111,2021-01-27 16:15:00,2021-01-27 16:45:00,0.57,1.56
112,2021-01-27 18:15:00,2021-01-27 19:15:00,1.19,3.21
113,2021-01-27 20:15:00,2021-01-27 20:30:00,0.45,1.09
114,2021-01-27 21:15:00,2021-01-27 21:45:00,0.61,1.5
115,2021-01-27 22:30:00,2021-01-27 23:00:00,0.53,1.39
116,2021-01-27 23:45:00,2021-01-28 00:15:00,0.48,1.3
117,2021-01-28 01:00:00,2021-01-28 01:30:00,0.58,6.16
118,2021-01-28 02:00:00,2021-01-28 02:15:00,0.48,1.09
119,2021-01-28 03:00:00,2021-01-28 04:30:00,1.48,3.08
120,2021-01-28 05:00:00,2021-01-28 05:30:00,0.67,1.72
121,2021-01-28 06:15:00,2021-01-28 06:45:00,0.58,1.6
122,2021-01-28 07:15:00,2021-01-28 07:45:00,0.51,1.41
123,2021-01-28 08:30:00,2021-01-28 08:45:00,0.42,1.12
124,2021-01-28 09:30:00,2021-01-28 09:45:00,0.42,1.01
125,2021-01-28 11:00:00,2021-01-28 11:30:00,0.5,1.38
126,2021-01-28 12:00:00,2021-01-28 12:15:00,0.39,1.06
127,2021-01-28 13:15:00,2021-01-28 13:45:00,0.51,1.4
128,2021-01-28 14:30:00,2021-01-28 15:00:00,0.39,1.03
129,2021-01-28 15:45:00,2021-01-28 16:00:00,0.42,1.0
130,2021-01-28 18:15:00,2021-01-28 18:45:00,0.51,1.37
131,2021-01-28 19:15:00,2021-01-28 19:45:00,0.58,1.55
132,2021-01-28 21:00:00,2021-01-28 21:15:00,0.48,0.89
133,2021-01-28 22:15:00,2021-01-28 22:30:00,0.46,0.98
134,2021-01-28 23:30:00,2021-01-28 23:45:00,0.39,0.96
135,2021-01-29 00:30:00,2021-01-29 02:00:00,1.63,11.17
136,2021-01-29 02:45:00,2021-01-29 03:00:00,0.38,1.02
137,2021-01-29 03:45:00,2021-01-29 04:15:00,0.5,1.37
138,2021-01-29 04:45:00,2021-01-29 05:15:00,0.42,1.12
139,2021-01-29 06:00:00,2021-01-29 06:30:00,0.52,1.43
140,2021-01-29 07:00:00,2021-01-29 07:15:00,0.49,1.18
141,2021-01-29 08:00:00,2021-01-29 08:30:00,0.48,1.32
142,2021-01-29 09:00:00,2021-01-29 09:15:00,0.49,1.09
