cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-11-04 17:45:00,2021-11-04 18:15:00,0.65,2.05
1,2021-11-04 18:45:00,2021-11-04 20:00:00,1.5,2.66
2,2021-11-04 20:30:00,2021-11-04 20:30:00,0.12,0.8
3,2021-11-04 21:00:00,2021-11-04 21:45:00,1.0,1.69
4,2021-11-04 22:15:00,2021-11-04 23:00:00,1.0,1.65
5,2021-11-04 23:30:00,2021-11-05 00:15:00,1.0,1.54
6,2021-11-05 00:45:00,2021-11-05 01:30:00,1.0,1.42
7,2021-11-05 02:00:00,2021-11-05 02:00:00,0.12,0.65
8,2021-11-05 02:30:00,2021-11-05 02:45:00,0.41,0.71
9,2021-11-05 03:15:00,2021-11-05 03:15:00,0.12,0.7
10,2021-11-05 03:45:00,2021-11-05 04:00:00,0.43,0.71
11,2021-11-05 04:30:00,2021-11-05 04:30:00,0.12,0.7
12,2021-11-05 05:00:00,2021-11-05 05:15:00,0.44,0.72
13,2021-11-05 05:45:00,2021-11-05 05:45:00,0.12,0.68
14,2021-11-05 06:15:00,2021-11-05 06:30:00,0.38,0.72
15,2021-11-05 07:00:00,2021-11-05 07:45:00,1.0,1.44
16,2021-11-05 08:15:00,2021-11-05 08:15:00,0.12,0.56
17,2021-11-05 08:45:00,2021-11-05 09:00:00,0.29,0.72
18,2021-11-05 09:30:00,2021-11-05 09:45:00,0.38,0.72
19,2021-11-05 11:00:00,2021-11-05 11:15:00,0.34,0.76
20,2021-11-05 11:45:00,2021-11-05 11:45:00,0.12,0.64
21,2021-11-05 12:30:00,2021-11-05 12:30:00,0.12,0.65
22,2021-11-05 13:15:00,2021-11-05 13:15:00,0.12,0.64
23,2021-11-05 14:00:00,2021-11-05 14:00:00,0.12,0.63
24,2021-11-05 14:45:00,2021-11-05 14:45:00,0.12,0.6
25,2021-11-05 15:30:00,2021-11-05 15:30:00,0.12,0.58
26,2021-11-05 16:00:00,2021-11-05 16:15:00,0.48,0.6
27,2021-11-05 17:45:00,2021-11-05 18:00:00,0.43,1.42
28,2021-11-05 18:45:00,2021-11-05 19:30:00,1.0,1.43
29,2021-11-05 20:00:00,2021-11-05 20:15:00,0.49,0.71
30,2021-11-05 20:45:00,2021-11-05 21:00:00,0.31,0.71
31,2021-11-05 21:30:00,2021-11-05 21:30:00,0.12,0.7
32,2021-11-05 22:00:00,2021-11-05 22:15:00,0.36,0.72
33,2021-11-05 22:45:00,2021-11-05 23:00:00,0.42,0.72
34,2021-11-05 23:30:00,2021-11-05 23:45:00,0.29,0.72
35,2021-11-06 00:15:00,2021-11-06 00:15:00,0.12,0.68
