cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-07-04 23:15:00,2021-07-04 23:15:00,0.12,0.6
1,2021-07-05 01:15:00,2021-07-05 01:15:00,0.12,0.39
2,2021-07-05 21:00:00,2021-07-05 21:00:00,0.12,1.27
3,2021-07-05 21:45:00,2021-07-05 22:00:00,0.49,0.59
4,2021-07-06 07:30:00,2021-07-06 07:30:00,0.12,0.53
5,2021-07-06 16:00:00,2021-07-06 16:15:00,0.45,1.45
6,2021-07-06 16:45:00,2021-07-06 16:45:00,0.12,0.5
7,2021-07-06 17:15:00,2021-07-06 17:15:00,0.12,0.44
8,2021-07-06 18:15:00,2021-07-06 18:15:00,0.12,0.43
9,2021-07-06 21:00:00,2021-07-06 22:15:00,1.45,5.61
10,2021-07-06 23:00:00,2021-07-06 23:15:00,0.49,0.56
11,2021-07-07 07:30:00,2021-07-07 07:30:00,0.12,0.66
12,2021-07-07 12:45:00,2021-07-07 12:45:00,0.12,0.59
13,2021-07-07 15:15:00,2021-07-07 15:15:00,0.12,0.45
14,2021-07-07 18:45:00,2021-07-07 19:45:00,1.25,5.39
15,2021-07-07 20:45:00,2021-07-07 20:45:00,0.12,0.47
16,2021-07-08 02:30:00,2021-07-08 02:45:00,0.5,0.52
17,2021-07-08 07:30:00,2021-07-08 07:30:00,0.12,0.56
18,2021-07-08 12:00:00,2021-07-08 12:00:00,0.12,0.58
19,2021-07-08 19:45:00,2021-07-08 19:45:00,0.12,0.46
20,2021-07-09 02:45:00,2021-07-09 02:45:00,0.12,0.58
21,2021-07-09 07:30:00,2021-07-09 07:30:00,0.12,0.68
22,2021-07-09 09:45:00,2021-07-09 10:00:00,0.41,0.52
23,2021-07-13 18:45:00,2021-07-13 18:45:00,0.12,0.39
24,2021-07-13 20:15:00,2021-07-13 20:15:00,0.12,0.42
25,2021-07-14 03:15:00,2021-07-14 03:30:00,0.45,1.61
26,2021-07-14 04:15:00,2021-07-14 04:30:00,0.3,0.89
27,2021-07-14 05:15:00,2021-07-14 05:30:00,0.47,0.8
28,2021-07-14 06:30:00,2021-07-14 06:30:00,0.12,0.92
29,2021-07-14 07:30:00,2021-07-14 07:30:00,0.12,1.0
30,2021-07-14 08:15:00,2021-07-14 08:15:00,0.12,0.22
