cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:15:00,2021-01-21 03:00:00,3.74,31.26
1,2021-01-21 04:30:00,2021-01-21 08:00:00,3.47,27.54
2,2021-01-21 09:15:00,2021-01-21 11:00:00,1.79,11.38
3,2021-01-21 12:15:00,2021-01-21 14:15:00,1.83,11.65
4,2021-01-21 15:00:00,2021-01-21 20:30:00,5.45,34.73
5,2021-01-21 21:15:00,2021-01-22 06:00:00,8.69,56.96
6,2021-01-22 07:15:00,2021-01-22 08:45:00,1.58,16.09
7,2021-01-22 11:00:00,2021-01-22 12:45:00,1.97,12.54
8,2021-01-22 14:00:00,2021-01-22 18:00:00,3.83,24.69
9,2021-01-22 19:00:00,2021-01-22 22:15:00,3.34,23.49
10,2021-01-22 23:15:00,2021-01-23 03:00:00,3.84,38.0
11,2021-01-23 04:00:00,2021-01-23 10:00:00,6.0,43.59
12,2021-01-23 11:15:00,2021-01-23 14:45:00,3.53,23.38
13,2021-01-23 15:30:00,2021-01-23 21:00:00,5.49,39.29
14,2021-01-23 22:15:00,2021-01-24 02:00:00,3.83,34.79
15,2021-01-24 02:45:00,2021-01-24 14:15:00,11.5,77.31
16,2021-01-24 15:15:00,2021-01-24 21:45:00,6.59,71.85
17,2021-01-24 22:45:00,2021-01-25 13:45:00,15.01,114.12
18,2021-01-25 14:45:00,2021-01-25 16:45:00,2.06,17.44
19,2021-01-25 17:30:00,2021-01-25 19:30:00,2.17,28.84
20,2021-01-25 20:45:00,2021-01-26 07:45:00,11.0,95.92
21,2021-01-26 09:00:00,2021-01-27 02:00:00,17.25,150.22
22,2021-01-27 03:00:00,2021-01-27 09:00:00,6.01,63.53
23,2021-01-27 10:00:00,2021-01-27 22:45:00,12.68,90.63
24,2021-01-27 23:15:00,2021-01-28 05:15:00,6.13,44.81
25,2021-01-28 06:30:00,2021-01-28 09:45:00,3.33,20.83
26,2021-01-28 11:00:00,2021-01-28 12:30:00,1.62,10.53
27,2021-01-28 14:00:00,2021-01-28 15:30:00,1.58,10.04
28,2021-01-28 17:00:00,2021-01-28 18:15:00,1.18,7.37
29,2021-01-28 19:30:00,2021-01-28 20:45:00,1.33,8.3
30,2021-01-28 22:15:00,2021-01-29 02:30:00,4.37,30.01
31,2021-01-29 03:45:00,2021-01-29 05:15:00,1.56,9.94
32,2021-01-29 06:30:00,2021-01-29 08:00:00,1.52,9.58
