cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-14 22:15:00,2022-07-15 00:00:00,1.63,4.33
1,2022-07-15 21:15:00,2022-07-15 21:45:00,0.48,0.84
2,2022-07-15 22:45:00,2022-07-16 00:30:00,1.94,5.74
3,2022-07-16 16:30:00,2022-07-16 16:45:00,0.47,0.64
4,2022-07-16 22:45:00,2022-07-17 00:00:00,1.5,3.92
5,2022-07-17 20:45:00,2022-07-17 21:00:00,0.45,0.85
6,2022-07-17 22:45:00,2022-07-17 23:45:00,1.08,3.24
7,2022-07-18 22:45:00,2022-07-19 00:00:00,1.43,4.28
8,2022-07-19 16:00:00,2022-07-19 16:15:00,0.47,0.53
9,2022-07-19 22:45:00,2022-07-20 00:15:00,1.6,4.72
10,2022-07-20 22:45:00,2022-07-21 00:15:00,1.66,4.42
11,2022-07-21 22:15:00,2022-07-21 23:45:00,1.54,3.96
12,2022-07-22 21:30:00,2022-07-22 21:45:00,0.46,0.51
13,2022-07-22 22:45:00,2022-07-23 00:45:00,2.11,6.26
14,2022-07-23 22:45:00,2022-07-23 23:30:00,0.92,2.7
15,2022-07-24 22:45:00,2022-07-25 00:15:00,1.58,4.69
16,2022-07-25 19:00:00,2022-07-25 19:15:00,0.41,0.51
17,2022-07-25 22:45:00,2022-07-26 00:00:00,1.4,4.19
18,2022-07-26 22:30:00,2022-07-26 23:45:00,1.33,3.78
19,2022-07-27 22:45:00,2022-07-28 00:00:00,1.38,4.1
20,2022-07-28 20:30:00,2022-07-28 21:00:00,0.45,0.74
21,2022-07-28 22:45:00,2022-07-28 23:45:00,1.08,3.23
22,2022-07-29 19:30:00,2022-07-29 19:45:00,0.47,0.72
23,2022-07-29 22:45:00,2022-07-30 00:30:00,1.95,5.79
24,2022-07-30 22:45:00,2022-07-30 23:30:00,0.84,2.51
25,2022-07-31 21:00:00,2022-07-31 21:30:00,0.51,0.86
26,2022-07-31 22:45:00,2022-08-01 00:00:00,1.44,4.27
27,2022-08-01 17:30:00,2022-08-01 17:30:00,0.12,0.4
28,2022-08-01 22:00:00,2022-08-01 23:45:00,1.64,4.13
29,2022-08-02 22:45:00,2022-08-03 00:15:00,1.6,4.33
30,2022-08-03 22:15:00,2022-08-03 23:45:00,1.59,3.91
31,2022-08-04 16:00:00,2022-08-04 16:15:00,0.44,0.67
32,2022-08-04 22:15:00,2022-08-04 23:45:00,1.69,4.22
33,2022-08-05 22:45:00,2022-08-06 00:45:00,2.09,5.78
34,2022-08-06 22:45:00,2022-08-06 23:30:00,0.79,2.36
35,2022-08-07 22:45:00,2022-08-07 23:30:00,0.94,2.78
36,2022-08-08 22:45:00,2022-08-08 23:30:00,0.86,2.57
37,2022-08-09 22:45:00,2022-08-09 23:30:00,0.86,2.56
38,2022-08-10 22:45:00,2022-08-10 23:30:00,0.86,2.53
39,2022-08-11 22:45:00,2022-08-11 23:30:00,0.87,2.6
40,2022-08-12 22:45:00,2022-08-13 00:15:00,1.6,4.72
41,2022-08-14 00:45:00,2022-08-14 01:30:00,0.65,1.95
42,2022-08-14 21:45:00,2022-08-14 22:15:00,0.49,0.84
43,2022-08-14 22:45:00,2022-08-14 23:30:00,1.0,2.96
44,2022-08-16 07:15:00,2022-08-16 07:30:00,0.42,0.83
45,2022-08-16 20:15:00,2022-08-16 20:45:00,0.47,0.78
46,2022-08-16 22:45:00,2022-08-16 23:45:00,1.17,3.51
47,2022-08-17 19:45:00,2022-08-17 20:00:00,0.45,0.75
48,2022-08-17 22:45:00,2022-08-18 00:00:00,1.48,4.42
