cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-22 23:30:00,0.75,1.5
1,2021-01-23 00:00:00,2021-01-23 00:30:00,0.5,1.76
2,2021-01-23 01:00:00,2021-01-23 01:45:00,1.0,2.82
3,2021-01-23 02:15:00,2021-01-23 03:00:00,0.94,2.06
4,2021-01-23 03:45:00,2021-01-23 04:15:00,0.56,1.97
5,2021-01-23 04:45:00,2021-01-23 06:15:00,1.75,3.73
6,2021-01-23 06:45:00,2021-01-23 07:00:00,0.48,1.69
7,2021-01-23 07:30:00,2021-01-23 07:30:00,0.12,0.87
8,2021-01-23 08:00:00,2021-01-23 08:15:00,0.43,1.01
9,2021-01-23 08:45:00,2021-01-23 09:00:00,0.38,1.39
10,2021-01-23 09:30:00,2021-01-23 09:30:00,0.12,0.85
11,2021-01-23 10:00:00,2021-01-23 10:15:00,0.4,1.4
12,2021-01-23 10:45:00,2021-01-23 12:15:00,1.75,3.11
13,2021-01-23 12:45:00,2021-01-23 13:00:00,0.43,1.4
14,2021-01-23 13:30:00,2021-01-23 14:15:00,1.0,1.81
15,2021-01-23 14:45:00,2021-01-23 16:15:00,1.75,3.47
16,2021-01-23 16:45:00,2021-01-23 17:00:00,0.43,1.7
17,2021-01-23 17:30:00,2021-01-23 17:30:00,0.12,0.9
18,2021-01-23 18:00:00,2021-01-23 18:15:00,0.48,1.0
19,2021-01-23 18:45:00,2021-01-23 19:00:00,0.33,1.34
20,2021-01-23 19:30:00,2021-01-23 19:30:00,0.12,0.93
21,2021-01-23 20:00:00,2021-01-23 22:15:00,2.37,5.15
22,2021-01-23 22:45:00,2021-01-23 23:00:00,0.47,1.41
23,2021-01-23 23:30:00,2021-01-23 23:30:00,0.12,0.89
24,2021-01-24 00:15:00,2021-01-24 01:00:00,0.89,2.18
25,2021-01-24 01:30:00,2021-01-24 01:45:00,0.33,1.37
26,2021-01-24 02:15:00,2021-01-24 02:15:00,0.12,0.89
27,2021-01-24 03:15:00,2021-01-24 04:15:00,1.1,2.99
28,2021-01-24 04:45:00,2021-01-24 06:15:00,1.56,4.05
29,2021-01-24 07:00:00,2021-01-24 07:30:00,0.59,2.28
30,2021-01-24 08:00:00,2021-01-24 08:15:00,0.39,1.15
31,2021-01-24 08:45:00,2021-01-24 09:00:00,0.36,1.0
32,2021-01-24 09:45:00,2021-01-24 11:00:00,1.27,3.42
33,2021-01-24 11:30:00,2021-01-24 11:45:00,0.28,1.12
34,2021-01-24 12:30:00,2021-01-24 13:00:00,0.39,1.58
35,2021-01-24 13:30:00,2021-01-24 13:30:00,0.12,0.78
36,2021-01-24 14:00:00,2021-01-24 14:15:00,0.45,1.59
37,2021-01-24 14:45:00,2021-01-24 15:00:00,0.47,0.74
38,2021-01-24 15:30:00,2021-01-24 15:45:00,0.31,1.23
39,2021-01-24 16:15:00,2021-01-24 18:00:00,1.84,5.02
40,2021-01-24 18:30:00,2021-01-24 18:45:00,0.46,1.71
41,2021-01-24 19:45:00,2021-01-24 22:30:00,2.68,7.47
42,2021-01-24 23:15:00,2021-01-25 00:15:00,1.08,3.39
43,2021-01-25 00:45:00,2021-01-25 01:00:00,0.46,1.2
44,2021-01-25 01:30:00,2021-01-25 02:15:00,0.99,2.66
45,2021-01-25 02:45:00,2021-01-25 03:00:00,0.46,1.23
46,2021-01-25 03:45:00,2021-01-25 05:15:00,1.57,3.88
47,2021-01-25 06:00:00,2021-01-25 07:00:00,1.09,3.2
48,2021-01-25 07:30:00,2021-01-25 07:45:00,0.38,1.25
49,2021-01-25 08:30:00,2021-01-25 09:00:00,0.55,1.95
50,2021-01-25 09:30:00,2021-01-25 09:45:00,0.42,1.39
51,2021-01-25 11:00:00,2021-01-25 12:00:00,1.15,3.17
52,2021-01-25 12:30:00,2021-01-25 12:45:00,0.34,1.2
53,2021-01-25 13:15:00,2021-01-25 13:45:00,0.55,2.17
54,2021-01-25 14:15:00,2021-01-25 15:00:00,1.0,2.49
55,2021-01-25 16:00:00,2021-01-25 16:45:00,0.8,2.97
56,2021-01-25 18:15:00,2021-01-25 20:00:00,1.92,5.75
57,2021-01-25 21:00:00,2021-01-25 21:45:00,0.92,3.21
58,2021-01-25 22:15:00,2021-01-25 23:00:00,1.0,2.82
59,2021-01-26 00:00:00,2021-01-26 00:45:00,0.76,2.8
60,2021-01-26 01:15:00,2021-01-26 02:15:00,1.03,3.07
61,2021-01-26 03:00:00,2021-01-26 04:45:00,1.93,5.91
62,2021-01-26 05:15:00,2021-01-26 07:45:00,2.75,7.45
63,2021-01-26 08:15:00,2021-01-26 08:45:00,0.64,2.26
64,2021-01-26 09:15:00,2021-01-26 09:45:00,0.75,1.61
65,2021-01-26 11:00:00,2021-01-26 12:00:00,1.04,3.08
66,2021-01-26 12:30:00,2021-01-26 12:45:00,0.49,1.18
67,2021-01-26 13:30:00,2021-01-26 13:45:00,0.36,1.4
68,2021-01-26 14:15:00,2021-01-26 15:00:00,1.0,2.38
69,2021-01-26 15:45:00,2021-01-26 16:45:00,1.02,2.47
70,2021-01-26 18:15:00,2021-01-26 20:30:00,2.44,7.92
71,2021-01-26 21:30:00,2021-01-27 03:30:00,6.19,18.02
72,2021-01-27 04:30:00,2021-01-27 05:00:00,0.63,2.54
73,2021-01-27 05:30:00,2021-01-27 05:45:00,0.49,2.03
74,2021-01-27 06:15:00,2021-01-27 07:15:00,1.05,2.99
75,2021-01-27 08:15:00,2021-01-27 09:45:00,1.7,4.34
76,2021-01-27 11:00:00,2021-01-27 11:30:00,0.58,2.21
77,2021-01-27 12:00:00,2021-01-27 12:45:00,1.0,2.36
78,2021-01-27 13:30:00,2021-01-27 14:30:00,1.04,2.75
79,2021-01-27 15:00:00,2021-01-27 15:00:00,0.12,0.99
80,2021-01-27 15:45:00,2021-01-27 16:45:00,1.11,2.84
81,2021-01-27 18:15:00,2021-01-27 18:30:00,0.42,1.74
82,2021-01-27 19:00:00,2021-01-27 19:00:00,0.12,0.96
83,2021-01-27 19:45:00,2021-01-27 20:00:00,0.35,1.45
84,2021-01-27 20:30:00,2021-01-27 20:45:00,0.41,1.07
85,2021-01-27 21:15:00,2021-01-27 21:30:00,0.37,1.39
86,2021-01-27 22:00:00,2021-01-27 22:00:00,0.12,0.93
87,2021-01-27 22:45:00,2021-01-27 23:30:00,0.95,2.23
88,2021-01-28 00:00:00,2021-01-28 00:45:00,0.8,2.14
89,2021-01-28 02:00:00,2021-01-28 02:45:00,0.95,2.38
90,2021-01-28 03:15:00,2021-01-28 03:30:00,0.3,1.23
91,2021-01-28 04:00:00,2021-01-28 04:00:00,0.12,0.84
92,2021-01-28 04:45:00,2021-01-28 05:30:00,0.89,2.09
93,2021-01-28 06:30:00,2021-01-28 06:45:00,0.35,1.31
94,2021-01-28 07:15:00,2021-01-28 07:30:00,0.42,1.34
95,2021-01-28 08:00:00,2021-01-28 08:00:00,0.12,0.8
96,2021-01-28 09:15:00,2021-01-28 09:30:00,0.35,1.11
97,2021-01-28 11:00:00,2021-01-28 11:45:00,1.0,1.92
98,2021-01-28 12:15:00,2021-01-28 12:15:00,0.12,0.7
99,2021-01-28 12:45:00,2021-01-28 12:45:00,0.12,0.67
100,2021-01-28 13:15:00,2021-01-28 14:00:00,1.0,1.42
101,2021-01-28 14:30:00,2021-01-28 14:30:00,0.12,0.62
102,2021-01-28 15:00:00,2021-01-28 15:00:00,0.12,0.63
103,2021-01-28 15:30:00,2021-01-28 15:45:00,0.41,0.69
104,2021-01-28 16:15:00,2021-01-28 16:15:00,0.12,0.68
105,2021-01-28 16:45:00,2021-01-28 16:45:00,0.12,0.63
106,2021-01-28 18:15:00,2021-01-28 18:15:00,0.12,0.83
107,2021-01-28 18:45:00,2021-01-28 18:45:00,0.12,0.7
108,2021-01-28 19:15:00,2021-01-28 20:30:00,1.5,2.07
109,2021-01-28 21:00:00,2021-01-28 21:00:00,0.12,0.65
110,2021-01-28 21:30:00,2021-01-28 21:45:00,0.4,0.68
111,2021-01-28 22:15:00,2021-01-28 22:15:00,0.12,0.64
112,2021-01-28 22:45:00,2021-01-28 22:45:00,0.12,0.65
113,2021-01-28 23:15:00,2021-01-28 23:30:00,0.41,0.67
114,2021-01-29 00:00:00,2021-01-29 00:00:00,0.12,0.7
115,2021-01-29 00:30:00,2021-01-29 00:30:00,0.12,0.72
116,2021-01-29 01:00:00,2021-01-29 01:45:00,1.0,1.45
117,2021-01-29 03:00:00,2021-01-29 03:15:00,0.37,0.93
118,2021-01-29 03:45:00,2021-01-29 03:45:00,0.12,0.74
119,2021-01-29 04:15:00,2021-01-29 04:30:00,0.37,0.79
120,2021-01-29 05:00:00,2021-01-29 05:00:00,0.12,0.7
121,2021-01-29 05:30:00,2021-01-29 06:15:00,0.94,1.31
122,2021-01-29 06:45:00,2021-01-29 06:45:00,0.12,0.74
123,2021-01-29 07:15:00,2021-01-29 08:30:00,1.5,2.22
124,2021-01-29 09:00:00,2021-01-29 09:00:00,0.12,0.75
125,2021-01-29 09:30:00,2021-01-29 09:45:00,0.46,0.72
126,2021-01-29 11:00:00,2021-01-29 11:00:00,0.12,0.88
127,2021-01-29 11:30:00,2021-01-29 12:15:00,0.82,1.52
128,2021-01-29 12:45:00,2021-01-29 12:45:00,0.12,0.65
129,2021-01-29 13:15:00,2021-01-29 13:15:00,0.12,0.74
130,2021-01-29 13:45:00,2021-01-29 13:45:00,0.12,0.71
131,2021-01-29 14:15:00,2021-01-29 14:30:00,0.47,0.72
132,2021-01-29 15:00:00,2021-01-29 15:00:00,0.12,0.74
133,2021-01-29 15:30:00,2021-01-29 15:30:00,0.12,0.71
134,2021-01-29 16:00:00,2021-01-29 16:00:00,0.12,0.65
135,2021-01-29 16:45:00,2021-01-29 16:45:00,0.12,0.69
136,2021-01-29 18:15:00,2021-01-29 20:15:00,2.12,4.9
137,2021-01-29 21:15:00,2021-01-29 21:30:00,0.31,1.14
138,2021-01-29 22:00:00,2021-01-29 23:15:00,1.5,2.56
139,2021-01-29 23:45:00,2021-01-29 23:45:00,0.12,0.82
140,2021-01-30 00:15:00,2021-01-30 01:30:00,1.5,2.41
141,2021-01-30 02:00:00,2021-01-30 02:45:00,1.0,1.89
142,2021-01-30 03:15:00,2021-01-30 03:15:00,0.12,0.69
143,2021-01-30 04:30:00,2021-01-30 05:15:00,1.0,2.36
144,2021-01-30 05:45:00,2021-01-30 05:45:00,0.12,0.82
145,2021-01-30 06:15:00,2021-01-30 06:30:00,0.36,1.16
146,2021-01-30 07:00:00,2021-01-30 07:15:00,0.35,0.87
147,2021-01-30 08:15:00,2021-01-30 08:30:00,0.3,1.21
148,2021-01-30 09:00:00,2021-01-30 09:15:00,0.38,1.34
149,2021-01-30 09:45:00,2021-01-30 09:45:00,0.12,0.76
150,2021-01-30 11:15:00,2021-01-30 11:45:00,0.75,1.79
151,2021-01-30 12:30:00,2021-01-30 12:30:00,0.12,0.97
152,2021-01-30 13:00:00,2021-01-30 13:15:00,0.45,0.78
153,2021-01-30 13:45:00,2021-01-30 14:00:00,0.46,1.06
154,2021-01-30 14:30:00,2021-01-30 14:30:00,0.12,0.73
155,2021-01-30 15:45:00,2021-01-30 16:00:00,0.42,1.21
156,2021-01-30 16:30:00,2021-01-30 16:30:00,0.12,0.77
157,2021-01-30 17:00:00,2021-01-30 17:15:00,0.43,1.13
158,2021-01-30 17:45:00,2021-01-30 17:45:00,0.12,0.82
159,2021-01-30 19:15:00,2021-01-30 19:30:00,0.33,1.18
160,2021-01-30 20:00:00,2021-01-30 20:15:00,0.39,1.44
161,2021-01-30 20:45:00,2021-01-30 21:00:00,0.29,0.8
162,2021-01-30 21:30:00,2021-01-30 21:30:00,0.12,0.97
163,2021-01-30 22:00:00,2021-01-30 22:15:00,0.5,0.85
164,2021-01-30 22:45:00,2021-01-30 23:30:00,1.0,1.89
165,2021-01-31 00:30:00,2021-01-31 01:15:00,1.0,1.98
166,2021-01-31 02:15:00,2021-01-31 03:15:00,1.05,2.64
167,2021-01-31 03:45:00,2021-01-31 04:00:00,0.3,0.85
168,2021-01-31 05:00:00,2021-01-31 05:15:00,0.5,1.25
169,2021-01-31 05:45:00,2021-01-31 06:00:00,0.47,1.59
170,2021-01-31 06:30:00,2021-01-31 06:30:00,0.12,0.82
171,2021-01-31 07:00:00,2021-01-31 08:00:00,0.86,2.04
172,2021-01-31 09:30:00,2021-01-31 10:15:00,0.84,1.99
173,2021-01-31 11:00:00,2021-01-31 11:15:00,0.5,1.01
174,2021-01-31 11:45:00,2021-01-31 11:45:00,0.12,0.74
175,2021-01-31 13:15:00,2021-01-31 14:00:00,1.0,1.61
176,2021-01-31 14:45:00,2021-01-31 15:00:00,0.37,0.99
177,2021-01-31 15:30:00,2021-01-31 15:30:00,0.12,0.77
178,2021-01-31 16:45:00,2021-01-31 17:00:00,0.38,1.2
179,2021-01-31 17:30:00,2021-01-31 18:15:00,1.0,2.28
180,2021-01-31 18:45:00,2021-01-31 19:00:00,0.29,1.13
181,2021-01-31 19:30:00,2021-01-31 19:30:00,0.12,0.8
182,2021-01-31 20:30:00,2021-01-31 22:00:00,1.6,3.54
183,2021-01-31 22:30:00,2021-01-31 22:45:00,0.3,1.17
184,2021-01-31 23:15:00,2021-01-31 23:15:00,0.12,0.8
185,2021-02-01 00:00:00,2021-02-01 00:15:00,0.43,1.22
186,2021-02-01 00:45:00,2021-02-01 01:00:00,0.43,1.56
187,2021-02-01 01:30:00,2021-02-01 01:30:00,0.12,0.78
188,2021-02-01 02:15:00,2021-02-01 03:00:00,0.96,1.92
189,2021-02-01 03:45:00,2021-02-01 05:15:00,1.75,3.51
190,2021-02-01 06:30:00,2021-02-01 08:00:00,1.75,3.48
191,2021-02-01 08:45:00,2021-02-01 08:45:00,0.12,0.96
192,2021-02-01 09:15:00,2021-02-01 09:30:00,0.29,0.75
193,2021-02-01 11:00:00,2021-02-01 11:00:00,0.12,0.84
194,2021-02-01 11:30:00,2021-02-01 12:15:00,1.0,1.48
195,2021-02-01 12:45:00,2021-02-01 12:45:00,0.12,0.73
196,2021-02-01 13:15:00,2021-02-01 13:15:00,0.12,0.75
197,2021-02-01 13:45:00,2021-02-01 14:00:00,0.43,0.77
198,2021-02-01 14:30:00,2021-02-01 14:30:00,0.12,0.74
199,2021-02-01 15:00:00,2021-02-01 15:45:00,0.96,1.43
200,2021-02-01 16:15:00,2021-02-01 16:15:00,0.12,0.63
201,2021-02-01 16:45:00,2021-02-01 16:45:00,0.12,0.59
202,2021-02-01 18:15:00,2021-02-01 19:00:00,1.0,2.06
203,2021-02-01 19:30:00,2021-02-01 19:30:00,0.12,0.8
204,2021-02-01 20:00:00,2021-02-01 21:15:00,1.5,2.18
205,2021-02-01 21:45:00,2021-02-01 23:00:00,1.5,2.18
206,2021-02-01 23:30:00,2021-02-01 23:30:00,0.12,0.75
207,2021-02-02 00:00:00,2021-02-02 00:15:00,0.32,0.74
208,2021-02-02 00:45:00,2021-02-02 00:45:00,0.12,0.73
209,2021-02-02 01:15:00,2021-02-02 01:15:00,0.12,0.69
210,2021-02-02 01:45:00,2021-02-02 02:00:00,0.46,0.69
211,2021-02-02 02:30:00,2021-02-02 02:30:00,0.12,0.65
212,2021-02-02 03:00:00,2021-02-02 03:00:00,0.12,0.68
213,2021-02-02 03:30:00,2021-02-02 03:30:00,0.12,0.64
214,2021-02-02 04:15:00,2021-02-02 04:15:00,0.12,0.63
215,2021-02-02 04:45:00,2021-02-02 04:45:00,0.12,0.72
216,2021-02-02 06:00:00,2021-02-02 06:45:00,0.89,1.8
217,2021-02-02 07:45:00,2021-02-02 08:00:00,0.46,1.02
218,2021-02-02 08:30:00,2021-02-02 08:30:00,0.12,0.75
219,2021-02-02 11:00:00,2021-02-02 11:45:00,0.88,1.82
220,2021-02-02 12:15:00,2021-02-02 12:30:00,0.31,0.75
