cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-18 23:45:00,2021-01-19 00:45:00,0.99,2.69
1,2021-01-19 02:00:00,2021-01-19 02:30:00,0.53,1.57
2,2021-01-19 03:00:00,2021-01-19 04:15:00,1.14,3.26
3,2021-01-19 04:45:00,2021-01-19 06:45:00,1.94,6.54
4,2021-01-19 07:15:00,2021-01-19 08:45:00,1.42,4.61
5,2021-01-19 11:00:00,2021-01-19 12:00:00,0.94,3.97
6,2021-01-19 13:30:00,2021-01-19 14:15:00,0.85,2.52
7,2021-01-19 15:30:00,2021-01-19 16:30:00,0.98,2.74
8,2021-01-19 18:15:00,2021-01-19 19:15:00,0.95,3.88
9,2021-01-19 21:30:00,2021-01-19 22:15:00,0.83,2.06
10,2021-01-19 23:30:00,2021-01-20 01:00:00,1.68,4.34
11,2021-01-20 02:00:00,2021-01-20 03:45:00,1.87,5.02
12,2021-01-20 04:30:00,2021-01-20 06:00:00,1.53,6.36
13,2021-01-20 06:30:00,2021-01-20 07:45:00,1.22,5.6
14,2021-01-20 08:45:00,2021-01-20 09:45:00,0.97,2.95
15,2021-01-20 11:00:00,2021-01-20 12:00:00,0.92,2.41
16,2021-01-20 13:30:00,2021-01-20 14:15:00,0.8,2.09
17,2021-01-20 15:15:00,2021-01-20 16:30:00,1.18,2.99
18,2021-01-20 18:15:00,2021-01-20 19:00:00,0.71,3.84
19,2021-01-20 19:30:00,2021-01-20 20:30:00,0.94,4.49
20,2021-01-20 22:00:00,2021-01-20 23:30:00,1.65,4.31
21,2021-01-21 00:30:00,2021-01-21 02:00:00,1.53,4.07
22,2021-01-21 03:15:00,2021-01-21 06:15:00,3.09,7.92
23,2021-01-21 07:15:00,2021-01-21 08:15:00,1.02,3.88
24,2021-01-21 09:45:00,2021-01-21 09:45:00,0.12,0.25
25,2021-01-21 11:00:00,2021-01-21 11:45:00,0.73,2.12
26,2021-01-21 13:30:00,2021-01-21 14:15:00,0.74,1.76
27,2021-01-21 15:45:00,2021-01-21 16:30:00,0.74,1.8
28,2021-01-21 18:15:00,2021-01-21 19:15:00,0.93,3.0
29,2021-01-21 21:45:00,2021-01-21 22:30:00,0.77,1.83
30,2021-01-22 00:45:00,2021-01-22 01:30:00,0.68,1.34
31,2021-01-22 03:30:00,2021-01-22 04:15:00,0.72,1.56
32,2021-01-22 05:00:00,2021-01-22 06:00:00,0.89,2.38
33,2021-01-22 07:15:00,2021-01-22 08:00:00,0.75,1.95
34,2021-01-22 09:45:00,2021-01-22 09:45:00,0.12,0.42
35,2021-01-22 11:00:00,2021-01-22 11:45:00,0.74,2.25
36,2021-01-22 13:15:00,2021-01-22 14:00:00,0.78,1.94
37,2021-01-22 15:15:00,2021-01-22 16:15:00,0.95,2.67
38,2021-01-22 18:15:00,2021-01-22 19:15:00,0.97,4.48
39,2021-01-22 22:00:00,2021-01-22 22:45:00,0.74,1.53
40,2021-01-23 00:15:00,2021-01-23 01:30:00,1.3,2.73
41,2021-01-23 03:00:00,2021-01-23 03:45:00,0.82,2.09
42,2021-01-23 04:45:00,2021-01-23 06:15:00,1.49,5.51
43,2021-01-23 07:15:00,2021-01-23 08:15:00,1.05,3.38
44,2021-01-23 09:30:00,2021-01-23 10:45:00,1.38,3.47
45,2021-01-23 12:00:00,2021-01-23 12:45:00,0.82,2.37
46,2021-01-23 14:00:00,2021-01-23 15:00:00,0.99,2.67
47,2021-01-23 16:00:00,2021-01-23 17:00:00,1.04,3.32
48,2021-01-23 18:00:00,2021-01-23 19:15:00,1.19,3.31
49,2021-01-23 20:15:00,2021-01-23 20:15:00,0.12,0.42
50,2021-01-23 22:00:00,2021-01-23 23:00:00,1.18,2.61
51,2021-01-24 00:45:00,2021-01-24 01:30:00,0.77,1.9
52,2021-01-24 03:00:00,2021-01-24 04:15:00,1.31,2.66
