cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-10 01:15:00,2022-07-10 01:30:00,0.43,1.78
1,2022-07-10 04:00:00,2022-07-10 04:00:00,0.12,0.52
2,2022-07-10 06:00:00,2022-07-10 06:15:00,0.31,0.58
3,2022-07-10 12:00:00,2022-07-10 12:15:00,0.46,1.76
4,2022-07-10 21:30:00,2022-07-10 21:45:00,0.5,1.33
5,2022-07-10 23:30:00,2022-07-10 23:30:00,0.12,0.44
6,2022-07-11 01:00:00,2022-07-11 01:00:00,0.12,0.56
7,2022-07-11 02:00:00,2022-07-11 02:00:00,0.12,0.62
8,2022-07-11 03:00:00,2022-07-11 03:15:00,0.31,0.65
9,2022-07-11 04:00:00,2022-07-11 04:00:00,0.12,0.57
10,2022-07-11 05:00:00,2022-07-11 05:00:00,0.12,0.58
11,2022-07-11 12:00:00,2022-07-11 12:15:00,0.45,2.04
12,2022-07-11 22:00:00,2022-07-11 22:15:00,0.29,1.5
13,2022-07-12 01:30:00,2022-07-12 01:30:00,0.12,0.48
14,2022-07-12 03:00:00,2022-07-12 03:15:00,0.45,0.56
15,2022-07-12 04:30:00,2022-07-12 04:45:00,0.34,0.57
16,2022-07-12 06:00:00,2022-07-12 06:00:00,0.12,0.47
17,2022-07-12 09:45:00,2022-07-12 10:00:00,0.35,1.76
18,2022-07-12 20:00:00,2022-07-12 20:15:00,0.43,1.55
19,2022-07-13 02:15:00,2022-07-13 02:15:00,0.12,0.51
20,2022-07-13 04:30:00,2022-07-13 04:45:00,0.47,0.57
21,2022-07-13 07:15:00,2022-07-13 07:30:00,0.39,1.68
22,2022-07-13 17:45:00,2022-07-13 17:45:00,0.12,0.54
23,2022-07-13 19:15:00,2022-07-13 19:15:00,0.12,1.04
24,2022-07-14 04:30:00,2022-07-14 04:30:00,0.12,1.31
25,2022-07-14 13:15:00,2022-07-14 13:30:00,0.37,1.66
26,2022-07-14 23:45:00,2022-07-15 00:00:00,0.33,1.38
27,2022-07-15 08:15:00,2022-07-15 08:30:00,0.42,1.67
28,2022-07-15 17:00:00,2022-07-15 17:15:00,0.33,1.71
29,2022-07-16 02:45:00,2022-07-16 02:45:00,0.12,1.28
30,2022-07-16 05:15:00,2022-07-16 05:15:00,0.12,0.47
31,2022-07-16 12:00:00,2022-07-16 12:15:00,0.38,1.46
32,2022-07-16 19:45:00,2022-07-16 20:00:00,0.28,1.48
33,2022-07-17 04:00:00,2022-07-17 04:30:00,0.36,1.87
34,2022-07-17 13:15:00,2022-07-17 13:30:00,0.35,1.35
35,2022-07-17 20:30:00,2022-07-17 20:45:00,0.45,1.64
36,2022-07-18 05:00:00,2022-07-18 05:15:00,0.36,1.85
37,2022-07-18 10:00:00,2022-07-18 10:30:00,0.42,2.17
38,2022-07-18 20:30:00,2022-07-18 20:45:00,0.38,1.45
39,2022-07-19 06:00:00,2022-07-19 06:00:00,0.12,1.3
40,2022-07-19 16:30:00,2022-07-19 16:45:00,0.48,1.36
41,2022-07-20 01:00:00,2022-07-20 01:15:00,0.32,1.56
42,2022-07-20 10:45:00,2022-07-20 10:45:00,0.12,1.22
43,2022-07-20 21:45:00,2022-07-20 22:00:00,0.3,1.42
44,2022-07-21 05:45:00,2022-07-21 06:00:00,0.34,1.58
45,2022-07-21 16:30:00,2022-07-21 16:45:00,0.39,1.38
46,2022-07-22 01:45:00,2022-07-22 02:00:00,0.44,1.45
47,2022-07-22 09:00:00,2022-07-22 09:15:00,0.37,1.5
48,2022-07-22 19:45:00,2022-07-22 20:00:00,0.29,1.53
49,2022-07-23 05:30:00,2022-07-23 05:45:00,0.34,1.24
50,2022-07-23 15:30:00,2022-07-23 15:45:00,0.41,1.2
51,2022-07-24 01:30:00,2022-07-24 01:45:00,0.37,1.21
52,2022-07-24 11:30:00,2022-07-24 11:45:00,0.33,1.21
53,2022-07-24 21:00:00,2022-07-24 21:00:00,0.12,1.24
54,2022-07-25 05:45:00,2022-07-25 06:00:00,0.33,1.47
55,2022-07-25 15:30:00,2022-07-25 15:45:00,0.39,1.5
56,2022-07-26 01:45:00,2022-07-26 01:45:00,0.12,1.26
57,2022-07-26 09:00:00,2022-07-26 09:15:00,0.36,1.48
58,2022-07-26 19:15:00,2022-07-26 19:30:00,0.33,1.59
59,2022-07-27 02:45:00,2022-07-27 03:00:00,0.43,1.68
60,2022-07-27 03:45:00,2022-07-27 03:45:00,0.12,0.47
61,2022-07-27 14:30:00,2022-07-27 14:45:00,0.46,1.59
62,2022-07-27 23:00:00,2022-07-27 23:15:00,0.32,1.7
63,2022-07-28 04:45:00,2022-07-28 05:00:00,0.41,0.52
64,2022-07-28 09:00:00,2022-07-28 09:15:00,0.39,1.98
65,2022-07-28 20:15:00,2022-07-28 20:30:00,0.45,1.44
66,2022-07-29 08:15:00,2022-07-29 08:30:00,0.29,1.42
