cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-07 05:45:00,2022-06-07 05:45:00,0.12,0.64
1,2022-06-07 12:00:00,2022-06-07 12:15:00,0.29,0.76
2,2022-06-07 14:45:00,2022-06-07 14:45:00,0.12,0.72
3,2022-06-07 16:00:00,2022-06-07 16:00:00,0.12,0.42
4,2022-06-07 20:00:00,2022-06-07 20:15:00,0.43,0.75
5,2022-06-07 20:45:00,2022-06-07 20:45:00,0.12,0.49
6,2022-06-07 22:30:00,2022-06-07 22:30:00,0.12,0.63
7,2022-06-08 06:45:00,2022-06-08 07:30:00,0.66,1.89
8,2022-06-08 12:15:00,2022-06-08 12:30:00,0.46,0.81
9,2022-06-08 17:30:00,2022-06-08 17:45:00,0.3,0.83
10,2022-06-08 19:15:00,2022-06-08 19:30:00,0.44,0.73
11,2022-06-08 20:00:00,2022-06-08 20:30:00,0.75,1.09
12,2022-06-08 21:45:00,2022-06-08 21:45:00,0.12,0.45
13,2022-06-09 05:45:00,2022-06-09 06:00:00,0.49,1.33
14,2022-06-09 10:30:00,2022-06-09 10:45:00,0.42,0.81
15,2022-06-09 17:15:00,2022-06-09 17:45:00,0.64,1.89
16,2022-06-09 19:30:00,2022-06-09 19:45:00,0.33,0.88
17,2022-06-09 22:30:00,2022-06-09 22:45:00,0.33,1.02
18,2022-06-10 04:00:00,2022-06-10 04:30:00,0.58,1.73
19,2022-06-10 06:00:00,2022-06-10 06:45:00,0.77,2.08
20,2022-06-10 10:00:00,2022-06-10 10:15:00,0.3,0.82
21,2022-06-10 14:30:00,2022-06-10 14:45:00,0.35,0.69
22,2022-06-10 19:15:00,2022-06-10 19:30:00,0.46,0.7
23,2022-06-10 21:30:00,2022-06-10 21:45:00,0.38,0.66
24,2022-06-10 22:30:00,2022-06-10 22:45:00,0.31,0.85
25,2022-06-11 06:15:00,2022-06-11 06:45:00,0.55,1.62
26,2022-06-11 09:00:00,2022-06-11 09:00:00,0.12,0.79
27,2022-06-11 12:30:00,2022-06-11 12:45:00,0.44,0.74
28,2022-06-11 13:30:00,2022-06-11 13:45:00,0.39,0.66
29,2022-06-11 14:15:00,2022-06-11 14:15:00,0.12,0.41
30,2022-06-11 18:30:00,2022-06-11 18:45:00,0.37,0.64
31,2022-06-11 21:15:00,2022-06-11 21:30:00,0.43,0.82
32,2022-06-11 22:15:00,2022-06-11 22:30:00,0.49,0.53
33,2022-06-12 06:15:00,2022-06-12 06:45:00,0.41,1.23
34,2022-06-12 10:00:00,2022-06-12 10:15:00,0.31,0.72
35,2022-06-12 16:15:00,2022-06-12 16:30:00,0.29,0.82
36,2022-06-12 19:45:00,2022-06-12 19:45:00,0.12,0.63
37,2022-06-12 21:00:00,2022-06-12 21:15:00,0.3,0.63
38,2022-06-13 05:00:00,2022-06-13 05:15:00,0.38,0.76
39,2022-06-13 07:15:00,2022-06-13 07:30:00,0.35,0.7
40,2022-06-13 13:45:00,2022-06-13 13:45:00,0.12,0.69
41,2022-06-13 19:15:00,2022-06-13 19:30:00,0.34,0.86
42,2022-06-13 20:15:00,2022-06-13 20:15:00,0.12,0.53
43,2022-06-13 21:15:00,2022-06-13 21:15:00,0.12,0.46
44,2022-06-13 21:45:00,2022-06-13 21:45:00,0.12,0.45
45,2022-06-14 05:15:00,2022-06-14 05:30:00,0.32,0.88
46,2022-06-14 07:00:00,2022-06-14 07:15:00,0.4,1.25
47,2022-06-14 12:00:00,2022-06-14 12:00:00,0.12,0.65
48,2022-06-14 19:15:00,2022-06-14 19:15:00,0.12,0.68
49,2022-06-14 21:00:00,2022-06-14 21:15:00,0.46,0.62
50,2022-06-14 21:45:00,2022-06-14 21:45:00,0.12,0.46
51,2022-06-14 22:15:00,2022-06-14 22:15:00,0.12,0.39
52,2022-06-15 04:00:00,2022-06-15 04:00:00,0.12,0.66
53,2022-06-15 08:00:00,2022-06-15 08:15:00,0.47,0.62
