cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 01:45:00,1.92,6.43
1,2021-01-01 02:15:00,2021-01-01 05:00:00,2.97,11.55
2,2021-01-01 05:30:00,2021-01-01 07:45:00,2.5,8.0
3,2021-01-01 08:15:00,2021-01-01 08:15:00,0.12,1.3
4,2021-01-01 08:45:00,2021-01-01 09:45:00,1.18,3.26
5,2021-01-01 11:00:00,2021-01-01 13:15:00,2.5,7.33
6,2021-01-01 13:45:00,2021-01-01 13:45:00,0.12,1.0
7,2021-01-01 14:15:00,2021-01-01 14:15:00,0.12,1.13
8,2021-01-01 14:45:00,2021-01-01 16:15:00,1.7,3.88
9,2021-01-01 17:45:00,2021-01-01 18:15:00,0.71,3.52
10,2021-01-01 18:45:00,2021-01-01 19:00:00,0.5,2.22
11,2021-01-01 19:30:00,2021-01-01 23:15:00,3.96,14.08
12,2021-01-01 23:45:00,2021-01-02 01:30:00,2.0,5.88
13,2021-01-02 02:00:00,2021-01-02 04:45:00,3.0,7.7
14,2021-01-02 05:15:00,2021-01-02 05:15:00,0.12,1.29
15,2021-01-02 05:45:00,2021-01-02 07:00:00,1.5,4.43
16,2021-01-02 07:30:00,2021-01-02 08:15:00,1.0,3.34
17,2021-01-02 08:45:00,2021-01-02 08:45:00,0.12,1.26
18,2021-01-02 09:15:00,2021-01-02 10:15:00,1.2,4.47
19,2021-01-02 10:45:00,2021-01-02 10:45:00,0.12,1.26
20,2021-01-02 11:15:00,2021-01-02 13:30:00,2.5,7.9
21,2021-01-02 14:00:00,2021-01-02 14:00:00,0.12,1.26
22,2021-01-02 14:30:00,2021-01-02 22:00:00,7.75,21.64
23,2021-01-02 22:30:00,2021-01-03 00:00:00,1.73,5.77
24,2021-01-03 00:30:00,2021-01-03 00:30:00,0.12,1.23
25,2021-01-03 01:00:00,2021-01-03 03:30:00,2.75,8.02
26,2021-01-03 04:00:00,2021-01-03 09:30:00,5.75,15.83
