cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:15:00,2021-01-01 00:45:00,0.52,4.0
1,2021-01-01 02:15:00,2021-01-01 03:00:00,0.62,4.77
2,2021-01-01 04:15:00,2021-01-01 05:00:00,0.58,4.49
3,2021-01-01 05:30:00,2021-01-01 06:15:00,0.72,5.61
4,2021-01-01 07:00:00,2021-01-01 07:15:00,0.45,3.4
5,2021-01-01 08:00:00,2021-01-01 08:30:00,0.58,4.5
6,2021-01-01 09:15:00,2021-01-01 09:30:00,0.38,2.9
7,2021-01-01 10:30:00,2021-01-01 10:45:00,0.48,3.66
8,2021-01-01 11:30:00,2021-01-01 12:00:00,0.5,3.81
9,2021-01-01 12:45:00,2021-01-01 13:15:00,0.66,5.28
10,2021-01-01 14:15:00,2021-01-01 14:45:00,0.53,4.3
11,2021-01-01 15:15:00,2021-01-01 16:00:00,0.66,5.16
12,2021-01-01 16:30:00,2021-01-01 17:00:00,0.54,4.16
13,2021-01-01 17:45:00,2021-01-01 18:15:00,0.56,4.35
14,2021-01-01 19:00:00,2021-01-01 19:30:00,0.49,3.83
15,2021-01-01 20:15:00,2021-01-01 21:00:00,0.68,5.41
16,2021-01-01 23:00:00,2021-01-01 23:30:00,0.64,4.83
17,2021-01-02 01:00:00,2021-01-02 01:45:00,0.61,4.69
18,2021-01-02 03:00:00,2021-01-02 03:45:00,0.64,4.95
19,2021-01-02 05:00:00,2021-01-02 06:00:00,1.1,8.44
20,2021-01-02 06:45:00,2021-01-02 07:15:00,0.54,4.23
21,2021-01-02 08:00:00,2021-01-02 09:00:00,0.92,7.22
22,2021-01-02 09:30:00,2021-01-02 10:00:00,0.57,4.49
23,2021-01-02 10:45:00,2021-01-02 11:30:00,0.57,4.55
24,2021-01-02 12:00:00,2021-01-02 12:30:00,0.5,3.94
25,2021-01-02 13:15:00,2021-01-02 13:45:00,0.54,4.33
26,2021-01-02 14:30:00,2021-01-02 15:00:00,0.65,5.09
27,2021-01-02 15:30:00,2021-01-02 16:15:00,0.63,5.0
28,2021-01-02 16:45:00,2021-01-02 17:30:00,0.69,5.52
29,2021-01-02 18:15:00,2021-01-02 18:45:00,0.58,4.67
30,2021-01-02 19:15:00,2021-01-02 19:45:00,0.54,4.26
31,2021-01-02 20:30:00,2021-01-02 21:00:00,0.5,3.93
32,2021-01-02 22:45:00,2021-01-02 23:15:00,0.54,4.24
33,2021-01-03 00:30:00,2021-01-03 01:15:00,0.59,4.53
34,2021-01-03 02:30:00,2021-01-03 03:00:00,0.56,4.39
35,2021-01-03 04:15:00,2021-01-03 05:00:00,0.61,4.72
36,2021-01-03 05:30:00,2021-01-03 06:15:00,0.83,6.52
37,2021-01-03 06:45:00,2021-01-03 07:30:00,0.75,5.99
38,2021-01-03 08:15:00,2021-01-03 08:45:00,0.51,4.17
39,2021-01-03 09:15:00,2021-01-03 09:45:00,0.49,3.79
40,2021-01-03 10:30:00,2021-01-03 11:00:00,0.51,3.98
41,2021-01-03 11:45:00,2021-01-03 12:15:00,0.5,4.05
42,2021-01-03 13:00:00,2021-01-03 13:15:00,0.4,2.79
43,2021-01-03 13:45:00,2021-01-03 14:30:00,0.61,4.84
44,2021-01-03 15:15:00,2021-01-03 15:45:00,0.6,4.71
45,2021-01-03 16:30:00,2021-01-03 17:00:00,0.48,3.86
46,2021-01-03 17:30:00,2021-01-03 18:00:00,0.45,3.54
47,2021-01-03 18:30:00,2021-01-03 19:00:00,0.51,4.05
48,2021-01-03 19:45:00,2021-01-03 20:15:00,0.47,3.81
49,2021-01-03 20:45:00,2021-01-03 21:00:00,0.31,1.59
50,2021-01-03 22:15:00,2021-01-03 22:45:00,0.54,4.04
51,2021-01-04 00:00:00,2021-01-04 00:30:00,0.59,4.54
52,2021-01-04 01:45:00,2021-01-04 02:15:00,0.52,4.02
53,2021-01-04 03:30:00,2021-01-04 04:00:00,0.58,4.6
54,2021-01-04 05:00:00,2021-01-04 06:00:00,1.07,8.29
55,2021-01-04 06:45:00,2021-01-04 07:45:00,1.06,8.38
56,2021-01-04 08:30:00,2021-01-04 09:00:00,0.52,4.12
57,2021-01-04 09:30:00,2021-01-04 10:15:00,0.58,4.59
58,2021-01-04 10:45:00,2021-01-04 11:15:00,0.51,3.91
59,2021-01-04 12:00:00,2021-01-04 12:45:00,0.67,5.38
60,2021-01-04 13:15:00,2021-01-04 14:00:00,0.67,5.41
61,2021-01-04 14:30:00,2021-01-04 15:00:00,0.52,4.04
62,2021-01-04 15:45:00,2021-01-04 16:30:00,0.67,5.45
63,2021-01-04 17:00:00,2021-01-04 17:30:00,0.69,5.43
64,2021-01-04 18:15:00,2021-01-04 18:45:00,0.48,3.91
65,2021-01-04 19:15:00,2021-01-04 19:45:00,0.49,3.87
66,2021-01-04 20:30:00,2021-01-04 21:00:00,0.56,4.58
67,2021-01-04 22:00:00,2021-01-04 22:15:00,0.33,2.61
68,2021-01-04 23:15:00,2021-01-04 23:45:00,0.55,4.28
69,2021-01-05 01:00:00,2021-01-05 01:30:00,0.58,4.58
70,2021-01-05 02:45:00,2021-01-05 03:15:00,0.6,4.69
71,2021-01-05 04:30:00,2021-01-05 05:30:00,1.19,9.46
72,2021-01-05 06:15:00,2021-01-05 06:45:00,0.63,5.13
73,2021-01-05 07:30:00,2021-01-05 08:00:00,0.7,5.61
74,2021-01-05 08:45:00,2021-01-05 09:30:00,0.86,6.8
75,2021-01-05 10:15:00,2021-01-05 10:45:00,0.62,4.97
76,2021-01-05 11:15:00,2021-01-05 12:00:00,0.65,5.16
77,2021-01-05 12:45:00,2021-01-05 13:15:00,0.63,4.99
78,2021-01-05 13:45:00,2021-01-05 14:15:00,0.55,4.27
79,2021-01-05 15:00:00,2021-01-05 15:30:00,0.58,4.56
80,2021-01-05 16:15:00,2021-01-05 16:45:00,0.5,3.98
81,2021-01-05 17:15:00,2021-01-05 18:00:00,0.6,4.84
82,2021-01-05 18:30:00,2021-01-05 19:00:00,0.6,4.76
83,2021-01-05 19:45:00,2021-01-05 20:15:00,0.46,3.72
84,2021-01-05 20:45:00,2021-01-05 21:00:00,0.34,1.49
85,2021-01-05 22:15:00,2021-01-05 22:45:00,0.54,4.16
86,2021-01-06 00:00:00,2021-01-06 00:30:00,0.54,4.13
87,2021-01-06 01:45:00,2021-01-06 02:15:00,0.55,4.21
88,2021-01-06 03:30:00,2021-01-06 04:00:00,0.53,4.22
89,2021-01-06 05:00:00,2021-01-06 06:15:00,1.3,10.23
90,2021-01-06 07:00:00,2021-01-06 07:45:00,0.84,6.82
91,2021-01-06 08:15:00,2021-01-06 09:15:00,0.84,6.66
92,2021-01-06 09:45:00,2021-01-06 10:30:00,0.75,5.84
93,2021-01-06 11:00:00,2021-01-06 11:45:00,0.73,5.69
94,2021-01-06 12:30:00,2021-01-06 13:00:00,0.69,5.43
95,2021-01-06 13:45:00,2021-01-06 14:15:00,0.65,5.12
96,2021-01-06 15:00:00,2021-01-06 15:30:00,0.54,4.29
97,2021-01-06 16:00:00,2021-01-06 16:45:00,0.67,5.28
98,2021-01-06 17:15:00,2021-01-06 18:00:00,0.71,5.58
99,2021-01-06 18:45:00,2021-01-06 19:15:00,0.53,4.28
100,2021-01-06 19:45:00,2021-01-06 20:15:00,0.55,4.28
101,2021-01-06 21:00:00,2021-01-06 21:00:00,0.12,1.29
102,2021-01-06 22:30:00,2021-01-06 23:15:00,0.66,5.04
103,2021-01-07 00:30:00,2021-01-07 01:00:00,0.57,4.38
104,2021-01-07 02:15:00,2021-01-07 02:45:00,0.57,4.37
105,2021-01-07 04:15:00,2021-01-07 04:45:00,0.65,4.89
106,2021-01-07 05:15:00,2021-01-07 06:15:00,0.9,7.01
107,2021-01-07 06:45:00,2021-01-07 07:30:00,0.75,5.98
108,2021-01-07 08:15:00,2021-01-07 08:45:00,0.54,4.29
109,2021-01-07 09:15:00,2021-01-07 09:45:00,0.52,4.08
110,2021-01-07 10:45:00,2021-01-07 11:15:00,0.61,4.84
111,2021-01-07 12:00:00,2021-01-07 12:15:00,0.42,3.37
112,2021-01-07 13:00:00,2021-01-07 13:30:00,0.51,4.01
113,2021-01-07 14:15:00,2021-01-07 14:45:00,0.53,4.29
114,2021-01-07 15:15:00,2021-01-07 15:45:00,0.52,4.11
115,2021-01-07 16:30:00,2021-01-07 17:00:00,0.56,4.43
116,2021-01-07 17:45:00,2021-01-07 18:15:00,0.5,4.07
117,2021-01-07 18:45:00,2021-01-07 19:15:00,0.54,4.31
118,2021-01-07 20:00:00,2021-01-07 20:30:00,0.56,4.51
119,2021-01-07 22:00:00,2021-01-07 22:30:00,0.66,5.02
120,2021-01-07 23:45:00,2021-01-08 00:15:00,0.59,4.46
121,2021-01-08 01:30:00,2021-01-08 02:15:00,0.63,4.84
122,2021-01-08 03:15:00,2021-01-08 04:00:00,0.59,4.52
123,2021-01-08 04:45:00,2021-01-08 06:00:00,1.2,9.26
124,2021-01-08 06:45:00,2021-01-08 07:15:00,0.52,4.3
125,2021-01-08 07:45:00,2021-01-08 08:30:00,0.64,5.08
126,2021-01-08 09:15:00,2021-01-08 09:30:00,0.49,3.48
127,2021-01-08 10:15:00,2021-01-08 10:45:00,0.43,3.41
128,2021-01-08 11:30:00,2021-01-08 11:45:00,0.48,3.85
129,2021-01-08 12:45:00,2021-01-08 13:15:00,0.48,3.86
130,2021-01-08 13:45:00,2021-01-08 14:30:00,0.57,4.48
131,2021-01-08 15:00:00,2021-01-08 16:00:00,0.91,7.38
132,2021-01-08 16:30:00,2021-01-08 17:15:00,0.8,6.42
133,2021-01-08 17:45:00,2021-01-08 18:30:00,0.69,5.62
134,2021-01-08 19:00:00,2021-01-08 19:30:00,0.57,4.65
135,2021-01-08 20:00:00,2021-01-08 20:45:00,0.57,4.66
136,2021-01-08 22:00:00,2021-01-08 22:30:00,0.48,3.5
137,2021-01-08 23:30:00,2021-01-09 00:00:00,0.61,4.67
138,2021-01-09 01:00:00,2021-01-09 01:30:00,0.48,3.53
139,2021-01-09 02:15:00,2021-01-09 03:00:00,0.61,4.75
140,2021-01-09 03:45:00,2021-01-09 04:15:00,0.52,3.8
141,2021-01-09 05:00:00,2021-01-09 06:15:00,1.36,10.87
142,2021-01-09 07:00:00,2021-01-09 07:45:00,0.99,8.34
143,2021-01-09 08:30:00,2021-01-09 09:00:00,0.67,5.5
144,2021-01-09 09:45:00,2021-01-09 10:30:00,0.72,5.96
145,2021-01-09 11:15:00,2021-01-09 11:45:00,0.52,4.32
146,2021-01-09 12:15:00,2021-01-09 12:45:00,0.48,3.9
147,2021-01-09 13:15:00,2021-01-09 13:45:00,0.57,4.61
148,2021-01-09 14:30:00,2021-01-09 15:00:00,0.52,4.19
149,2021-01-09 15:45:00,2021-01-09 16:15:00,0.54,4.55
150,2021-01-09 16:45:00,2021-01-09 17:15:00,0.48,3.92
151,2021-01-09 17:45:00,2021-01-09 18:30:00,0.74,5.95
152,2021-01-09 19:00:00,2021-01-09 19:45:00,0.64,5.26
153,2021-01-09 20:15:00,2021-01-09 21:00:00,0.67,5.47
154,2021-01-09 22:30:00,2021-01-09 23:00:00,0.46,3.42
155,2021-01-10 00:00:00,2021-01-10 00:30:00,0.63,4.82
156,2021-01-10 01:45:00,2021-01-10 02:15:00,0.56,4.45
157,2021-01-10 03:15:00,2021-01-10 03:45:00,0.58,4.47
158,2021-01-10 04:45:00,2021-01-10 06:00:00,1.23,9.66
159,2021-01-10 06:30:00,2021-01-10 07:45:00,1.06,8.51
160,2021-01-10 08:15:00,2021-01-10 08:45:00,0.58,4.63
161,2021-01-10 09:30:00,2021-01-10 10:00:00,0.56,4.6
162,2021-01-10 10:45:00,2021-01-10 11:15:00,0.51,4.24
163,2021-01-10 12:00:00,2021-01-10 12:45:00,0.69,5.57
164,2021-01-10 13:15:00,2021-01-10 14:00:00,0.6,4.94
165,2021-01-10 14:30:00,2021-01-10 15:00:00,0.49,3.84
166,2021-01-10 15:45:00,2021-01-10 16:15:00,0.52,4.24
167,2021-01-10 16:45:00,2021-01-10 17:15:00,0.56,4.48
168,2021-01-10 18:00:00,2021-01-10 18:30:00,0.48,3.97
169,2021-01-10 19:00:00,2021-01-10 19:30:00,0.6,4.83
170,2021-01-10 20:15:00,2021-01-10 20:45:00,0.53,4.34
171,2021-01-10 22:15:00,2021-01-10 22:45:00,0.57,4.48
172,2021-01-11 00:00:00,2021-01-11 00:30:00,0.6,4.7
173,2021-01-11 01:30:00,2021-01-11 02:15:00,0.59,4.56
174,2021-01-11 03:15:00,2021-01-11 03:45:00,0.63,4.77
175,2021-01-11 04:45:00,2021-01-11 06:15:00,1.38,10.75
176,2021-01-11 06:45:00,2021-01-11 08:00:00,1.27,10.4
177,2021-01-11 08:30:00,2021-01-11 09:15:00,0.73,5.9
178,2021-01-11 09:45:00,2021-01-11 10:30:00,0.77,6.15
179,2021-01-11 11:00:00,2021-01-11 12:00:00,0.84,6.78
180,2021-01-11 12:30:00,2021-01-11 13:00:00,0.66,5.32
181,2021-01-11 13:45:00,2021-01-11 14:30:00,0.74,6.03
182,2021-01-11 15:00:00,2021-01-11 15:45:00,0.69,5.56
183,2021-01-11 16:15:00,2021-01-11 17:00:00,0.9,7.34
184,2021-01-11 17:30:00,2021-01-11 18:15:00,0.77,6.27
185,2021-01-11 19:00:00,2021-01-11 19:30:00,0.59,4.85
186,2021-01-11 20:00:00,2021-01-11 20:45:00,0.6,4.88
187,2021-01-11 22:15:00,2021-01-11 22:45:00,0.5,3.75
188,2021-01-11 23:30:00,2021-01-12 00:00:00,0.43,3.28
189,2021-01-12 00:45:00,2021-01-12 01:15:00,0.46,3.43
190,2021-01-12 02:00:00,2021-01-12 02:30:00,0.49,3.64
191,2021-01-12 03:15:00,2021-01-12 04:00:00,0.62,4.83
192,2021-01-12 05:00:00,2021-01-12 06:15:00,1.41,11.07
193,2021-01-12 07:00:00,2021-01-12 08:00:00,1.16,9.31
194,2021-01-12 08:45:00,2021-01-12 09:15:00,0.67,5.32
195,2021-01-12 10:00:00,2021-01-12 10:30:00,0.66,5.3
196,2021-01-12 11:15:00,2021-01-12 11:45:00,0.54,4.28
197,2021-01-12 12:30:00,2021-01-12 13:00:00,0.74,5.9
198,2021-01-12 13:45:00,2021-01-12 14:15:00,0.58,4.61
199,2021-01-12 15:00:00,2021-01-12 15:30:00,0.64,5.12
200,2021-01-12 16:15:00,2021-01-12 16:45:00,0.63,5.06
201,2021-01-12 17:15:00,2021-01-12 17:45:00,0.54,4.19
202,2021-01-12 18:15:00,2021-01-12 19:00:00,0.71,5.64
203,2021-01-12 19:45:00,2021-01-12 20:15:00,0.55,4.46
204,2021-01-12 21:00:00,2021-01-12 21:00:00,0.12,1.33
205,2021-01-12 21:30:00,2021-01-12 22:00:00,0.41,3.24
206,2021-01-12 23:30:00,2021-01-13 00:00:00,0.57,4.53
207,2021-01-13 01:30:00,2021-01-13 02:00:00,0.64,4.83
208,2021-01-13 03:30:00,2021-01-13 04:15:00,0.69,5.23
209,2021-01-13 05:00:00,2021-01-13 06:00:00,0.94,7.29
210,2021-01-13 06:45:00,2021-01-13 07:45:00,1.0,7.95
211,2021-01-13 08:15:00,2021-01-13 09:00:00,0.76,5.87
212,2021-01-13 09:45:00,2021-01-13 10:15:00,0.52,4.01
213,2021-01-13 11:00:00,2021-01-13 11:45:00,0.64,4.96
214,2021-01-13 12:30:00,2021-01-13 13:00:00,0.55,4.3
215,2021-01-13 13:45:00,2021-01-13 14:15:00,0.57,4.36
216,2021-01-13 15:00:00,2021-01-13 15:30:00,0.52,4.02
217,2021-01-13 16:00:00,2021-01-13 16:45:00,0.54,4.21
218,2021-01-13 17:15:00,2021-01-13 17:45:00,0.55,4.21
219,2021-01-13 18:30:00,2021-01-13 19:00:00,0.62,4.79
220,2021-01-13 19:45:00,2021-01-13 20:15:00,0.51,3.95
221,2021-01-13 21:00:00,2021-01-13 21:00:00,0.12,1.47
222,2021-01-13 22:45:00,2021-01-13 22:45:00,0.12,0.67
223,2021-01-17 23:00:00,2021-01-17 23:30:00,0.59,4.62
224,2021-01-18 01:00:00,2021-01-18 01:30:00,0.65,4.97
225,2021-01-18 03:00:00,2021-01-18 03:45:00,0.74,5.6
226,2021-01-18 05:00:00,2021-01-18 06:15:00,1.33,10.18
227,2021-01-18 07:00:00,2021-01-18 07:30:00,0.64,4.94
228,2021-01-18 08:15:00,2021-01-18 09:00:00,0.86,6.58
229,2021-01-18 09:45:00,2021-01-18 10:15:00,0.63,4.87
230,2021-01-18 11:15:00,2021-01-18 12:00:00,0.69,5.26
231,2021-01-18 12:45:00,2021-01-18 13:15:00,0.52,3.99
232,2021-01-18 13:45:00,2021-01-18 14:15:00,0.56,4.23
233,2021-01-18 15:00:00,2021-01-18 15:30:00,0.59,4.66
234,2021-01-18 16:00:00,2021-01-18 17:00:00,0.85,6.76
235,2021-01-18 17:30:00,2021-01-18 18:15:00,0.82,6.51
