cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-22 00:00:00,2022-01-25 13:00:00,85.22,325.18
1,2022-01-25 14:15:00,2022-01-25 18:15:00,4.25,17.08
2,2022-01-26 14:00:00,2022-01-26 14:30:00,0.54,2.09
3,2022-01-28 14:00:00,2022-01-29 10:00:00,20.25,80.52
4,2022-01-29 14:15:00,2022-01-29 20:30:00,6.39,26.22
5,2022-01-30 14:00:00,2022-01-30 17:30:00,3.75,15.68
6,2022-01-31 14:00:00,2022-02-01 08:30:00,18.65,74.39
7,2022-02-01 14:00:00,2022-02-02 04:45:00,14.88,59.22
8,2022-02-02 14:00:00,2022-02-03 04:45:00,15.0,62.49
9,2022-02-03 14:15:00,2022-02-03 22:45:00,8.75,36.6
10,2022-02-04 14:15:00,2022-02-05 04:45:00,14.75,61.67
11,2022-02-05 14:00:00,2022-02-05 22:00:00,8.19,33.94
12,2022-02-06 14:00:00,2022-02-07 09:15:00,19.44,79.31
13,2022-02-07 14:00:00,2022-02-19 03:15:00,277.5,1140.58
14,2022-02-19 14:00:00,2022-02-19 23:30:00,9.58,40.39
15,2022-02-20 14:00:00,2022-02-21 07:45:00,17.88,76.44
16,2022-02-21 14:15:00,2022-02-21 15:15:00,1.19,5.27
17,2022-02-22 14:00:00,2022-02-22 16:45:00,2.82,11.92
18,2022-02-23 14:00:00,2022-02-23 23:30:00,9.72,41.22
19,2022-02-24 14:00:00,2022-02-25 08:30:00,18.54,78.33
20,2022-02-25 14:15:00,2022-03-01 04:45:00,86.75,352.61
21,2022-03-01 14:15:00,2022-03-02 02:30:00,12.5,50.74
22,2022-03-02 14:15:00,2022-03-03 10:45:00,20.75,84.64
23,2022-03-03 14:00:00,2022-03-03 15:15:00,1.5,16.11
24,2022-03-04 14:00:00,2022-03-04 22:45:00,8.79,36.57
25,2022-03-05 14:15:00,2022-03-06 12:15:00,22.24,89.49
26,2022-03-06 14:00:00,2022-03-06 23:30:00,9.75,42.36
27,2022-03-07 14:00:00,2022-03-07 20:30:00,6.66,27.08
28,2022-03-08 14:00:00,2022-03-08 16:00:00,2.1,8.64
29,2022-03-09 14:15:00,2022-03-09 14:30:00,0.5,2.12
30,2022-03-10 14:00:00,2022-03-11 13:00:00,23.12,94.57
31,2022-03-11 14:15:00,2022-03-12 07:00:00,17.0,70.48
32,2022-03-12 14:15:00,2022-03-13 08:30:00,18.5,77.86
33,2022-03-13 14:15:00,2022-03-14 13:00:00,23.0,100.39
34,2022-03-14 14:15:00,2022-03-17 22:45:00,80.69,347.25
35,2022-03-18 14:00:00,2022-03-18 21:15:00,7.39,32.49
36,2022-03-19 14:00:00,2022-03-23 13:00:00,95.09,411.65
37,2022-03-23 14:15:00,2022-03-24 07:00:00,17.0,75.51
38,2022-03-24 14:15:00,2022-03-26 08:30:00,42.5,192.84
39,2022-03-26 14:00:00,2022-03-27 08:00:00,17.21,83.12
40,2022-03-27 15:00:00,2022-03-27 17:45:00,2.75,15.27
41,2022-03-27 18:45:00,2022-03-28 17:30:00,22.81,105.41
42,2022-03-28 18:15:00,2022-03-31 04:15:00,58.05,264.8
43,2022-03-31 15:00:00,2022-04-01 10:15:00,19.28,83.68
44,2022-04-02 15:00:00,2022-04-03 03:30:00,12.64,50.41
45,2022-04-03 15:00:00,2022-04-04 13:15:00,22.33,89.43
46,2022-04-04 15:15:00,2022-04-05 02:45:00,11.75,49.0
47,2022-04-05 15:00:00,2022-04-05 20:45:00,5.91,25.64
48,2022-04-06 15:15:00,2022-04-07 00:30:00,9.5,43.28
49,2022-04-07 15:00:00,2022-04-12 15:15:00,120.18,521.42
50,2022-04-12 16:30:00,2022-04-12 17:00:00,0.37,1.74
51,2022-04-12 17:45:00,2022-04-13 13:00:00,19.46,89.98
52,2022-04-13 16:45:00,2022-04-13 17:00:00,0.46,0.98
53,2022-04-13 18:00:00,2022-04-13 18:30:00,0.43,1.88
54,2022-04-13 19:15:00,2022-04-14 12:45:00,17.6,82.07
55,2022-04-14 20:15:00,2022-04-14 21:00:00,0.85,3.46
56,2022-04-14 21:45:00,2022-04-14 22:15:00,0.62,2.61
57,2022-04-14 23:00:00,2022-04-15 00:45:00,1.61,7.04
58,2022-04-15 01:30:00,2022-04-15 09:30:00,8.24,37.12
59,2022-04-15 18:15:00,2022-04-15 18:30:00,0.38,1.38
60,2022-04-15 19:45:00,2022-04-15 21:45:00,2.07,8.72
61,2022-04-15 22:30:00,2022-04-16 14:00:00,15.64,69.18
62,2022-04-16 15:30:00,2022-04-16 17:30:00,1.91,8.56
63,2022-04-16 18:30:00,2022-04-17 14:00:00,19.74,86.39
64,2022-04-17 15:00:00,2022-04-17 15:00:00,0.12,0.89
65,2022-04-17 16:30:00,2022-04-17 17:00:00,0.46,1.9
66,2022-04-17 17:30:00,2022-04-18 06:30:00,13.04,56.71
67,2022-04-18 15:00:00,2022-04-18 15:00:00,0.12,3.68
68,2022-04-18 16:45:00,2022-04-18 17:00:00,0.47,1.42
69,2022-04-18 18:00:00,2022-04-18 18:30:00,0.73,3.04
70,2022-04-19 15:00:00,2022-04-19 15:00:00,0.12,0.4
71,2022-04-19 17:00:00,2022-04-19 17:30:00,0.56,2.2
72,2022-04-19 18:30:00,2022-04-19 19:30:00,0.87,3.54
73,2022-04-19 20:00:00,2022-04-20 02:45:00,6.99,30.74
74,2022-04-20 15:00:00,2022-04-20 15:00:00,0.12,0.77
75,2022-04-20 16:45:00,2022-04-20 17:15:00,0.4,1.56
76,2022-04-20 18:15:00,2022-04-21 13:15:00,19.07,81.95
77,2022-04-21 16:00:00,2022-04-21 16:30:00,0.37,1.45
78,2022-04-21 18:15:00,2022-04-22 14:00:00,19.64,85.38
79,2022-04-22 17:00:00,2022-04-22 17:15:00,0.46,1.27
80,2022-04-22 18:15:00,2022-04-25 16:45:00,70.47,311.96
81,2022-04-25 17:45:00,2022-04-27 11:00:00,41.36,181.51
82,2022-04-27 15:00:00,2022-04-27 15:00:00,0.12,0.81
83,2022-04-27 16:00:00,2022-04-27 16:30:00,0.47,1.96
84,2022-04-27 17:45:00,2022-04-28 08:30:00,14.65,63.89
85,2022-08-01 15:00:00,2022-08-01 15:00:00,0.12,3.36
86,2022-08-06 15:00:00,2022-08-06 15:00:00,0.12,1.19
87,2022-08-07 15:00:00,2022-08-07 15:00:00,0.12,0.53
88,2022-08-09 15:00:00,2022-08-09 15:00:00,0.12,0.46
89,2022-08-12 15:00:00,2022-08-12 15:00:00,0.12,0.3
90,2022-08-13 15:00:00,2022-08-13 15:00:00,0.12,0.13
91,2022-08-14 15:00:00,2022-08-14 15:00:00,0.12,0.4
92,2022-08-16 15:00:00,2022-08-16 15:00:00,0.12,0.47
93,2022-08-17 15:00:00,2022-08-17 15:00:00,0.12,0.77
94,2022-08-26 15:00:00,2022-08-26 15:00:00,0.12,0.16
95,2022-08-27 15:00:00,2022-08-27 15:00:00,0.12,0.42
96,2022-09-01 15:00:00,2022-09-01 15:00:00,0.12,0.12
97,2022-09-04 15:00:00,2022-09-04 15:00:00,0.12,0.59
98,2022-09-05 15:00:00,2022-09-05 15:00:00,0.12,0.66
99,2022-09-08 15:00:00,2022-09-08 15:00:00,0.12,10.85
100,2022-09-10 15:00:00,2022-09-10 15:00:00,0.12,0.42
