cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:45:00,2021-01-23 00:30:00,0.56,3.06
1,2021-01-23 01:45:00,2021-01-23 04:15:00,2.58,14.43
2,2021-01-23 05:45:00,2021-01-23 07:30:00,1.68,9.83
3,2021-01-23 11:00:00,2021-01-23 12:00:00,0.93,5.25
4,2021-01-23 13:45:00,2021-01-23 15:00:00,1.11,6.08
5,2021-01-23 15:45:00,2021-01-23 16:00:00,0.47,2.61
6,2021-01-23 21:45:00,2021-01-23 22:15:00,0.43,2.43
7,2021-01-24 01:45:00,2021-01-24 04:15:00,2.44,13.69
8,2021-01-24 05:30:00,2021-01-24 07:45:00,2.27,12.57
9,2021-01-24 13:45:00,2021-01-24 14:30:00,0.82,4.67
10,2021-01-24 16:00:00,2021-01-24 18:15:00,2.38,13.05
11,2021-01-24 19:00:00,2021-01-24 20:00:00,0.99,5.46
12,2021-01-24 20:30:00,2021-01-24 21:00:00,0.49,2.82
13,2021-01-25 00:30:00,2021-01-25 08:00:00,7.66,40.72
14,2021-01-25 09:45:00,2021-01-25 10:30:00,0.86,4.92
15,2021-01-25 11:15:00,2021-01-25 14:00:00,2.66,14.21
16,2021-01-25 15:45:00,2021-01-25 17:00:00,1.36,7.79
17,2021-01-25 21:00:00,2021-01-25 21:30:00,0.41,2.3
18,2021-01-26 00:30:00,2021-01-26 03:30:00,2.92,16.03
19,2021-01-26 04:15:00,2021-01-26 12:15:00,8.17,43.69
20,2021-01-26 14:15:00,2021-01-26 16:00:00,1.66,9.3
21,2021-01-26 22:15:00,2021-01-26 22:45:00,0.52,2.89
22,2021-01-27 00:00:00,2021-01-27 06:00:00,5.84,31.7
23,2021-01-27 08:45:00,2021-01-27 09:30:00,0.93,5.28
24,2021-01-27 13:15:00,2021-01-27 21:15:00,8.2,44.13
25,2021-01-28 00:30:00,2021-01-28 05:30:00,4.97,26.46
26,2021-01-28 09:00:00,2021-01-28 10:00:00,0.87,4.96
27,2021-01-28 11:15:00,2021-01-28 12:00:00,0.69,3.77
28,2021-01-28 13:30:00,2021-01-28 14:00:00,0.52,2.9
29,2021-01-28 15:30:00,2021-01-28 16:15:00,0.64,3.5
30,2021-01-29 02:00:00,2021-01-29 03:00:00,1.05,5.44
31,2021-01-29 04:30:00,2021-01-29 05:00:00,0.52,2.88
32,2021-01-29 06:00:00,2021-01-29 06:45:00,0.62,3.37
33,2021-01-29 08:00:00,2021-01-29 08:45:00,0.78,4.27
34,2021-01-29 10:30:00,2021-01-29 11:00:00,0.45,2.48
35,2021-01-29 12:00:00,2021-01-29 12:30:00,0.6,3.3
36,2021-01-29 14:30:00,2021-01-29 15:15:00,0.62,3.33
37,2021-01-29 16:15:00,2021-01-29 17:00:00,0.76,4.21
38,2021-01-30 03:30:00,2021-01-30 04:15:00,0.7,3.92
39,2021-01-30 06:00:00,2021-01-30 07:00:00,0.82,4.38
40,2021-01-30 13:00:00,2021-01-30 13:45:00,0.71,3.9
41,2021-01-31 02:30:00,2021-01-31 04:00:00,1.54,8.49
42,2021-01-31 05:30:00,2021-01-31 06:00:00,0.66,3.8
43,2021-01-31 07:00:00,2021-01-31 07:15:00,0.43,1.82
44,2021-01-31 15:15:00,2021-01-31 15:45:00,0.56,3.0
45,2021-02-01 01:45:00,2021-02-01 02:45:00,1.18,6.56
46,2021-02-01 04:45:00,2021-02-01 05:45:00,0.91,5.17
47,2021-02-01 07:15:00,2021-02-01 07:45:00,0.6,3.26
48,2021-02-01 09:45:00,2021-02-01 10:30:00,0.63,3.44
49,2021-02-01 12:15:00,2021-02-01 12:45:00,0.62,3.49
50,2021-02-01 14:30:00,2021-02-01 15:00:00,0.56,2.98
51,2021-02-01 16:15:00,2021-02-01 16:30:00,0.47,1.59
52,2021-02-02 03:00:00,2021-02-02 04:00:00,0.95,5.07
53,2021-02-02 05:45:00,2021-02-02 06:15:00,0.53,2.92
54,2021-02-02 07:15:00,2021-02-02 07:45:00,0.48,2.63
55,2021-02-02 08:45:00,2021-02-02 09:00:00,0.42,2.05
56,2021-02-02 10:15:00,2021-02-02 10:30:00,0.32,1.62
57,2021-02-02 11:30:00,2021-02-02 11:45:00,0.29,1.56
58,2021-02-02 13:00:00,2021-02-02 13:15:00,0.38,1.96
59,2021-02-02 15:30:00,2021-02-02 15:45:00,0.47,2.29
60,2021-02-02 17:00:00,2021-02-02 17:15:00,0.44,1.94
61,2021-02-03 02:15:00,2021-02-03 02:45:00,0.57,3.1
62,2021-02-03 04:45:00,2021-02-03 05:15:00,0.49,2.74
