cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-24 23:00:00,2021-01-24 23:30:00,0.75,1.53
1,2021-01-25 00:00:00,2021-01-25 00:30:00,0.75,1.56
2,2021-01-25 01:00:00,2021-01-25 02:15:00,1.39,2.7
3,2021-01-25 02:45:00,2021-01-25 02:45:00,0.12,0.73
4,2021-01-25 03:15:00,2021-01-25 03:45:00,0.75,1.78
5,2021-01-25 04:15:00,2021-01-25 04:15:00,0.12,0.98
6,2021-01-25 04:45:00,2021-01-25 04:45:00,0.12,0.79
7,2021-01-25 05:15:00,2021-01-25 06:00:00,1.0,2.14
8,2021-01-25 06:30:00,2021-01-25 06:30:00,0.12,1.02
9,2021-01-25 07:00:00,2021-01-25 08:45:00,2.0,3.99
10,2021-01-25 09:15:00,2021-01-25 09:45:00,0.61,1.23
11,2021-01-25 11:00:00,2021-01-25 11:00:00,0.12,0.87
12,2021-01-25 11:30:00,2021-01-25 13:15:00,2.0,3.3
13,2021-01-25 13:45:00,2021-01-25 16:15:00,2.7,5.49
14,2021-01-25 17:45:00,2021-01-25 18:00:00,0.43,1.8
15,2021-01-25 18:30:00,2021-01-25 19:15:00,1.0,2.37
16,2021-01-25 19:45:00,2021-01-25 20:30:00,1.0,2.43
17,2021-01-25 21:00:00,2021-01-26 00:30:00,3.75,6.83
18,2021-01-26 01:00:00,2021-01-26 02:15:00,1.5,2.84
19,2021-01-26 02:45:00,2021-01-26 02:45:00,0.12,0.85
20,2021-01-26 03:15:00,2021-01-26 09:45:00,6.75,16.55
21,2021-01-26 11:00:00,2021-01-26 11:15:00,0.48,1.42
22,2021-01-26 11:45:00,2021-01-26 11:45:00,0.12,0.74
23,2021-01-26 12:15:00,2021-01-26 13:30:00,1.5,2.37
24,2021-01-26 14:00:00,2021-01-26 15:00:00,1.25,2.38
25,2021-01-26 15:30:00,2021-01-26 16:15:00,0.99,2.09
26,2021-01-26 17:45:00,2021-01-26 19:00:00,1.5,3.76
27,2021-01-26 19:30:00,2021-01-26 21:15:00,2.0,3.78
28,2021-01-26 21:45:00,2021-01-26 21:45:00,0.12,0.91
29,2021-01-26 22:15:00,2021-01-26 22:15:00,0.12,0.64
30,2021-01-26 22:45:00,2021-01-26 22:45:00,0.12,0.66
31,2021-01-26 23:15:00,2021-01-27 05:30:00,6.5,10.5
32,2021-01-27 06:00:00,2021-01-27 08:30:00,2.75,5.91
33,2021-01-27 09:00:00,2021-01-27 09:30:00,0.75,1.94
34,2021-01-27 11:00:00,2021-01-27 13:00:00,2.1,4.9
35,2021-01-27 13:30:00,2021-01-27 13:30:00,0.12,0.85
36,2021-01-27 14:00:00,2021-01-27 14:00:00,0.12,0.91
37,2021-01-27 14:30:00,2021-01-27 14:30:00,0.12,0.86
38,2021-01-27 15:00:00,2021-01-27 16:15:00,1.5,2.93
39,2021-01-27 17:45:00,2021-01-27 21:00:00,3.36,6.79
40,2021-01-27 21:30:00,2021-01-27 21:30:00,0.12,0.6
41,2021-01-27 22:00:00,2021-01-28 01:15:00,3.5,5.37
42,2021-01-28 01:45:00,2021-01-28 01:45:00,0.12,0.63
43,2021-01-28 02:15:00,2021-01-28 02:15:00,0.12,0.62
44,2021-01-28 02:45:00,2021-01-28 02:45:00,0.12,0.61
45,2021-01-28 03:15:00,2021-01-28 03:15:00,0.12,0.61
46,2021-01-28 03:45:00,2021-01-28 03:45:00,0.12,0.61
