cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-23 00:45:00,1.89,5.18
1,2021-01-23 01:45:00,2021-01-23 03:00:00,1.39,4.44
2,2021-01-23 04:00:00,2021-01-23 05:15:00,1.33,4.25
3,2021-01-23 06:15:00,2021-01-23 07:30:00,1.39,4.43
4,2021-01-23 08:30:00,2021-01-23 08:45:00,0.4,1.19
5,2021-01-23 09:30:00,2021-01-23 10:15:00,0.84,2.66
6,2021-01-23 11:15:00,2021-01-23 12:00:00,0.8,2.52
7,2021-01-23 12:30:00,2021-01-23 12:45:00,0.3,1.07
8,2021-01-23 13:30:00,2021-01-23 14:15:00,0.97,3.04
9,2021-01-23 15:15:00,2021-01-23 16:30:00,1.16,3.67
10,2021-01-23 17:15:00,2021-01-23 18:30:00,1.29,4.1
11,2021-01-23 19:30:00,2021-01-23 20:45:00,1.26,4.02
12,2021-01-23 21:30:00,2021-01-23 22:45:00,1.27,4.04
13,2021-01-23 23:45:00,2021-01-24 01:00:00,1.26,4.02
14,2021-01-24 02:00:00,2021-01-24 03:15:00,1.39,4.45
15,2021-01-24 04:15:00,2021-01-24 08:15:00,4.06,12.0
16,2021-01-24 09:15:00,2021-01-24 10:15:00,1.06,3.39
17,2021-01-24 11:15:00,2021-01-24 11:30:00,0.46,0.89
18,2021-01-24 12:00:00,2021-01-24 13:30:00,1.45,3.76
19,2021-01-24 14:00:00,2021-01-24 15:00:00,0.93,2.94
20,2021-01-24 15:45:00,2021-01-24 18:00:00,2.25,7.27
21,2021-01-24 19:00:00,2021-01-24 19:30:00,0.51,1.63
22,2021-01-24 20:00:00,2021-01-24 21:15:00,1.44,4.64
23,2021-01-24 22:15:00,2021-01-24 23:30:00,1.33,4.27
24,2021-01-25 00:30:00,2021-01-25 01:45:00,1.29,4.17
25,2021-01-25 02:45:00,2021-01-25 04:00:00,1.32,4.27
26,2021-01-25 04:45:00,2021-01-25 06:00:00,1.3,4.16
27,2021-01-25 07:00:00,2021-01-25 08:00:00,1.13,2.52
28,2021-01-25 08:30:00,2021-01-25 09:45:00,1.15,3.68
29,2021-01-25 11:00:00,2021-01-25 12:30:00,1.7,4.42
30,2021-01-25 13:15:00,2021-01-25 13:45:00,0.5,1.59
31,2021-01-25 14:30:00,2021-01-25 15:45:00,1.45,4.64
32,2021-01-25 17:15:00,2021-01-25 19:15:00,2.01,6.46
33,2021-01-25 20:15:00,2021-01-25 21:45:00,1.55,4.98
34,2021-01-25 22:45:00,2021-01-26 00:00:00,1.43,4.61
35,2021-01-26 01:00:00,2021-01-26 02:30:00,1.53,4.92
36,2021-01-26 03:30:00,2021-01-26 05:00:00,1.75,5.66
37,2021-01-26 05:30:00,2021-01-26 07:15:00,1.87,6.04
38,2021-01-26 08:30:00,2021-01-26 09:30:00,1.05,3.38
39,2021-01-26 11:00:00,2021-01-26 12:15:00,1.41,4.47
40,2021-01-26 13:15:00,2021-01-26 13:15:00,0.12,0.52
41,2021-01-26 13:45:00,2021-01-26 14:45:00,1.07,3.35
42,2021-01-26 15:45:00,2021-01-26 15:45:00,0.12,0.59
43,2021-01-26 17:15:00,2021-01-26 19:45:00,2.68,8.55
44,2021-01-26 20:45:00,2021-01-26 22:30:00,1.68,5.43
45,2021-01-26 23:15:00,2021-01-27 01:30:00,2.24,7.27
46,2021-01-27 02:30:00,2021-01-27 05:00:00,2.73,8.15
47,2021-01-27 05:30:00,2021-01-27 07:00:00,1.68,5.44
48,2021-01-27 08:15:00,2021-01-27 09:45:00,1.56,5.03
49,2021-01-27 11:00:00,2021-01-27 12:15:00,1.44,4.58
50,2021-01-27 13:30:00,2021-01-27 14:45:00,1.32,4.21
51,2021-01-27 15:45:00,2021-01-27 15:45:00,0.12,0.66
52,2021-01-27 17:15:00,2021-01-27 19:45:00,2.72,8.74
53,2021-01-27 20:45:00,2021-01-27 22:00:00,1.38,4.4
54,2021-01-27 23:00:00,2021-01-28 00:15:00,1.38,4.39
55,2021-01-28 01:15:00,2021-01-28 02:30:00,1.38,4.42
56,2021-01-28 03:30:00,2021-01-28 04:45:00,1.28,4.08
57,2021-01-28 05:15:00,2021-01-28 07:00:00,1.78,4.63
58,2021-01-28 08:00:00,2021-01-28 08:45:00,0.86,2.73
59,2021-01-28 09:45:00,2021-01-28 09:45:00,0.12,0.79
60,2021-01-28 11:00:00,2021-01-28 12:30:00,1.49,4.7
61,2021-01-28 14:00:00,2021-01-28 14:45:00,0.81,2.52
62,2021-01-28 17:15:00,2021-01-28 18:45:00,1.51,4.7
63,2021-01-28 19:30:00,2021-01-28 19:45:00,0.3,1.07
64,2021-01-28 20:15:00,2021-01-28 21:00:00,0.86,2.67
65,2021-01-28 22:15:00,2021-01-28 23:00:00,0.84,2.61
66,2021-01-29 00:15:00,2021-01-29 01:00:00,0.84,2.6
67,2021-01-29 02:15:00,2021-01-29 03:00:00,0.89,1.63
68,2021-01-29 03:30:00,2021-01-29 03:30:00,0.12,0.17
69,2021-01-29 04:00:00,2021-01-29 04:00:00,0.12,0.17
70,2021-01-29 04:30:00,2021-01-29 04:30:00,0.12,0.18
71,2021-01-29 05:15:00,2021-01-29 05:15:00,0.12,0.17
72,2021-01-29 05:45:00,2021-01-29 05:45:00,0.12,0.17
73,2021-01-29 06:45:00,2021-01-29 08:15:00,1.73,5.41
74,2021-01-29 09:45:00,2021-01-29 09:45:00,0.12,0.58
75,2021-01-29 11:00:00,2021-01-29 12:30:00,1.55,4.86
76,2021-01-29 14:00:00,2021-01-29 14:45:00,0.8,2.45
77,2021-01-29 15:45:00,2021-01-29 15:45:00,0.12,0.1
78,2021-01-29 17:15:00,2021-01-29 19:00:00,1.93,6.04
79,2021-01-29 19:30:00,2021-01-29 19:45:00,0.3,1.04
80,2021-01-29 20:15:00,2021-01-29 21:15:00,0.94,2.94
81,2021-01-29 22:15:00,2021-01-29 23:15:00,1.0,3.14
82,2021-01-30 00:00:00,2021-01-30 00:45:00,0.87,2.74
83,2021-01-30 02:00:00,2021-01-30 02:45:00,0.95,2.97
84,2021-01-30 04:00:00,2021-01-30 04:45:00,0.91,2.85
85,2021-01-30 05:45:00,2021-01-30 06:45:00,0.98,3.08
86,2021-01-30 07:45:00,2021-01-30 08:45:00,0.9,2.84
87,2021-01-30 10:00:00,2021-01-30 10:45:00,0.8,2.51
88,2021-01-30 11:45:00,2021-01-30 12:45:00,1.05,3.39
89,2021-01-30 13:30:00,2021-01-30 14:15:00,0.85,2.64
