cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-23 01:30:00,2.55,16.78
1,2021-01-23 02:00:00,2021-01-23 02:45:00,0.69,2.95
2,2021-01-23 03:15:00,2021-01-23 04:00:00,0.66,2.81
3,2021-01-23 04:45:00,2021-01-23 05:15:00,0.68,2.88
4,2021-01-23 06:00:00,2021-01-23 06:45:00,0.69,2.91
5,2021-01-23 07:30:00,2021-01-23 08:00:00,0.64,2.75
6,2021-01-23 08:45:00,2021-01-23 09:15:00,0.59,2.46
7,2021-01-23 10:15:00,2021-01-23 10:45:00,0.57,2.4
8,2021-01-23 11:30:00,2021-01-23 12:00:00,0.57,2.31
9,2021-01-23 13:00:00,2021-01-23 13:30:00,0.58,2.32
10,2021-01-23 14:15:00,2021-01-23 15:00:00,0.61,2.5
11,2021-01-23 15:45:00,2021-01-23 16:15:00,0.64,2.66
12,2021-01-23 17:00:00,2021-01-23 17:45:00,0.65,2.68
13,2021-01-23 18:30:00,2021-01-23 19:00:00,0.63,2.65
14,2021-01-23 19:45:00,2021-01-23 20:15:00,0.63,2.63
15,2021-01-23 21:00:00,2021-01-23 21:45:00,0.68,2.87
16,2021-01-23 22:30:00,2021-01-24 01:45:00,3.2,18.91
17,2021-01-24 02:30:00,2021-01-24 03:00:00,0.69,2.92
18,2021-01-24 03:45:00,2021-01-24 04:30:00,0.69,2.94
19,2021-01-24 05:15:00,2021-01-24 05:45:00,0.74,3.19
20,2021-01-24 06:30:00,2021-01-24 07:15:00,0.74,3.18
21,2021-01-24 08:00:00,2021-01-24 08:30:00,0.67,2.89
22,2021-01-24 09:15:00,2021-01-24 10:00:00,0.63,2.66
23,2021-01-24 10:45:00,2021-01-24 11:15:00,0.59,2.48
24,2021-01-24 12:00:00,2021-01-24 12:30:00,0.58,2.4
25,2021-01-24 13:30:00,2021-01-24 14:00:00,0.59,2.47
26,2021-01-24 14:45:00,2021-01-24 15:15:00,0.6,2.52
27,2021-01-24 16:00:00,2021-01-24 16:45:00,0.77,3.26
28,2021-01-24 17:15:00,2021-01-24 18:00:00,0.78,3.29
29,2021-01-24 18:45:00,2021-01-24 19:30:00,0.76,3.26
30,2021-01-24 20:15:00,2021-01-24 20:45:00,0.7,3.0
31,2021-01-24 21:30:00,2021-01-24 22:15:00,0.73,3.16
32,2021-01-24 22:45:00,2021-01-25 02:15:00,3.56,23.46
33,2021-01-25 03:00:00,2021-01-25 03:45:00,0.73,3.12
34,2021-01-25 04:30:00,2021-01-25 05:00:00,0.68,2.92
35,2021-01-25 05:45:00,2021-01-25 06:30:00,0.69,2.96
36,2021-01-25 07:00:00,2021-01-25 07:45:00,0.7,2.96
37,2021-01-25 08:30:00,2021-01-25 09:00:00,0.67,2.86
38,2021-01-25 09:45:00,2021-01-25 09:45:00,0.12,0.32
39,2021-01-25 11:00:00,2021-01-25 11:45:00,0.86,3.57
40,2021-01-25 12:30:00,2021-01-25 13:15:00,0.76,3.2
41,2021-01-25 14:00:00,2021-01-25 14:45:00,0.76,3.2
42,2021-01-25 15:30:00,2021-01-25 16:15:00,0.78,3.35
43,2021-01-25 17:45:00,2021-01-25 18:45:00,1.11,4.62
44,2021-01-25 19:15:00,2021-01-25 20:15:00,0.83,3.52
45,2021-01-25 20:45:00,2021-01-25 21:30:00,0.78,3.36
46,2021-01-25 22:15:00,2021-01-26 03:00:00,4.99,28.25
47,2021-01-26 03:45:00,2021-01-26 04:30:00,0.83,3.55
48,2021-01-26 05:15:00,2021-01-26 06:00:00,0.87,3.77
49,2021-01-26 06:45:00,2021-01-26 07:30:00,0.76,3.33
50,2021-01-26 08:00:00,2021-01-26 08:45:00,0.75,3.22
51,2021-01-26 09:30:00,2021-01-26 09:45:00,0.45,1.91
52,2021-01-26 11:00:00,2021-01-26 11:45:00,0.88,3.67
53,2021-01-26 12:30:00,2021-01-26 13:15:00,0.69,2.9
54,2021-01-26 13:45:00,2021-01-26 14:30:00,0.7,2.91
55,2021-01-26 15:15:00,2021-01-26 15:45:00,0.72,3.05
56,2021-01-26 17:45:00,2021-01-26 18:45:00,1.17,4.89
57,2021-01-26 19:30:00,2021-01-26 20:15:00,0.81,3.48
58,2021-01-26 20:45:00,2021-01-26 21:30:00,0.8,3.42
59,2021-01-26 22:15:00,2021-01-27 02:00:00,3.74,24.14
60,2021-01-27 02:30:00,2021-01-27 03:30:00,0.91,3.96
61,2021-01-27 04:00:00,2021-01-27 05:00:00,0.88,3.84
62,2021-01-27 05:30:00,2021-01-27 06:15:00,0.85,3.67
63,2021-01-27 07:00:00,2021-01-27 07:45:00,0.82,3.56
64,2021-01-27 08:30:00,2021-01-27 09:15:00,0.81,3.51
65,2021-01-27 09:45:00,2021-01-27 09:45:00,0.12,0.14
66,2021-01-27 11:00:00,2021-01-27 12:00:00,1.07,4.5
67,2021-01-27 12:30:00,2021-01-27 13:15:00,0.82,3.47
68,2021-01-27 14:00:00,2021-01-27 14:45:00,0.8,3.4
69,2021-01-27 15:30:00,2021-01-27 16:15:00,0.77,3.29
70,2021-01-27 17:45:00,2021-01-27 18:45:00,1.08,4.53
71,2021-01-27 19:15:00,2021-01-27 20:00:00,0.77,3.25
72,2021-01-27 20:45:00,2021-01-27 21:30:00,0.73,3.11
73,2021-01-27 22:15:00,2021-01-28 01:30:00,3.43,20.37
74,2021-01-28 02:15:00,2021-01-28 03:00:00,0.67,2.84
75,2021-01-28 03:45:00,2021-01-28 04:15:00,0.65,2.75
76,2021-01-28 05:00:00,2021-01-28 05:30:00,0.62,2.58
77,2021-01-28 06:15:00,2021-01-28 07:00:00,0.62,2.62
78,2021-01-28 07:45:00,2021-01-28 08:15:00,0.58,2.45
79,2021-01-28 09:00:00,2021-01-28 09:30:00,0.55,2.25
80,2021-01-28 11:00:00,2021-01-28 11:30:00,0.6,2.45
81,2021-01-28 12:30:00,2021-01-28 13:00:00,0.49,1.97
82,2021-01-28 14:00:00,2021-01-28 14:30:00,0.49,1.93
83,2021-01-28 15:30:00,2021-01-28 16:00:00,0.52,2.0
84,2021-01-28 17:45:00,2021-01-28 18:15:00,0.56,2.22
85,2021-01-28 19:15:00,2021-01-28 19:45:00,0.5,2.0
86,2021-01-28 20:30:00,2021-01-28 21:00:00,0.51,1.96
87,2021-01-28 22:00:00,2021-01-29 01:30:00,3.45,14.85
88,2021-01-29 02:30:00,2021-01-29 03:00:00,0.51,2.05
89,2021-01-29 03:45:00,2021-01-29 04:15:00,0.54,2.09
90,2021-01-29 05:15:00,2021-01-29 05:45:00,0.5,1.98
91,2021-01-29 06:45:00,2021-01-29 07:15:00,0.49,1.95
92,2021-01-29 08:00:00,2021-01-29 08:30:00,0.55,2.1
93,2021-01-29 09:30:00,2021-01-29 09:45:00,0.37,1.48
94,2021-01-29 11:00:00,2021-01-29 11:30:00,0.6,2.4
95,2021-01-29 12:15:00,2021-01-29 12:45:00,0.52,2.04
96,2021-01-29 13:45:00,2021-01-29 14:15:00,0.52,1.99
97,2021-01-29 15:15:00,2021-01-29 15:45:00,0.52,2.04
98,2021-01-29 17:45:00,2021-01-29 18:30:00,0.97,3.9
99,2021-01-29 19:15:00,2021-01-29 20:00:00,0.63,2.56
100,2021-01-29 20:45:00,2021-01-29 21:15:00,0.56,2.32
101,2021-01-29 22:00:00,2021-01-30 01:15:00,3.2,16.5
102,2021-01-30 02:15:00,2021-01-30 02:45:00,0.54,2.23
103,2021-01-30 03:30:00,2021-01-30 04:00:00,0.56,2.21
104,2021-01-30 05:00:00,2021-01-30 05:30:00,0.56,2.28
105,2021-01-30 06:15:00,2021-01-30 06:45:00,0.56,2.26
106,2021-01-30 07:45:00,2021-01-30 08:15:00,0.53,2.17
107,2021-01-30 09:00:00,2021-01-30 09:30:00,0.52,2.06
108,2021-01-30 10:30:00,2021-01-30 11:00:00,0.53,2.15
109,2021-01-30 11:45:00,2021-01-30 12:15:00,0.53,2.12
110,2021-01-30 13:15:00,2021-01-30 13:45:00,0.55,2.24
111,2021-01-30 14:30:00,2021-01-30 15:00:00,0.54,2.19
112,2021-01-30 16:00:00,2021-01-30 16:30:00,0.57,2.29
113,2021-01-30 17:15:00,2021-01-30 17:45:00,0.55,2.2
114,2021-01-30 18:45:00,2021-01-30 19:15:00,0.59,2.39
115,2021-01-30 20:15:00,2021-01-30 20:45:00,0.56,2.32
116,2021-01-30 21:30:00,2021-01-30 22:00:00,0.54,2.19
117,2021-01-30 22:45:00,2021-01-31 02:00:00,3.37,18.04
118,2021-01-31 03:00:00,2021-01-31 03:30:00,0.54,2.23
119,2021-01-31 04:15:00,2021-01-31 04:45:00,0.55,2.2
120,2021-01-31 05:45:00,2021-01-31 06:15:00,0.52,2.12
121,2021-01-31 07:00:00,2021-01-31 07:30:00,0.55,2.21
122,2021-01-31 08:30:00,2021-01-31 09:00:00,0.53,2.14
123,2021-01-31 09:45:00,2021-01-31 10:15:00,0.53,2.1
124,2021-01-31 11:15:00,2021-01-31 11:45:00,0.53,2.11
125,2021-01-31 12:45:00,2021-01-31 13:15:00,0.49,1.95
126,2021-01-31 14:15:00,2021-01-31 14:45:00,0.51,2.06
127,2021-01-31 15:45:00,2021-01-31 16:00:00,0.48,2.0
128,2021-01-31 17:00:00,2021-01-31 17:30:00,0.53,2.13
129,2021-01-31 18:30:00,2021-01-31 19:00:00,0.51,2.12
130,2021-01-31 19:45:00,2021-01-31 20:15:00,0.55,2.21
131,2021-01-31 21:15:00,2021-01-31 21:45:00,0.53,2.2
132,2021-01-31 22:30:00,2021-02-01 01:45:00,3.25,16.3
133,2021-02-01 02:45:00,2021-02-01 03:15:00,0.54,2.24
134,2021-02-01 04:00:00,2021-02-01 04:30:00,0.56,2.26
135,2021-02-01 05:30:00,2021-02-01 06:00:00,0.54,2.23
136,2021-02-01 06:45:00,2021-02-01 07:15:00,0.53,2.16
137,2021-02-01 08:15:00,2021-02-01 08:45:00,0.53,2.14
138,2021-02-01 09:45:00,2021-02-01 09:45:00,0.12,0.97
139,2021-02-01 11:00:00,2021-02-01 11:30:00,0.58,2.33
140,2021-02-01 12:30:00,2021-02-01 13:00:00,0.5,2.06
141,2021-02-01 13:45:00,2021-02-01 14:15:00,0.56,2.23
142,2021-02-01 15:15:00,2021-02-01 15:45:00,0.52,2.09
143,2021-02-01 17:45:00,2021-02-01 18:15:00,0.71,2.81
144,2021-02-01 19:15:00,2021-02-01 19:45:00,0.54,2.18
145,2021-02-01 20:45:00,2021-02-01 21:15:00,0.51,2.08
146,2021-02-01 22:00:00,2021-02-02 01:15:00,3.33,14.13
147,2021-02-02 02:15:00,2021-02-02 02:45:00,0.51,1.99
148,2021-02-02 03:45:00,2021-02-02 04:15:00,0.51,2.08
149,2021-02-02 05:15:00,2021-02-02 05:45:00,0.5,2.04
150,2021-02-02 06:45:00,2021-02-02 07:15:00,0.48,1.94
151,2021-02-02 08:15:00,2021-02-02 08:45:00,0.49,1.99
152,2021-02-02 09:45:00,2021-02-02 09:45:00,0.12,0.49
153,2021-02-02 11:00:00,2021-02-02 11:30:00,0.53,2.08
154,2021-02-02 12:30:00,2021-02-02 12:45:00,0.45,1.8
155,2021-02-02 14:00:00,2021-02-02 14:30:00,0.49,1.9
156,2021-02-02 15:30:00,2021-02-02 16:00:00,0.49,1.89
157,2021-02-02 17:45:00,2021-02-02 18:15:00,0.56,2.2
158,2021-02-02 19:15:00,2021-02-02 19:45:00,0.46,1.81
159,2021-02-02 20:45:00,2021-02-02 21:15:00,0.48,1.85
160,2021-02-02 22:15:00,2021-02-03 01:00:00,2.79,13.61
161,2021-02-03 01:30:00,2021-02-03 02:00:00,0.46,1.78
162,2021-02-03 03:00:00,2021-02-03 03:30:00,0.49,1.85
163,2021-02-03 04:30:00,2021-02-03 05:00:00,0.51,2.01
164,2021-02-03 06:00:00,2021-02-03 06:30:00,0.5,1.99
165,2021-02-03 07:30:00,2021-02-03 08:00:00,0.5,2.02
166,2021-02-03 09:00:00,2021-02-03 09:30:00,0.49,1.96
167,2021-02-03 11:00:00,2021-02-03 11:15:00,0.46,1.8
168,2021-02-03 12:45:00,2021-02-03 13:00:00,0.49,1.92
169,2021-02-03 14:00:00,2021-02-03 14:30:00,0.58,2.33
170,2021-02-03 15:15:00,2021-02-03 15:45:00,0.54,2.08
171,2021-02-03 17:45:00,2021-02-03 18:15:00,0.61,2.38
172,2021-02-03 19:15:00,2021-02-03 19:45:00,0.52,2.06
173,2021-02-03 20:45:00,2021-02-03 21:15:00,0.48,1.93
174,2021-02-03 22:15:00,2021-02-04 01:30:00,3.28,15.16
175,2021-02-04 02:15:00,2021-02-04 02:45:00,0.56,2.24
176,2021-02-04 03:30:00,2021-02-04 04:00:00,0.57,2.3
177,2021-02-04 04:45:00,2021-02-04 05:30:00,0.6,2.44
178,2021-02-04 06:15:00,2021-02-04 06:45:00,0.59,2.46
179,2021-02-04 07:30:00,2021-02-04 08:00:00,0.57,2.34
180,2021-02-04 09:00:00,2021-02-04 09:30:00,0.5,2.08
181,2021-02-04 11:00:00,2021-02-04 11:30:00,0.53,2.14
182,2021-02-04 12:30:00,2021-02-04 13:00:00,0.46,1.82
183,2021-02-04 14:00:00,2021-02-04 14:30:00,0.48,1.87
184,2021-02-04 15:30:00,2021-02-04 16:00:00,0.52,2.04
185,2021-02-04 17:45:00,2021-02-04 18:15:00,0.68,2.69
186,2021-02-04 19:15:00,2021-02-04 19:45:00,0.58,2.36
187,2021-02-04 20:30:00,2021-02-04 21:00:00,0.58,2.31
188,2021-02-04 22:00:00,2021-02-05 01:15:00,3.32,15.59
189,2021-02-05 02:00:00,2021-02-05 02:30:00,0.58,2.42
190,2021-02-05 03:15:00,2021-02-05 04:00:00,0.62,2.56
191,2021-02-05 04:45:00,2021-02-05 05:15:00,0.56,2.35
192,2021-02-05 06:00:00,2021-02-05 06:30:00,0.59,2.41
193,2021-02-05 07:30:00,2021-02-05 08:00:00,0.52,2.2
194,2021-02-05 09:00:00,2021-02-05 09:15:00,0.49,1.99
195,2021-02-05 11:00:00,2021-02-05 11:15:00,0.45,1.82
196,2021-02-05 12:45:00,2021-02-05 13:15:00,0.43,1.65
197,2021-02-05 14:30:00,2021-02-05 15:00:00,0.45,1.72
198,2021-02-05 16:00:00,2021-02-05 16:15:00,0.28,1.06
199,2021-02-05 17:45:00,2021-02-05 18:15:00,0.59,2.3
200,2021-02-05 19:00:00,2021-02-05 19:30:00,0.55,2.19
201,2021-02-05 20:30:00,2021-02-05 21:00:00,0.59,2.32
202,2021-02-05 21:45:00,2021-02-05 22:15:00,0.54,2.17
203,2021-02-05 22:45:00,2021-02-06 01:00:00,2.39,13.18
204,2021-02-06 01:45:00,2021-02-06 02:15:00,0.55,2.24
205,2021-02-06 03:00:00,2021-02-06 03:45:00,0.61,2.47
206,2021-02-06 04:30:00,2021-02-06 05:00:00,0.59,2.4
207,2021-02-06 05:45:00,2021-02-06 06:15:00,0.61,2.48
208,2021-02-06 07:00:00,2021-02-06 07:45:00,0.6,2.43
209,2021-02-06 08:30:00,2021-02-06 09:00:00,0.56,2.33
210,2021-02-06 09:45:00,2021-02-06 10:15:00,0.55,2.23
211,2021-02-06 11:15:00,2021-02-06 11:45:00,0.53,2.14
212,2021-02-06 12:30:00,2021-02-06 13:00:00,0.52,2.06
213,2021-02-06 14:00:00,2021-02-06 14:30:00,0.53,2.14
214,2021-02-06 15:15:00,2021-02-06 15:45:00,0.56,2.22
215,2021-02-06 16:45:00,2021-02-06 17:15:00,0.57,2.33
216,2021-02-06 18:00:00,2021-02-06 18:30:00,0.6,2.41
217,2021-02-06 19:30:00,2021-02-06 20:00:00,0.57,2.35
218,2021-02-06 20:45:00,2021-02-06 21:15:00,0.59,2.37
219,2021-02-06 22:15:00,2021-02-07 02:45:00,4.71,22.94
220,2021-02-07 03:30:00,2021-02-07 04:15:00,0.63,2.58
221,2021-02-07 05:00:00,2021-02-07 05:30:00,0.61,2.57
222,2021-02-07 06:15:00,2021-02-07 06:45:00,0.64,2.62
223,2021-02-07 07:45:00,2021-02-07 08:15:00,0.57,2.36
224,2021-02-07 09:00:00,2021-02-07 09:30:00,0.49,1.93
225,2021-02-07 10:30:00,2021-02-07 11:00:00,0.55,2.22
226,2021-02-07 12:00:00,2021-02-07 12:30:00,0.52,2.1
227,2021-02-07 13:15:00,2021-02-07 13:45:00,0.61,2.41
228,2021-02-07 14:45:00,2021-02-07 15:15:00,0.6,2.46
229,2021-02-07 16:00:00,2021-02-07 16:45:00,0.67,2.76
230,2021-02-07 17:15:00,2021-02-07 18:00:00,0.7,2.88
231,2021-02-07 18:45:00,2021-02-07 19:15:00,0.63,2.61
232,2021-02-07 20:00:00,2021-02-07 20:45:00,0.65,2.69
233,2021-02-07 21:30:00,2021-02-07 22:00:00,0.62,2.58
234,2021-02-07 22:45:00,2021-02-08 00:45:00,1.98,12.96
235,2021-02-08 01:30:00,2021-02-08 02:00:00,0.61,2.55
236,2021-02-08 02:45:00,2021-02-08 03:15:00,0.6,2.52
237,2021-02-08 04:00:00,2021-02-08 04:45:00,0.61,2.56
238,2021-02-08 05:30:00,2021-02-08 06:00:00,0.62,2.62
239,2021-02-08 06:45:00,2021-02-08 07:15:00,0.62,2.57
240,2021-02-08 08:00:00,2021-02-08 08:30:00,0.57,2.37
241,2021-02-08 09:30:00,2021-02-08 09:45:00,0.33,1.34
242,2021-02-08 11:00:00,2021-02-08 11:30:00,0.54,2.21
243,2021-02-08 12:15:00,2021-02-08 13:00:00,0.77,3.23
244,2021-02-08 13:45:00,2021-02-08 14:15:00,0.65,2.7
245,2021-02-08 15:00:00,2021-02-08 15:45:00,0.68,2.84
246,2021-02-08 16:30:00,2021-02-08 16:30:00,0.12,0.11
247,2021-02-08 17:45:00,2021-02-08 18:45:00,1.18,4.91
248,2021-02-08 19:30:00,2021-02-08 20:15:00,0.74,3.19
249,2021-02-08 20:45:00,2021-02-08 21:30:00,0.73,3.08
250,2021-02-08 22:15:00,2021-02-09 01:30:00,3.37,18.11
251,2021-02-09 02:15:00,2021-02-09 03:00:00,0.64,2.74
252,2021-02-09 03:45:00,2021-02-09 04:15:00,0.65,2.79
253,2021-02-09 05:00:00,2021-02-09 05:30:00,0.67,2.87
254,2021-02-09 06:15:00,2021-02-09 07:00:00,0.68,2.91
255,2021-02-09 07:45:00,2021-02-09 08:15:00,0.7,2.99
256,2021-02-09 09:00:00,2021-02-09 09:45:00,0.68,2.92
257,2021-02-09 11:00:00,2021-02-09 11:45:00,0.81,3.41
258,2021-02-09 12:30:00,2021-02-09 13:00:00,0.67,2.87
259,2021-02-09 13:45:00,2021-02-09 14:30:00,0.69,2.94
260,2021-02-09 15:15:00,2021-02-09 15:45:00,0.66,2.79
261,2021-02-09 17:45:00,2021-02-09 18:45:00,1.03,4.31
262,2021-02-09 19:15:00,2021-02-09 20:00:00,0.72,3.01
263,2021-02-09 20:45:00,2021-02-09 21:15:00,0.67,2.89
264,2021-02-09 22:00:00,2021-02-10 01:30:00,3.42,20.07
265,2021-02-10 02:15:00,2021-02-10 02:45:00,0.64,2.75
266,2021-02-10 03:30:00,2021-02-10 04:00:00,0.63,2.71
267,2021-02-10 04:45:00,2021-02-10 05:30:00,0.66,2.78
268,2021-02-10 06:15:00,2021-02-10 06:45:00,0.65,2.77
269,2021-02-10 07:30:00,2021-02-10 08:15:00,0.68,2.92
270,2021-02-10 09:00:00,2021-02-10 09:30:00,0.64,2.7
271,2021-02-10 11:00:00,2021-02-10 11:45:00,0.79,3.32
272,2021-02-10 12:30:00,2021-02-10 13:00:00,0.65,2.73
273,2021-02-10 13:45:00,2021-02-10 14:30:00,0.88,3.74
274,2021-02-10 15:15:00,2021-02-10 16:15:00,1.0,4.36
275,2021-02-10 17:45:00,2021-02-10 19:15:00,1.52,6.58
276,2021-02-10 19:45:00,2021-02-10 20:45:00,0.98,4.33
277,2021-02-10 21:15:00,2021-02-10 22:00:00,0.87,3.82
278,2021-02-10 22:45:00,2021-02-11 02:30:00,3.73,20.86
279,2021-02-11 03:00:00,2021-02-11 03:45:00,0.85,3.74
280,2021-02-11 04:30:00,2021-02-11 05:15:00,0.83,3.7
281,2021-02-11 05:45:00,2021-02-11 06:45:00,0.87,3.83
282,2021-02-11 07:15:00,2021-02-11 08:15:00,0.85,3.77
283,2021-02-11 08:45:00,2021-02-11 09:45:00,1.0,4.43
284,2021-02-11 11:00:00,2021-02-11 12:00:00,1.1,4.8
285,2021-02-11 12:30:00,2021-02-11 13:30:00,0.83,3.63
286,2021-02-11 14:00:00,2021-02-11 14:45:00,0.84,3.68
287,2021-02-11 15:30:00,2021-02-11 16:15:00,0.95,4.19
288,2021-02-11 17:45:00,2021-02-11 19:15:00,1.62,7.07
289,2021-02-11 19:45:00,2021-02-11 21:00:00,1.09,4.8
290,2021-02-11 21:30:00,2021-02-12 01:30:00,4.03,22.19
291,2021-02-12 02:00:00,2021-02-12 03:00:00,0.95,4.25
292,2021-02-12 03:30:00,2021-02-12 04:30:00,1.0,4.47
293,2021-02-12 05:00:00,2021-02-12 06:00:00,1.0,4.44
294,2021-02-12 06:45:00,2021-02-12 07:30:00,0.92,4.11
295,2021-02-12 08:15:00,2021-02-12 09:00:00,0.92,4.14
296,2021-02-12 09:30:00,2021-02-12 09:45:00,0.28,1.19
297,2021-02-12 11:00:00,2021-02-12 12:15:00,1.23,5.34
298,2021-02-12 12:45:00,2021-02-12 13:45:00,0.96,4.2
299,2021-02-12 14:15:00,2021-02-12 15:15:00,0.89,3.88
300,2021-02-12 15:45:00,2021-02-12 16:15:00,0.66,2.86
301,2021-02-12 17:45:00,2021-02-12 19:15:00,1.52,6.63
302,2021-02-12 19:45:00,2021-02-12 20:45:00,1.07,4.74
303,2021-02-12 21:15:00,2021-02-12 22:15:00,1.05,4.59
304,2021-02-12 22:45:00,2021-02-13 01:30:00,2.72,17.49
305,2021-02-13 02:00:00,2021-02-13 03:00:00,1.0,4.45
306,2021-02-13 03:30:00,2021-02-13 04:30:00,1.04,4.61
307,2021-02-13 05:15:00,2021-02-13 06:15:00,1.05,4.72
308,2021-02-13 06:45:00,2021-02-13 07:45:00,1.04,4.67
309,2021-02-13 08:15:00,2021-02-13 09:15:00,1.0,4.43
310,2021-02-13 10:00:00,2021-02-13 10:45:00,0.86,3.84
311,2021-02-13 11:30:00,2021-02-13 12:00:00,0.74,3.28
312,2021-02-13 12:45:00,2021-02-13 13:30:00,0.75,3.26
313,2021-02-13 14:15:00,2021-02-13 14:45:00,0.74,3.26
314,2021-02-13 15:30:00,2021-02-13 16:15:00,0.86,3.73
315,2021-02-13 17:00:00,2021-02-13 17:45:00,0.88,3.83
316,2021-02-13 18:30:00,2021-02-13 19:30:00,1.0,4.46
317,2021-02-13 20:00:00,2021-02-13 21:00:00,1.02,4.51
318,2021-02-13 21:30:00,2021-02-14 01:45:00,4.18,25.46
319,2021-02-14 02:15:00,2021-02-14 03:15:00,1.01,4.57
320,2021-02-14 03:45:00,2021-02-14 04:45:00,1.11,5.02
321,2021-02-14 05:30:00,2021-02-14 06:30:00,1.1,5.0
322,2021-02-14 07:00:00,2021-02-14 08:00:00,0.96,4.28
323,2021-02-14 08:30:00,2021-02-14 09:15:00,0.82,3.62
324,2021-02-14 10:00:00,2021-02-14 10:45:00,0.78,3.44
325,2021-02-14 11:30:00,2021-02-14 12:00:00,0.71,3.15
326,2021-02-14 12:45:00,2021-02-14 13:30:00,0.69,3.03
327,2021-02-14 14:15:00,2021-02-14 15:00:00,0.75,3.29
328,2021-02-14 15:30:00,2021-02-14 16:15:00,0.85,3.68
329,2021-02-14 17:00:00,2021-02-14 17:45:00,0.93,4.08
330,2021-02-14 18:30:00,2021-02-14 19:30:00,0.99,4.35
331,2021-02-14 20:00:00,2021-02-14 21:00:00,0.99,4.36
332,2021-02-14 21:30:00,2021-02-15 01:15:00,3.82,20.14
333,2021-02-15 02:00:00,2021-02-15 02:45:00,0.92,4.12
334,2021-02-15 03:30:00,2021-02-15 04:15:00,0.89,3.95
335,2021-02-15 05:00:00,2021-02-15 05:45:00,0.92,4.08
336,2021-02-15 06:30:00,2021-02-15 07:15:00,0.87,3.87
337,2021-02-15 08:00:00,2021-02-15 08:45:00,0.77,3.4
338,2021-02-15 09:15:00,2021-02-15 09:45:00,0.54,2.33
339,2021-02-15 11:00:00,2021-02-15 11:45:00,0.8,3.4
340,2021-02-15 12:30:00,2021-02-15 13:00:00,0.6,2.52
341,2021-02-15 14:00:00,2021-02-15 14:30:00,0.65,2.73
342,2021-02-15 15:15:00,2021-02-15 16:00:00,0.67,2.79
343,2021-02-15 17:45:00,2021-02-15 18:30:00,0.91,3.76
344,2021-02-15 19:15:00,2021-02-15 20:00:00,0.66,2.73
345,2021-02-15 20:45:00,2021-02-15 21:15:00,0.68,2.85
346,2021-02-15 22:00:00,2021-02-16 01:30:00,3.36,17.11
347,2021-02-16 02:15:00,2021-02-16 02:45:00,0.59,2.46
348,2021-02-16 03:30:00,2021-02-16 04:15:00,0.59,2.46
349,2021-02-16 05:00:00,2021-02-16 05:30:00,0.59,2.42
350,2021-02-16 06:15:00,2021-02-16 06:45:00,0.61,2.54
351,2021-02-16 07:45:00,2021-02-16 08:15:00,0.56,2.35
352,2021-02-16 09:00:00,2021-02-16 09:30:00,0.54,2.19
353,2021-02-16 11:00:00,2021-02-16 11:30:00,0.52,2.12
354,2021-02-16 12:45:00,2021-02-16 13:15:00,0.44,1.74
355,2021-02-16 14:30:00,2021-02-16 15:00:00,0.46,1.81
356,2021-02-16 16:00:00,2021-02-16 16:15:00,0.38,1.5
357,2021-02-16 17:45:00,2021-02-16 18:15:00,0.71,2.83
358,2021-02-16 19:00:00,2021-02-16 19:30:00,0.56,2.25
359,2021-02-16 20:30:00,2021-02-16 21:00:00,0.54,2.24
360,2021-02-16 21:45:00,2021-02-16 22:15:00,0.54,2.18
361,2021-02-16 22:45:00,2021-02-17 01:00:00,2.38,13.02
362,2021-02-17 02:00:00,2021-02-17 02:30:00,0.51,2.04
363,2021-02-17 03:30:00,2021-02-17 04:00:00,0.53,2.16
364,2021-02-17 04:45:00,2021-02-17 05:15:00,0.55,2.18
365,2021-02-17 06:15:00,2021-02-17 06:45:00,0.53,2.17
366,2021-02-17 07:30:00,2021-02-17 08:00:00,0.52,2.08
367,2021-02-17 09:15:00,2021-02-17 09:45:00,0.48,1.91
368,2021-02-17 11:00:00,2021-02-17 11:30:00,0.44,1.73
